WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,AirTemperature,VaporPressure,StationPressure,LandVisibility,DewPoint,Rainfall24Hr,Rainfall,WindDirection,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1003.60,07-18-2019,22:00:00,78,28.5,30.15,973.04,12.00,24.2,0.00,0.00,000,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1001.79,07-18-2019,22:00:00,95,20.3,22.66,842.10,8.00,19.5,4.00,0.00,270,7.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1001.44,07-18-2019,22:00:00,72,29.8,30.19,958.64,15.00,24.2,1.10,0.00,000,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1001.29,07-18-2019,22:00:00,74,29.6,30.63,956.61,15.00,24.4,0.00,0.00,000,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1002.84,07-18-2019,22:00:00,74,28.5,28.78,965.71,7.00,23.4,0.00,0.00,000,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1001.51,07-18-2019,22:00:00,66,30.0,28.09,957.31,12.00,23.0,0.00,0.00,110,7.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1002.84,07-18-2019,22:00:00,67,29.8,28.26,976.55,10.00,23.1,0.00,0.00,160,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1002.92,07-18-2019,22:00:00,60,31.4,27.76,981.61,12.00,22.8,0.00,0.00,240,3.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1005.12,07-18-2019,22:00:00,84,27.0,30.02,981.12,8.00,24.1,0.00,0.00,000,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1001.72,07-18-2019,22:00:00,57,32.7,28.36,968.13,10.00,23.2,0.00,0.00,000,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1004.33,07-18-2019,22:00:00,57,32.0,27.27,977.38,10.00,22.5,0.00,0.00,000,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1001.89,07-18-2019,22:00:00,57,32.0,27.27,969.13,10.00,22.5,0.00,0.00,000,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1002.23,07-18-2019,22:00:00,67,31.0,30.05,984.08,10.00,24.1,0.00,0.00,270,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,1002.61,07-18-2019,22:00:00,74,29.7,30.83,980.14,10.00,24.6,0.00,0.00,000,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1002.86,07-18-2019,22:00:00,85,27.0,30.29,973.17,10.00,24.3,0.00,0.00,000,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1002.49,07-18-2019,22:00:00,63,31.0,28.09,967.70,8.00,23.0,0.00,0.00,000,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1003.20,07-18-2019,22:00:00,96,24.9,30.13,973.46,12.00,24.2,0.50,0.00,000,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1002.51,07-18-2019,22:00:00,67,32.4,32.66,995.37,10.00,25.5,0.00,0.00,000,0.0
