WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,LandVisibility,DewPoint,StationPressure,Rainfall,WindDirection,MeanSeaLevelPressure,AirTemperature,WindSpeed,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,92,07-12-2019,04:00:00,7.40,8.00,23.7,977.77,0.00,000,1008.84,25.0,0.0,29.26
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,97,07-12-2019,04:00:00,5.50,8.00,17.3,845.05,0.00,270,1006.77,17.8,22.2,19.73
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,83,07-12-2019,04:00:00,0.30,10.00,22.8,963.94,0.00,000,1007.54,25.9,0.0,27.74
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,92,07-12-2019,04:00:00,5.00,12.00,23.7,961.77,0.00,000,1007.37,25.2,0.0,29.36
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,95,07-12-2019,04:00:00,0.00,5.00,25.1,969.85,0.00,000,1007.46,26.0,0.0,31.93
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,79,07-12-2019,04:00:00,0.40,7.00,22.2,962.61,0.00,110,1007.65,26.1,5.6,26.80
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,85,07-12-2019,04:00:00,0.00,8.00,23.9,981.47,0.00,000,1008.17,26.7,0.0,29.72
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,94,07-12-2019,04:00:00,0.01,10.00,22.7,986.81,0.00,040,1008.79,23.7,1.9,27.50
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,94,07-12-2019,04:00:00,1.40,6.00,23.2,985.56,0.00,000,1009.90,24.2,0.0,28.36
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,84,07-12-2019,04:00:00,0.20,10.00,22.6,973.82,0.00,290,1008.45,25.4,3.7,27.38
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,77,07-12-2019,04:00:00,0.00,10.00,22.0,980.96,0.00,000,1008.51,26.5,0.0,26.47
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,76,07-12-2019,04:00:00,0.00,10.00,21.4,974.77,0.00,000,1008.38,26.1,0.0,25.53
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,93,07-12-2019,04:00:00,2.40,10.00,24.1,989.38,0.00,000,1007.97,25.3,0.0,30.07
48331,NAN,น่าน,น่าน,18.77972,100.77778,84,07-12-2019,04:00:00,0.00,10.00,24.0,985.07,0.00,000,1007.87,26.9,0.0,29.83
