WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,Rainfall,RelativeHumidity,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,VaporPressure,StationPressure,AirTemperature,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.5,07-17-2019,13:00:00,3.7,0.00,63,1002.81,0.00,15.00,30.82,972.66,32.5,200
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.1,07-17-2019,13:00:00,1.9,0.00,84,1000.89,0.00,8.00,23.45,842.64,23.0,150
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.9,07-17-2019,13:00:00,3.7,0.00,48,1001.10,0.00,12.00,27.85,959.08,35.4,030
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,21.9,07-17-2019,13:00:00,9.3,0.00,48,1001.01,0.00,15.00,26.32,957.03,34.5,130
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,21.5,07-17-2019,13:00:00,0.0,0.00,46,1001.69,0.00,12.00,25.63,965.36,35.0,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,22.7,07-17-2019,13:00:00,5.6,0.00,49,1001.31,2.00,12.00,27.61,957.81,35.0,290
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,22.8,07-17-2019,13:00:00,11.1,0.00,44,1002.22,0.00,12.00,27.82,976.57,37.2,180
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,21.9,07-17-2019,13:00:00,3.7,0.00,46,1002.39,0.00,12.00,26.31,981.35,35.2,140
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.7,07-17-2019,13:00:00,0.0,0.00,58,1003.62,1.00,10.00,29.25,980.13,33.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,21.0,07-17-2019,13:00:00,7.4,0.00,44,1002.40,0.00,12.00,24.91,969.05,35.2,140
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,22.2,07-17-2019,13:00:00,9.3,0.00,45,1003.70,0.00,10.00,26.78,977.12,36.0,090
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.5,07-17-2019,13:00:00,7.4,0.00,47,1001.92,0.70,12.00,27.19,969.53,35.5,180
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.1,07-17-2019,13:00:00,5.6,0.00,47,1001.98,0.00,15.00,28.27,984.14,36.3,260
48331,NAN,น่าน,น่าน,18.77972,100.77778,22.5,07-17-2019,13:00:00,0.0,0.00,45,1001.82,0.00,10.00,27.19,979.83,36.2,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.8,07-17-2019,13:00:00,0.0,0.00,49,1001.73,0.00,12.00,27.81,972.84,35.1,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,21.3,07-17-2019,13:00:00,0.0,0.00,43,1001.70,0.00,8.00,25.37,967.49,36.0,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.1,07-17-2019,13:00:00,5.6,0.00,56,1001.18,3.80,17.00,31.85,972.48,35.2,040
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,22.8,07-17-2019,13:00:00,0.0,0.00,45,1002.58,0.00,10.00,27.73,995.53,36.6,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.8,07-17-2019,13:00:00,7.4,0.00,63,1001.85,1.80,18.00,35.26,982.57,34.8,030
48353,LOEI,เลย,เลย,17.45000,101.73333,24.4,07-17-2019,13:00:00,5.6,0.00,54,1001.71,11.60,15.00,30.52,973.98,35.0,040
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,23.7,07-17-2019,13:00:00,3.7,0.00,51,1002.40,0.00,15.00,29.38,982.87,35.3,140
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.2,07-17-2019,13:00:00,5.6,0.00,57,1002.42,0.00,15.00,30.16,981.30,34.0,170
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.0,07-17-2019,13:00:00,3.7,0.00,57,1002.07,0.00,15.00,31.66,983.17,34.7,320
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.3,07-17-2019,13:00:00,1.9,0.00,62,1002.91,0.00,10.00,32.26,986.60,33.6,240
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,26.5,07-17-2019,13:00:00,3.7,0.00,63,1002.96,0.00,12.00,34.71,986.06,34.7,120
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.1,07-17-2019,13:00:00,5.6,0.00,56,1002.09,10.60,13.00,30.00,977.05,34.2,290
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,24.3,07-17-2019,13:00:00,0.0,0.00,51,1002.98,0.00,10.00,30.42,997.39,36.2,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.6,07-17-2019,13:00:00,5.6,0.00,53,1005.36,1.00,10.00,30.92,999.36,35.6,260
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,22.8,07-17-2019,13:00:00,0.0,0.00,45,1002.79,0.00,10.00,27.73,986.93,36.6,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.9,07-17-2019,13:00:00,0.0,0.00,61,1002.70,7.70,10.00,27.85,980.79,31.3,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.1,07-17-2019,13:00:00,11.1,0.00,52,1003.65,1.00,10.00,28.18,989.65,34.3,250
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.0,07-17-2019,13:00:00,0.0,0.00,47,1002.65,0.00,12.00,28.14,986.82,36.1,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.9,07-17-2019,13:00:00,5.6,0.00,56,1003.19,0.00,12.00,31.49,998.12,34.9,180
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.6,07-17-2019,13:00:00,3.7,0.00,51,1001.20,0.00,12.00,30.86,988.48,36.4,180
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.1,07-17-2019,13:00:00,0.0,0.00,54,1003.35,0.00,14.00,28.31,994.26,33.8,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,22.0,07-17-2019,13:00:00,5.6,0.00,47,1002.86,6.40,10.00,26.36,981.81,34.8,150
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.2,07-17-2019,13:00:00,5.6,0.00,49,1002.04,5.80,12.00,28.47,985.11,35.7,210
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.6,07-17-2019,13:00:00,5.6,0.00,57,1001.92,0.00,14.00,30.93,986.55,34.5,210
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.8,07-17-2019,13:00:00,0.0,0.00,53,1001.38,1.30,10.00,31.35,983.13,35.8,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.4,07-17-2019,13:00:00,0.0,0.00,52,1004.19,0.00,11.00,25.49,954.22,32.5,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.3,07-17-2019,13:00:00,3.7,0.00,53,1002.83,0.00,15.00,30.35,998.99,35.2,050
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.9,07-17-2019,13:00:00,11.1,0.00,68,1003.64,5.80,8.00,24.63,910.56,27.2,260
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.4,07-17-2019,13:00:00,3.7,0.00,52,1002.25,0.00,10.00,30.53,986.79,35.7,190
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,26.9,07-17-2019,13:00:00,0.0,0.00,65,1003.35,17.40,12.00,35.50,999.43,34.5,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,22.5,07-17-2019,13:00:00,5.6,0.00,52,1004.34,0.00,10.00,27.26,993.92,33.7,180
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,23.2,07-17-2019,13:00:00,9.3,0.00,54,1004.05,0.00,13.00,28.51,1002.17,33.9,150
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,20.6,07-17-2019,13:00:00,9.3,0.00,40,1002.49,0.00,12.00,24.29,982.34,36.3,210
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.2,07-17-2019,13:00:00,11.1,0.00,52,1001.96,0.00,10.00,30.10,984.87,35.5,240
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,23.9,07-17-2019,13:00:00,9.3,0.00,51,1001.76,0.00,10.00,29.60,986.12,35.4,290
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.3,07-17-2019,13:00:00,9.3,0.01,62,1003.39,1.90,10.00,30.32,989.65,32.4,200
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.7,07-17-2019,13:00:00,0.0,0.00,67,1003.88,2.20,10.00,33.01,989.37,32.7,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.5,07-17-2019,13:00:00,0.0,0.00,60,1004.46,0.00,10.00,30.66,990.13,33.4,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,22.9,07-17-2019,13:00:00,0.0,0.00,50,1003.47,3.70,10.00,27.97,1000.54,34.9,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,23.4,07-17-2019,13:00:00,3.7,0.00,53,1002.49,0.00,10.00,28.76,994.76,34.3,130
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,22.7,07-17-2019,13:00:00,14.8,0.00,53,1004.24,0.00,8.00,27.54,1003.16,33.7,210
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.1,07-17-2019,13:00:00,5.6,0.00,64,1003.32,0.00,9.00,30.04,988.92,31.7,090
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.8,07-17-2019,13:00:00,9.3,0.00,86,1003.04,2.80,8.00,24.63,870.16,23.3,200
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.2,07-17-2019,13:00:00,7.4,0.00,57,1003.30,0.00,10.00,32.01,997.60,35.0,170
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,26.2,07-17-2019,13:00:00,9.3,0.00,59,1004.45,0.00,9.00,34.05,1003.67,35.5,240
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.3,07-17-2019,13:00:00,14.8,0.00,67,1004.68,0.00,10.00,32.23,1004.24,32.2,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.9,07-17-2019,13:00:00,0.0,0.00,57,1004.54,0.00,10.00,29.70,993.50,33.5,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.7,07-17-2019,13:00:00,3.7,0.00,53,1003.79,0.00,12.00,31.13,1002.81,35.7,120
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.1,07-17-2019,13:00:00,3.7,0.00,57,1004.00,0.00,10.00,29.95,1002.22,33.9,180
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.1,07-17-2019,13:00:00,3.7,0.00,48,1003.15,0.00,10.00,28.31,1002.41,35.9,230
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.1,07-17-2019,13:00:00,18.5,0.00,63,1004.28,0.00,10.00,29.99,1003.59,32.1,190
