WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall,RelativeHumidity,WindSpeed,Rainfall24Hr,DewPoint,StationPressure,VaporPressure,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.4,08-03-2019,22:00:00,10.00,1003.82,0.01,86,0.0,0.01,23.9,973.04,29.70,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.0,08-03-2019,22:00:00,8.00,1001.43,0.00,91,57.4,1.20,17.5,841.16,20.01,270
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,27.9,08-03-2019,22:00:00,15.00,1001.18,0.00,78,0.0,0.00,23.7,958.13,29.28,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,27.2,08-03-2019,22:00:00,12.00,1001.31,0.00,89,0.0,0.00,25.2,956.28,32.05,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,26.5,08-03-2019,22:00:00,8.00,1002.20,0.00,88,0.0,0.01,24.3,964.85,30.43,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,27.7,08-03-2019,22:00:00,8.00,1002.01,0.00,79,3.7,0.00,23.8,957.46,29.44,030
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,27.4,08-03-2019,22:00:00,8.00,1002.43,0.30,89,0.0,0.30,25.4,975.94,32.45,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.1,08-03-2019,22:00:00,15.00,1003.43,0.00,66,9.3,0.00,21.0,981.87,24.91,210
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.7,08-03-2019,22:00:00,8.00,1005.88,0.50,90,0.0,3.50,22.9,981.68,27.95,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,28.9,08-03-2019,22:00:00,10.00,1003.10,0.00,60,3.7,0.00,20.3,969.04,23.74,170
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.4,08-03-2019,22:00:00,10.00,1002.85,0.00,68,0.0,0.00,21.9,975.63,26.21,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.2,08-03-2019,22:00:00,10.00,1002.59,0.00,65,0.0,0.00,21.0,969.41,24.82,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.6,08-03-2019,22:00:00,15.00,1002.04,0.00,79,3.7,0.00,23.5,983.69,28.98,230
48331,NAN,น่าน,น่าน,18.77972,100.77778,27.9,08-03-2019,22:00:00,10.00,1001.80,0.00,74,0.0,0.00,22.9,979.21,27.93,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,27.2,08-03-2019,22:00:00,10.00,1002.36,0.00,87,0.0,0.00,24.8,972.70,31.22,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,27.0,08-03-2019,22:00:00,8.00,1003.19,0.00,77,0.0,0.00,22.6,967.92,27.36,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,28.0,08-03-2019,22:00:00,12.00,1000.80,0.00,70,0.0,0.00,22.1,971.44,26.54,000
