WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,WindDirection,LandVisibility,MinimumTemperature,Rainfall,VaporPressure,MeanSeaLevelPressure,WindSpeed,DewPoint,RelativeHumidity,Rainfall24Hr
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.0,08-11-2019,07:00:00,993.23,000,8.00,25.5,0.00,29.50,1003.90,0.0,23.8,88,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.0,08-11-2019,07:00:00,1001.40,150,9.00,25.5,0.00,29.50,1003.33,7.4,23.8,88,0.20
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,26.4,08-11-2019,07:00:00,982.55,000,10.00,25.1,0.00,30.51,1003.38,0.0,24.4,89,14.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.2,08-11-2019,07:00:00,986.32,000,10.00,24.7,0.00,30.67,1003.98,0.0,24.5,90,9.40
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.9,08-11-2019,07:00:00,987.69,150,10.00,25.3,0.00,31.19,1003.86,9.3,24.7,93,18.30
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.0,08-11-2019,07:00:00,991.00,150,10.00,25.1,0.00,31.38,1005.05,5.6,24.8,93,1.10
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.8,08-11-2019,07:00:00,991.05,000,9.00,24.8,0.00,31.27,1005.92,0.0,24.8,94,0.20
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.9,08-11-2019,07:00:00,990.21,140,10.00,25.2,0.00,32.29,1004.90,1.9,25.3,97,0.40
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,26.1,08-11-2019,07:00:00,999.68,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,25.1,0.00,29.68,1002.69,0.0,23.9,88,2.50
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.5,08-11-2019,07:00:00,995.19,000,10.00,25.8,0.00,30.43,1003.13,0.0,24.3,88,0.30
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,27.2,08-11-2019,07:00:00,1002.34,300,6.00,25.8,0.00,32.33,1003.45,5.6,25.3,90,0.30
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.0,08-11-2019,07:00:00,990.38,000,8.00,24.7,0.00,30.84,1005.09,0.0,24.6,92,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.1,08-11-2019,07:00:00,870.42,190,.05,19.0,16.20,23.51,1004.86,7.4,20.1,100,49.20
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.5,08-11-2019,07:00:00,997.40,230,10.00,25.0,0.00,30.43,1003.27,3.7,24.3,88,3.30
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.3,08-11-2019,07:00:00,1003.00,150,8.00,26.7,0.00,31.69,1003.79,1.9,25.0,87,1.90
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.5,08-11-2019,07:00:00,1003.13,210,10.00,28.5,0.00,30.15,1003.58,18.5,24.2,78,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.5,08-11-2019,07:00:00,992.39,000,3.00,24.3,5.20,29.93,1003.75,0.0,24.1,97,25.70
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.8,08-11-2019,07:00:00,1002.66,000,10.00,26.0,0.00,31.27,1003.67,0.0,24.8,89,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.8,08-11-2019,07:00:00,1001.58,170,8.00,26.3,0.00,31.00,1003.39,3.7,24.6,88,0.30
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.0,08-11-2019,07:00:00,1002.59,000,8.00,25.0,0.00,30.30,1003.36,0.0,24.3,90,0.40
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.1,08-11-2019,07:00:00,1002.91,200,10.00,26.9,0.00,30.75,1003.61,14.8,24.5,81,0.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.4,08-11-2019,07:00:00,1003.16,000,7.00,26.4,0.00,32.45,1003.86,0.0,25.4,89,0.20
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.7,08-11-2019,07:00:00,982.13,230,10.00,26.3,0.00,29.44,1003.16,7.4,23.8,79,0.20
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.5,08-11-2019,07:00:00,987.99,190,7.00,24.5,0.00,30.44,1004.75,9.3,24.3,93,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.0,08-11-2019,07:00:00,988.17,180,8.00,24.5,0.00,30.84,1004.62,5.6,24.6,92,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.0,08-11-2019,07:00:00,981.78,000,10.00,26.2,0.00,30.02,1003.56,0.0,24.1,84,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.3,08-11-2019,07:00:00,960.46,190,10.00,25.0,0.00,27.46,1003.80,7.4,22.6,85,2.50
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,26.8,08-11-2019,07:00:00,983.17,140,10.00,25.6,0.00,29.64,1003.67,3.7,23.9,84,1.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,26.1,08-11-2019,07:00:00,984.91,180,8.00,25.0,0.00,32.40,1005.76,14.8,25.4,96,0.40
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,27.7,08-11-2019,07:00:00,1003.50,210,10.00,26.6,0.00,29.98,1003.93,13.0,24.1,81,1.50
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.2,08-11-2019,07:00:00,1002.51,000,8.00,25.6,0.00,32.32,1003.93,0.0,25.3,95,0.30
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,27.3,08-11-2019,07:00:00,1000.06,000,7.00,26.0,0.00,32.53,1004.97,0.0,25.4,90,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.1,08-11-2019,07:00:00,1000.50,000,11.00,24.2,0.00,29.68,1003.79,0.0,23.9,88,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.5,08-11-2019,07:00:00,1002.63,000,10.00,25.2,0.00,31.79,1003.74,0.0,25.1,92,0.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.0,08-11-2019,07:00:00,1003.70,230,10.00,27.2,0.00,31.11,1004.00,7.4,24.7,82,0.10
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,28.0,08-11-2019,07:00:00,1003.17,170,10.00,27.7,0.00,31.39,1003.85,3.7,24.8,83,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,27.6,08-11-2019,07:00:00,1003.51,160,10.00,27.4,0.00,30.89,1004.00,3.7,24.6,84,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.0,08-11-2019,07:00:00,1002.47,180,10.00,27.2,0.00,30.56,1003.87,9.3,24.4,81,1.60
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,28.5,08-11-2019,07:00:00,1002.35,210,10.00,28.0,0.00,32.10,1004.01,29.6,25.2,83,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,26.5,08-11-2019,07:00:00,997.72,180,10.00,25.9,0.00,31.52,1005.72,3.7,24.9,91,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,28.0,08-11-2019,07:00:00,1003.53,000,10.00,27.0,0.00,31.95,1003.81,0.0,25.1,85,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.5,08-11-2019,07:00:00,1001.13,270,10.00,27.5,0.00,31.54,1004.24,7.4,24.9,81,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.5,08-11-2019,07:00:00,997.61,210,12.00,27.0,0.00,30.97,1004.53,9.3,24.6,84,0.20
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,26.8,08-11-2019,07:00:00,999.28,000,8.00,25.9,0.00,31.82,1004.87,0.0,25.1,90,1.20
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,28.0,08-11-2019,07:00:00,995.20,210,10.00,27.5,0.00,32.23,1004.46,18.5,25.3,85,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.5,08-11-2019,07:00:00,1003.27,140,10.00,25.2,0.00,31.25,1004.53,7.4,24.8,96,2.40
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.5,08-11-2019,07:00:00,1003.49,240,11.00,26.7,0.01,31.52,1003.92,18.5,24.9,86,0.40
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.5,08-11-2019,07:00:00,992.25,000,10.00,24.3,0.20,29.93,1004.58,0.0,24.1,97,7.80
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.8,08-11-2019,07:00:00,1003.79,000,10.00,24.3,0.00,30.46,1004.51,0.0,24.3,92,3.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.2,08-11-2019,07:00:00,1003.10,210,10.00,27.0,0.01,30.95,1005.52,11.1,24.6,81,0.30
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,28.2,08-11-2019,07:00:00,1004.38,290,8.00,27.5,0.00,30.95,1004.90,13.0,24.6,81,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.2,08-11-2019,07:00:00,999.68,000,11.00,26.8,0.00,30.12,1004.82,0.0,24.2,84,0.01
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,27.8,08-11-2019,07:00:00,1004.96,220,7.00,27.1,0.00,32.12,1005.37,7.4,25.2,86,1.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.5,08-11-2019,07:00:00,1002.84,000,8.00,26.0,0.00,32.07,1005.61,0.0,25.2,93,3.70
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,25.5,08-11-2019,07:00:00,1004.57,000,8.00,23.0,2.00,30.17,1005.36,0.0,24.2,93,7.70
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.0,08-11-2019,07:00:00,1006.11,210,6.00,25.0,9.90,32.20,1006.57,5.6,25.3,96,48.40
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.8,08-11-2019,07:00:00,1005.31,000,7.00,24.3,4.60,30.48,1006.00,0.0,24.4,97,21.60
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.7,08-11-2019,07:00:00,1003.80,000,8.00,24.5,1.20,29.25,1005.34,0.0,23.7,94,13.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.9,08-11-2019,07:00:00,1005.99,190,10.00,24.5,11.50,28.56,1006.92,3.7,23.3,91,19.40
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,27.7,08-11-2019,07:00:00,1006.04,270,10.00,26.7,0.00,29.98,1006.72,5.6,24.1,81,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.6,08-11-2019,07:00:00,1006.32,210,9.00,24.5,0.70,30.65,1007.12,3.7,24.4,99,2.20
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,27.2,08-11-2019,07:00:00,1005.50,180,10.00,25.7,0.00,28.51,1006.14,11.1,23.2,79,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.7,08-11-2019,07:00:00,1006.75,210,10.00,24.6,0.00,30.28,1007.16,18.5,24.2,92,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,27.0,08-11-2019,07:00:00,1004.07,230,5.00,25.5,0.00,28.67,1008.29,5.6,23.3,80,0.01
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,25.0,08-11-2019,07:00:00,1005.86,000,4.00,23.2,0.00,31.12,1007.48,0.0,24.7,98,0.80
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.5,08-11-2019,07:00:00,1004.34,000,7.00,24.3,0.00,29.93,1007.85,0.0,24.1,97,4.50
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.3,08-11-2019,07:00:00,1006.53,000,8.00,24.3,6.70,29.57,1007.89,0.0,23.9,97,10.70
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,27.8,08-11-2019,07:00:00,1005.43,200,8.00,26.0,0.40,32.12,1006.31,18.5,25.2,86,14.30
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.8,08-11-2019,07:00:00,1003.64,000,10.00,23.4,3.70,30.22,1007.22,0.0,24.2,97,6.60
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,28.5,08-11-2019,07:00:00,1006.66,000,10.00,27.2,0.00,30.15,1007.09,0.0,24.2,78,4.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,28.1,08-11-2019,07:00:00,1005.42,240,9.00,24.1,2.60,29.11,1006.40,3.7,23.6,77,9.10
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,28.7,08-11-2019,07:00:00,1006.82,230,10.00,25.0,0.00,31.66,1007.63,27.8,25.0,80,1.80
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.0,08-11-2019,07:00:00,1006.21,000,8.00,24.4,2.90,30.32,1008.04,0.0,24.3,96,23.40
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.1,08-11-2019,07:00:00,1007.64,240,10.00,23.5,9.90,27.42,1008.40,1.9,22.6,91,11.80
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.5,08-11-2019,07:00:00,1004.87,000,10.00,23.1,4.00,28.17,1008.92,0.0,23.0,97,17.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.0,08-11-2019,07:00:00,1007.79,000,7.00,22.8,23.60,28.01,1008.48,0.0,23.0,94,54.80
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.2,08-11-2019,07:00:00,1007.36,000,8.00,21.2,8.80,28.36,1008.49,0.0,23.2,94,12.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,23.6,08-11-2019,07:00:00,1005.96,000,8.00,22.2,27.20,28.60,1008.92,0.0,23.3,98,35.40
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.0,08-11-2019,07:00:00,1008.42,000,2.00,23.7,3.70,28.78,1009.12,0.0,23.4,97,30.50
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.5,08-11-2019,07:00:00,1005.76,140,4.00,23.3,0.80,26.66,1009.94,5.6,22.1,92,7.90
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,24.5,08-11-2019,07:00:00,1008.19,000,9.00,.0,0.00,28.11,1008.78,0.0,23.0,91,0.20
