WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,WindDirection,LandVisibility,MinimumTemperature,Rainfall,VaporPressure,MeanSeaLevelPressure,WindSpeed,DewPoint,RelativeHumidity,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.9,08-11-2019,07:00:00,968.56,000,8.00,24.1,0.00,31.46,999.24,0.0,24.9,94,36.90
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.8,08-11-2019,07:00:00,839.88,120,.10,18.0,4.90,21.46,1000.03,3.7,18.6,99,33.10
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.7,08-11-2019,07:00:00,958.69,050,12.00,25.1,0.00,31.08,1002.09,1.9,24.7,94,4.20
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.5,08-11-2019,07:00:00,956.75,000,15.00,24.0,0.00,29.41,1002.22,0.0,23.8,96,13.80
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.4,08-11-2019,07:00:00,965.38,000,10.00,24.0,0.00,30.54,1003.02,0.0,24.4,100,22.60
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.1,08-11-2019,07:00:00,957.98,000,6.00,24.0,1.90,31.31,1002.95,0.0,24.8,98,13.10
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.6,08-11-2019,07:00:00,976.57,180,5.00,25.0,0.10,31.71,1003.24,3.7,25.0,97,18.80
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.2,08-11-2019,07:00:00,980.45,120,10.00,24.7,0.00,30.69,1002.18,3.7,24.5,96,62.80
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,26.0,08-11-2019,07:00:00,976.02,000,8.00,23.5,2.40,29.76,999.97,0.0,24.0,89,20.90
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.6,08-11-2019,07:00:00,967.67,000,10.00,25.2,1.50,31.17,1002.05,0.0,24.7,95,31.40
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.1,08-11-2019,07:00:00,974.80,000,10.00,24.9,0.00,29.44,1002.30,0.0,23.8,92,67.20
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.2,08-11-2019,07:00:00,967.88,000,10.00,25.1,3.60,31.49,1001.35,0.0,24.9,98,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.5,08-11-2019,07:00:00,983.75,000,12.00,25.4,2.90,31.25,1002.23,0.0,24.8,96,30.70
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.8,08-11-2019,07:00:00,979.99,000,7.00,25.5,5.80,32.37,1002.75,0.0,25.4,97,23.50
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.0,08-11-2019,07:00:00,973.13,000,5.00,24.5,2.30,31.12,1003.03,0.0,24.7,98,6.40
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.5,08-11-2019,07:00:00,966.73,000,6.00,24.5,6.00,29.41,1002.26,0.0,23.8,96,31.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.0,08-11-2019,07:00:00,972.95,000,4.00,24.1,0.00,31.39,1002.67,0.0,24.8,99,12.60
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.1,08-11-2019,07:00:00,995.24,000,6.00,26.0,1.80,31.30,1002.53,0.0,24.8,93,2.50
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.3,08-11-2019,07:00:00,983.57,060,15.00,24.4,0.00,31.68,1003.50,5.6,25.0,98,22.60
48353,LOEI,เลย,เลย,17.45000,101.73333,25.0,08-11-2019,07:00:00,974.42,000,10.00,24.6,0.80,30.32,1003.11,0.0,24.3,96,18.30
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.5,08-11-2019,07:00:00,983.55,110,6.00,25.3,3.20,32.07,1003.74,3.7,25.2,98,26.20
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.0,08-11-2019,07:00:00,983.00,000,10.00,25.0,0.00,30.84,1004.74,0.0,24.6,92,25.50
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.5,08-11-2019,07:00:00,984.31,200,12.00,25.4,0.00,31.24,1003.75,3.7,24.8,90,2.60
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,27.0,08-11-2019,07:00:00,988.25,180,10.00,26.4,0.00,30.83,1004.96,1.9,24.5,87,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,26.5,08-11-2019,07:00:00,987.85,140,10.00,25.0,0.00,30.43,1005.25,3.7,24.3,88,1.50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.3,08-11-2019,07:00:00,977.08,170,9.00,23.5,0.01,31.41,1002.87,3.7,24.9,97,45.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.3,08-11-2019,07:00:00,996.84,000,10.00,24.2,0.00,33.63,1002.61,0.0,26.0,98,2.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.2,08-11-2019,07:00:00,995.86,000,10.00,25.5,0.00,32.59,1002.03,0.0,25.5,96,0.30
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.0,08-11-2019,07:00:00,987.05,000,10.00,25.3,0.00,30.84,1003.48,0.0,24.6,92,4.40
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.9,08-11-2019,07:00:00,978.44,000,6.00,23.1,0.80,28.35,1000.84,0.0,23.2,96,49.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,25.9,08-11-2019,07:00:00,988.25,000,5.00,25.3,0.00,31.74,1002.62,0.0,25.0,95,5.20
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,25.0,08-11-2019,07:00:00,985.39,000,7.00,24.5,0.00,30.32,1001.80,0.0,24.3,96,12.20
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.4,08-11-2019,07:00:00,997.15,130,10.00,25.6,0.00,30.51,1002.37,9.3,24.4,89,2.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.0,08-11-2019,07:00:00,988.39,000,10.00,25.5,0.00,31.38,1001.55,0.0,24.8,93,0.60
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.0,08-11-2019,07:00:00,992.89,070,10.00,25.5,0.00,32.76,1002.20,3.7,25.6,98,9.90
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.6,08-11-2019,07:00:00,981.95,000,8.00,24.8,0.00,31.17,1003.65,0.0,24.7,95,33.60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,26.7,08-11-2019,07:00:00,986.21,200,10.00,25.3,0.00,32.18,1003.67,11.1,25.3,92,37.40
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,26.5,08-11-2019,07:00:00,988.70,150,10.00,26.4,0.00,31.79,1004.52,3.7,25.1,92,0.20
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.2,08-11-2019,07:00:00,983.78,190,10.00,25.2,0.00,30.67,1002.63,5.6,24.5,90,19.10
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.0,08-11-2019,07:00:00,957.48,000,6.00,22.4,2.00,26.83,1009.26,0.0,22.2,96,14.90
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.0,08-11-2019,07:00:00,998.21,140,8.00,25.5,0.00,30.84,1002.16,14.8,24.6,92,31.30
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.0,08-11-2019,07:00:00,907.82,170,7.00,20.0,0.50,22.77,1002.65,9.3,19.6,92,51.40
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.9,08-11-2019,07:00:00,987.95,150,8.00,25.4,0.00,32.01,1003.95,7.4,25.2,96,3.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,26.2,08-11-2019,07:00:00,998.53,180,10.00,25.6,0.00,29.60,1002.55,11.1,23.9,87,1.10
