WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,Rainfall24Hr,LandVisibility,AirTemperature,WindSpeed,RelativeHumidity,VaporPressure,WindDirection,Rainfall,StationPressure
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1005.46,08-26-2019,16:00:00,24.9,11.40,10.00,29.5,20.4,77,31.56,200,0.01,1004.06
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1005.78,08-26-2019,16:00:00,26.4,2.90,12.00,28.5,25.9,88,34.40,210,0.00,1004.11
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1007.15,08-26-2019,16:00:00,21.6,5.20,10.00,30.5,11.1,59,25.80,230,0.00,999.24
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.57,08-26-2019,16:00:00,22.7,2.40,12.00,30.0,11.1,65,27.55,240,0.00,1005.29
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.91,08-26-2019,16:00:00,23.7,0.80,10.00,29.5,9.3,71,29.33,200,0.00,1002.81
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1006.06,08-26-2019,16:00:00,23.7,4.30,12.00,29.5,14.8,71,29.33,240,0.01,999.18
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1005.28,08-26-2019,16:00:00,24.3,11.50,7.00,30.5,5.6,70,30.46,340,0.00,999.76
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1007.05,08-26-2019,16:00:00,23.6,24.50,10.00,29.8,16.7,69,29.08,260,0.01,997.83
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.48,08-26-2019,16:00:00,24.1,6.00,8.00,27.0,14.8,84,30.02,270,0.01,1006.22
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.12,08-26-2019,16:00:00,23.6,7.70,11.00,29.4,13.0,71,29.13,270,0.00,1005.69
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1006.17,08-26-2019,16:00:00,23.7,10.80,8.00,25.7,5.6,89,29.21,300,4.20,993.87
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.97,08-26-2019,16:00:00,26.0,6.90,9.00,27.7,3.7,91,33.62,310,1.20,1005.26
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.68,08-26-2019,16:00:00,23.3,3.00,10.00,30.4,11.1,66,28.59,200,0.01,1004.28
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.66,08-26-2019,16:00:00,23.6,0.90,10.00,28.8,9.3,73,29.08,270,0.00,1006.14
