WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,StationPressure,RelativeHumidity,VaporPressure,MeanSeaLevelPressure,WindDirection,WindSpeed,AirTemperature,Rainfall,DewPoint,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,8.00,10-14-2019,01:00:00,981.13,95,28.44,1012.40,000,0.0,24.1,0.00,23.2,3.30
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,10-14-2019,01:00:00,848.97,98,18.95,1011.92,200,14.8,17.0,0.00,16.7,15.30
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,8.00,10-14-2019,01:00:00,969.37,93,26.09,1013.66,270,5.6,23.0,19.70,21.8,28.10
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10.00,10-14-2019,01:00:00,967.70,94,25.84,1013.97,000,0.0,22.7,10.00,21.6,10.50
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,5.00,10-14-2019,01:00:00,976.04,100,26.42,1014.41,000,0.0,22.0,0.60,22.0,29.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10.00,10-14-2019,01:00:00,967.75,94,29.79,1013.20,000,0.0,25.0,0.00,24.0,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,6.00,10-14-2019,01:00:00,987.15,95,27.58,1014.29,000,0.0,23.6,0.20,22.7,1.10
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,11.00,10-14-2019,01:00:00,990.27,97,29.75,1012.28,000,0.0,24.4,0.00,24.0,12.90
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.00,10-14-2019,01:00:00,988.24,97,28.69,1012.68,000,0.0,23.8,0.00,23.4,0.90
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,10-14-2019,01:00:00,978.34,89,27.35,1013.24,000,0.0,24.5,0.00,22.6,6.60
