WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,MinimumTemperature,Rainfall,RelativeHumidity,WindSpeed,LandVisibility,VaporPressure,StationPressure,MeanSeaLevelPressure,WindDirection,Rainfall24Hr,AirTemperature
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,23.7,09-29-2019,07:00:00,27.3,0.00,79,5.6,10.00,29.36,1012.55,1013.24,030,0.00,27.8
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.3,09-29-2019,07:00:00,27.2,0.00,87,0.0,10.00,32.20,1013.14,1013.63,000,0.00,27.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,22.3,09-29-2019,07:00:00,26.3,0.00,77,11.1,9.00,26.91,1012.31,1013.73,330,0.00,26.6
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,25.0,09-29-2019,07:00:00,28.7,0.00,79,16.7,7.00,31.69,1011.65,1013.32,060,0.00,29.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.1,09-29-2019,07:00:00,24.0,0.00,97,0.0,10.00,29.93,1006.76,1014.90,000,0.00,24.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.0,09-29-2019,07:00:00,26.0,0.00,87,5.6,10.00,31.69,1012.66,1012.95,060,0.00,27.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,23.6,09-29-2019,07:00:00,25.9,0.00,77,5.6,10.00,29.19,1009.68,1012.82,260,0.00,28.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,23.1,09-29-2019,07:00:00,26.0,0.00,77,0.0,8.00,28.26,1006.22,1013.19,000,0.00,27.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.7,09-29-2019,07:00:00,26.0,0.00,89,0.0,8.00,31.08,1007.87,1013.50,000,0.00,26.7
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,23.0,09-29-2019,07:00:00,26.5,0.00,80,9.3,2.00,28.13,1004.56,1013.95,090,0.00,26.7
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,23.7,09-29-2019,07:00:00,25.9,0.00,86,7.4,5.00,29.33,1013.02,1014.29,320,0.00,26.2
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.7,09-29-2019,07:00:00,26.5,0.00,79,7.4,11.00,29.36,1013.10,1013.53,330,0.00,27.8
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.3,09-29-2019,07:00:00,23.1,0.00,96,0.0,6.00,28.53,1001.45,1013.91,000,1.00,24.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,22.4,09-29-2019,07:00:00,27.1,0.00,72,7.4,8.00,27.06,1012.40,1013.11,330,0.00,28.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.4,09-29-2019,07:00:00,25.6,0.00,89,5.6,5.00,30.51,1011.04,1013.50,360,0.00,26.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.1,09-29-2019,07:00:00,25.3,0.00,91,3.7,8.00,31.91,1012.38,1012.90,050,0.00,26.7
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,23.5,09-29-2019,07:00:00,25.8,0.00,83,5.6,10.00,29.00,1007.81,1013.00,030,0.00,26.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.5,09-29-2019,07:00:00,25.4,0.00,89,0.0,7.00,30.70,1012.62,1013.04,000,0.00,26.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.8,09-29-2019,07:00:00,24.8,0.00,96,0.0,8.00,31.25,1010.51,1013.31,000,34.20,25.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.8,09-29-2019,07:00:00,24.5,0.20,93,3.7,6.00,29.52,1012.50,1013.29,300,0.20,25.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,23.6,09-29-2019,07:00:00,25.0,0.00,88,0.0,7.00,29.13,1012.43,1012.90,000,19.00,25.8
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.3,09-29-2019,07:00:00,23.3,0.00,97,0.0,6.00,28.52,1012.99,1013.69,000,3.10,23.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,22.6,09-29-2019,07:00:00,23.2,0.00,96,0.0,8.00,27.41,1011.84,1013.40,000,2.40,23.2
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,22.0,09-29-2019,07:00:00,23.0,0.00,91,7.4,8.00,26.42,1012.55,1013.48,050,5.00,23.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.5,09-29-2019,07:00:00,23.5,0.00,99,0.0,10.00,30.83,1012.34,1013.03,000,5.10,24.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,22.4,09-29-2019,07:00:00,22.5,0.00,96,0.0,8.00,27.07,1012.67,1013.49,000,9.90,23.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.4,09-29-2019,07:00:00,22.7,0.00,99,3.7,10.00,28.85,1011.77,1012.42,220,37.10,23.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,22.1,09-29-2019,07:00:00,22.6,0.00,94,0.0,10.00,26.66,1012.06,1012.48,000,19.50,23.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,22.9,09-29-2019,07:00:00,22.6,0.00,98,0.0,5.00,27.91,1010.35,1014.65,000,28.00,23.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.4,09-29-2019,07:00:00,22.5,0.00,95,0.0,6.00,28.79,1009.52,1011.15,000,1.80,24.3
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.0,09-29-2019,07:00:00,23.5,0.00,97,0.0,8.00,28.17,1009.33,1012.86,000,1.30,23.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,23.7,09-29-2019,07:00:00,23.8,0.00,98,3.7,8.00,29.30,1011.25,1012.62,330,3.10,24.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,22.6,09-29-2019,07:00:00,22.5,0.00,99,0.0,10.00,27.49,1010.88,1011.78,000,27.40,22.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.3,09-29-2019,07:00:00,23.1,0.00,96,9.3,8.00,28.53,1008.87,1012.48,050,1.50,24.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.3,09-29-2019,07:00:00,25.6,0.00,91,0.0,10.00,30.38,1011.94,1012.38,000,0.80,25.9
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.4,09-29-2019,07:00:00,22.5,0.00,96,5.6,10.00,28.70,1010.74,1011.74,110,8.90,24.1
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,23.0,09-29-2019,07:00:00,24.3,0.00,87,0.0,10.00,28.15,1011.45,1012.27,000,0.40,25.4
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.2,09-29-2019,07:00:00,23.5,0.00,90,0.0,7.00,28.48,1010.31,1012.14,000,0.70,25.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.7,09-29-2019,07:00:00,25.3,0.00,89,1.9,10.00,31.08,1011.93,1012.69,160,1.90,26.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.3,09-29-2019,07:00:00,24.0,0.00,94,3.7,10.00,30.34,1008.66,1012.70,990,0.60,25.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,23.4,09-29-2019,07:00:00,23.3,0.00,96,0.0,10.00,28.70,1012.01,1012.70,000,20.50,24.1
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.8,09-29-2019,07:00:00,24.4,1.40,96,0.0,10.00,31.25,1011.55,1012.67,000,2.80,25.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.1,09-29-2019,07:00:00,22.4,0.00,97,0.0,10.00,29.93,1009.44,1012.40,000,1.20,24.5
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.4,09-29-2019,07:00:00,24.5,0.00,97,0.0,8.00,30.48,1010.66,1011.35,000,0.00,24.8
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.7,09-29-2019,07:00:00,23.8,0.00,97,0.0,5.00,29.31,1009.01,1013.20,000,1.50,24.3
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,23.4,09-29-2019,07:00:00,.0,11.20,95,5.6,8.00,28.79,1010.53,1011.12,270,11.20,24.3
