WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,Rainfall,WindSpeed,WindDirection,MeanSeaLevelPressure,VaporPressure,DewPoint,Rainfall24Hr,StationPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,94,08-23-2019,04:00:00,25.2,0.00,0.0,000,1006.00,30.15,24.2,0.10,975.04,6.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,99,08-23-2019,04:00:00,18.4,0.00,0.0,000,1004.20,20.93,18.2,0.00,843.19,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,93,08-23-2019,04:00:00,23.8,0.00,0.0,000,1006.23,27.42,22.6,106.50,962.39,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,96,08-23-2019,04:00:00,24.0,0.01,0.0,000,1006.24,28.53,23.3,8.00,960.51,8.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,100,08-23-2019,04:00:00,24.4,0.60,0.0,000,1005.91,30.54,24.4,10.70,968.16,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,97,08-23-2019,04:00:00,24.1,3.00,3.7,110,1006.27,29.22,23.7,8.10,961.00,5.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,95,08-23-2019,04:00:00,24.8,3.00,5.6,180,1007.45,29.69,23.9,3.00,980.60,6.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,98,08-23-2019,04:00:00,24.6,1.40,0.0,000,1007.36,30.38,24.3,1.50,985.47,10.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,95,08-23-2019,04:00:00,24.8,0.00,0.0,000,1007.03,29.69,23.9,1.50,982.81,5.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,93,08-23-2019,04:00:00,24.7,3.40,0.0,000,1006.34,28.98,23.5,45.30,971.71,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,92,08-23-2019,04:00:00,25.5,0.00,0.0,000,1006.90,29.91,24.0,0.00,979.30,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,96,08-23-2019,04:00:00,24.4,1.80,0.0,000,1006.41,29.23,23.7,30.00,972.68,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,93,08-23-2019,04:00:00,24.5,0.00,0.0,000,1006.48,28.63,23.3,2.50,987.86,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,95,08-23-2019,04:00:00,24.2,0.10,0.0,000,1006.71,28.62,23.3,11.80,983.73,8.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,96,08-23-2019,04:00:00,24.2,1.20,0.0,000,1007.04,28.88,23.5,2.20,976.94,6.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,93,08-23-2019,04:00:00,24.8,0.00,0.0,000,1006.23,29.16,23.6,2.10,970.60,5.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,99,08-23-2019,04:00:00,23.1,0.10,0.0,000,1006.39,27.99,22.9,1.30,976.38,10.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,95,08-23-2019,04:00:00,24.8,0.00,0.0,000,1007.20,29.69,23.9,26.60,999.84,8.00
