WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,RelativeHumidity,WindDirection,LandVisibility,VaporPressure,DewPoint,StationPressure,AirTemperature,MeanSeaLevelPressure,WindSpeed
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,08-19-2019,10:00:00,0.00,69,260,10.00,30.90,24.6,1001.28,31.0,1010.50,11.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,08-19-2019,10:00:00,0.00,63,230,15.00,29.15,23.6,1009.02,31.4,1010.26,11.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-19-2019,10:00:00,1.10,64,210,11.00,28.15,23.0,1009.23,30.6,1009.66,9.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-19-2019,10:00:00,0.00,63,000,9.00,29.07,23.6,997.85,31.5,1009.96,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-19-2019,10:00:00,0.00,59,260,12.00,28.10,23.0,1009.09,32.0,1009.79,5.6
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-19-2019,10:00:00,0.00,58,210,10.00,29.58,23.9,1008.46,33.3,1010.85,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-19-2019,10:00:00,0.00,71,260,12.00,32.05,25.2,1009.51,31.0,1010.03,5.6
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-19-2019,10:00:00,0.00,56,260,15.00,28.12,23.0,1004.39,33.0,1009.46,5.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,08-19-2019,10:00:00,0.00,68,000,8.00,30.82,24.5,1009.77,31.1,1010.18,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-19-2019,10:00:00,0.00,78,180,8.00,33.17,25.8,1007.75,30.0,1010.50,7.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-19-2019,10:00:00,0.00,59,000,10.00,27.82,22.8,1009.66,32.0,1010.44,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,08-19-2019,10:00:00,0.00,78,250,8.00,33.17,25.8,1009.78,30.0,1010.23,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,08-19-2019,10:00:00,1.50,70,270,10.00,30.06,24.1,1010.23,30.3,1010.90,7.4
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-19-2019,10:00:00,0.00,69,040,10.00,29.98,24.1,1009.15,30.4,1010.67,3.7
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,08-19-2019,10:00:00,0.00,68,210,10.00,28.91,23.5,1010.90,30.0,1011.81,5.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-19-2019,10:00:00,0.00,68,000,10.00,31.77,25.0,1010.38,31.7,1011.06,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-19-2019,10:00:00,0.00,66,170,10.00,28.78,23.4,1010.73,30.5,1011.52,3.7
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-19-2019,10:00:00,0.00,65,000,10.00,29.20,23.6,1010.22,31.0,1010.85,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-19-2019,10:00:00,0.00,65,000,10.00,30.32,24.3,1010.67,31.7,1011.07,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-19-2019,10:00:00,0.00,63,000,7.00,28.17,23.1,1008.84,30.9,1013.02,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-19-2019,10:00:00,0.00,61,000,10.00,28.74,23.4,1009.77,31.9,1011.36,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-19-2019,10:00:00,0.00,69,240,10.00,30.90,24.6,1007.58,31.0,1011.02,3.7
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-19-2019,10:00:00,0.00,69,000,10.00,30.78,24.5,1009.54,30.8,1010.88,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-19-2019,10:00:00,0.00,64,000,12.00,27.95,22.9,1010.73,30.5,1011.61,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-19-2019,10:00:00,0.00,60,000,10.00,27.00,22.4,1007.84,31.0,1011.37,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-19-2019,10:00:00,0.00,61,170,10.00,27.65,22.7,1010.74,31.2,1011.18,5.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-19-2019,10:00:00,0.00,66,300,10.00,28.09,23.0,1010.13,30.0,1011.12,5.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-19-2019,10:00:00,0.00,84,210,10.00,36.41,27.4,1010.83,30.4,1011.64,5.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-19-2019,10:00:00,0.00,72,160,10.00,31.19,24.7,1009.89,30.3,1011.69,7.4
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-19-2019,10:00:00,2.80,69,260,9.00,30.98,24.6,1010.33,30.9,1011.07,11.1
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-19-2019,10:00:00,13.20,74,220,10.00,31.03,24.7,1007.31,29.8,1011.29,9.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-19-2019,10:00:00,0.00,69,000,10.00,30.90,24.6,1010.53,31.0,1011.21,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-19-2019,10:00:00,11.00,68,000,12.00,31.43,24.9,1010.30,31.4,1011.41,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-19-2019,10:00:00,27.10,78,180,12.00,33.17,25.8,1008.55,30.0,1011.45,9.3
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-19-2019,10:00:00,0.00,75,000,10.00,32.75,25.6,1009.90,30.5,1010.58,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-19-2019,10:00:00,0.00,70,230,10.00,28.59,23.3,1007.65,29.4,1011.76,13.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-19-2019,10:00:00,0.00,56,000,10.00,25.67,21.5,1010.98,31.3,1011.56,0.0
