WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,DewPoint,MeanSeaLevelPressure,LandVisibility,StationPressure,Rainfall24Hr,VaporPressure,RelativeHumidity,Rainfall,AirTemperature,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,140,07-22-2019,10:00:00,23.6,1008.32,12.00,977.66,0.01,29.19,73,0.00,29.0,3.7
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,280,07-22-2019,10:00:00,18.4,1005.41,8.00,845.00,10.90,21.14,90,0.00,20.0,22.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,07-22-2019,10:00:00,23.8,1007.47,15.00,964.01,39.90,29.56,83,0.00,26.9,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,07-22-2019,10:00:00,23.9,1007.14,15.00,961.89,3.30,29.60,81,0.00,27.5,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,07-22-2019,10:00:00,25.0,1007.89,12.00,970.51,15.50,31.67,84,0.00,28.0,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,130,07-22-2019,10:00:00,23.9,1007.45,8.00,962.63,4.20,29.60,81,0.00,27.5,7.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,07-22-2019,10:00:00,24.3,1008.41,12.00,981.90,0.70,30.29,76,0.00,29.0,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,230,07-22-2019,10:00:00,21.1,1008.42,15.00,986.91,0.00,24.99,58,0.00,30.2,9.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,07-22-2019,10:00:00,22.9,1009.69,8.00,985.66,0.40,27.85,74,0.00,28.0,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,07-22-2019,10:00:00,23.3,1008.10,10.00,973.96,2.50,28.61,69,0.00,29.7,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,190,07-22-2019,10:00:00,23.9,1008.12,10.00,980.82,26.00,29.57,73,0.00,29.2,5.6
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,07-22-2019,10:00:00,22.1,1007.34,12.00,974.31,0.00,26.65,59,0.00,31.1,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,250,07-22-2019,10:00:00,24.3,1007.73,15.00,989.42,0.01,30.39,72,0.01,29.9,5.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,07-22-2019,10:00:00,24.4,1008.12,10.00,985.44,3.70,30.62,78,0.00,28.6,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,07-22-2019,10:00:00,23.4,1007.62,12.00,977.94,1.00,28.78,74,0.00,28.5,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,07-22-2019,10:00:00,24.3,1007.78,7.00,972.69,7.80,30.31,71,0.00,30.0,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,07-22-2019,10:00:00,24.9,1007.16,15.00,977.65,1.70,31.54,81,0.00,28.5,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,170,07-22-2019,10:00:00,24.2,1009.13,10.00,1001.89,0.50,30.14,70,0.00,30.2,5.6
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,180,07-22-2019,10:00:00,25.7,1007.19,13.00,987.51,0.00,33.00,77,0.00,30.2,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,140,07-22-2019,10:00:00,23.6,1007.17,15.00,978.83,11.00,29.19,69,0.00,30.0,5.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,190,07-22-2019,10:00:00,25.1,1007.25,15.00,987.28,17.70,31.89,76,0.00,29.8,5.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,200,07-22-2019,10:00:00,25.4,1007.86,15.00,986.42,7.30,32.34,72,0.00,31.0,3.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,170,07-22-2019,10:00:00,25.3,1007.25,15.00,987.99,0.60,32.26,74,0.00,30.4,5.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,120,07-22-2019,10:00:00,24.9,1008.68,10.00,991.91,1.30,31.55,90,0.30,26.8,3.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,07-22-2019,10:00:00,25.1,1008.89,7.00,991.43,2.40,31.79,92,2.00,26.5,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,260,07-22-2019,10:00:00,24.0,1006.43,15.00,980.98,0.80,29.89,68,0.00,30.5,9.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,07-22-2019,10:00:00,26.7,1008.56,10.00,1002.81,6.90,35.05,85,0.00,29.5,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,07-22-2019,10:00:00,24.8,1008.34,8.00,1002.22,0.60,31.31,72,0.00,30.5,0.0
