WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MeanSeaLevelPressure,StationPressure,VaporPressure,WindSpeed,DewPoint,Rainfall,WindDirection,AirTemperature,RelativeHumidity,Rainfall24Hr
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,07-08-2019,16:00:00,1003.94,974.66,26.23,0.0,21.9,0.00,000,31.6,56,3.10
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,8.00,07-08-2019,16:00:00,1005.54,970.55,27.39,0.0,22.6,0.00,000,30.2,64,0.60
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,15.00,07-08-2019,16:00:00,1002.67,973.90,29.63,3.7,23.9,0.00,180,35.0,53,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,8.00,07-08-2019,16:00:00,1005.52,998.24,31.52,0.0,24.9,4.10,000,27.5,86,4.10
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,14.00,07-08-2019,16:00:00,1002.95,983.63,33.56,0.0,26.0,0.00,000,34.6,61,0.90
48353,LOEI,เลย,เลย,17.45000,101.73333,15.00,07-08-2019,16:00:00,1003.74,975.95,24.80,13.0,21.0,0.00,300,35.0,44,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,15.00,07-08-2019,16:00:00,1003.15,983.60,28.30,11.1,23.1,0.00,260,35.2,50,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,15.00,07-08-2019,16:00:00,1004.45,983.22,31.20,3.7,24.7,0.00,230,33.1,62,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,15.00,07-08-2019,16:00:00,1003.67,984.68,30.12,7.4,24.2,0.00,280,33.7,58,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,12.00,07-08-2019,16:00:00,1004.55,988.18,30.69,0.0,24.5,0.00,000,33.0,61,3.50
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,12.00,07-08-2019,16:00:00,1003.91,986.92,31.11,7.4,24.7,0.00,100,33.2,61,23.70
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,12.00,07-08-2019,16:00:00,1002.79,977.74,29.83,3.7,24.0,0.00,210,34.4,55,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,07-08-2019,16:00:00,1004.84,999.19,27.54,24.1,22.7,0.00,260,33.7,53,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,12.00,07-08-2019,16:00:00,1005.37,999.32,28.84,18.5,23.4,0.00,230,33.5,56,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,07-08-2019,16:00:00,1005.05,989.06,28.43,0.0,23.2,0.00,000,34.7,51,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,6.00,07-08-2019,16:00:00,1007.17,984.71,26.02,0.0,21.7,0.30,000,25.2,81,21.90
48376,TAK,ตาก,ตาก,16.87833,99.14333,7.00,07-08-2019,16:00:00,1006.65,992.50,25.91,11.1,21.7,0.00,260,32.0,54,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,07-08-2019,16:00:00,1005.65,989.46,27.55,9.3,22.7,0.00,240,30.0,65,1.20
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,07-08-2019,16:00:00,1005.21,1000.10,30.28,5.6,24.2,0.00,210,33.5,59,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,07-08-2019,16:00:00,1003.77,990.89,30.28,0.0,24.2,0.00,000,33.5,59,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,12.00,07-08-2019,16:00:00,1005.22,996.15,27.77,5.6,22.8,0.00,270,34.8,50,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,07-08-2019,16:00:00,1003.85,982.74,26.29,14.8,21.9,0.00,230,34.2,49,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,12.00,07-08-2019,16:00:00,1003.46,986.49,27.93,20.4,22.9,0.00,240,35.3,49,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,11.00,07-08-2019,16:00:00,1003.11,987.72,26.88,5.6,22.3,0.00,250,34.5,49,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10.00,07-08-2019,16:00:00,1002.92,984.60,29.05,9.3,23.6,0.00,200,35.0,52,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,11.00,07-08-2019,16:00:00,1006.93,956.26,25.71,0.0,21.6,0.00,000,29.0,64,2.30
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,8.00,07-08-2019,16:00:00,1005.18,1001.31,31.75,0.0,25.0,0.00,000,33.5,61,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,3.00,07-08-2019,16:00:00,1007.60,912.63,22.79,22.2,19.6,0.10,220,22.1,86,6.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10.00,07-08-2019,16:00:00,1003.47,988.01,28.14,9.3,23.0,0.00,220,36.1,47,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,12.00,07-08-2019,16:00:00,1004.99,1001.08,31.10,3.7,24.7,0.00,190,36.1,52,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10.00,07-08-2019,16:00:00,1007.37,996.90,29.25,5.6,23.7,0.00,180,33.0,58,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,14.00,07-08-2019,16:00:00,1006.16,1004.27,27.62,9.3,22.7,0.00,190,33.6,53,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,12.00,07-08-2019,16:00:00,1004.62,984.18,34.68,11.1,26.5,4.20,240,32.5,71,4.20
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,07-08-2019,16:00:00,1002.92,985.81,26.63,5.6,22.1,0.00,270,35.5,46,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,07-08-2019,16:00:00,1003.39,987.78,26.86,5.6,22.3,0.00,210,36.6,44,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,07-08-2019,16:00:00,1004.46,990.83,27.61,5.6,22.7,0.00,290,35.0,49,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10.00,07-08-2019,16:00:00,1005.38,990.93,30.63,0.0,24.4,0.00,000,34.5,56,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10.00,07-08-2019,16:00:00,1005.35,991.03,28.72,13.0,23.4,0.00,240,34.0,54,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,07-08-2019,16:00:00,1005.67,1002.74,27.36,0.0,22.6,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",35.3,48,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,8.00,07-08-2019,16:00:00,1005.81,997.87,31.66,5.6,25.0,26.20,100,27.0,89,26.20
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,07-08-2019,16:00:00,1006.23,1005.14,27.75,18.5,22.8,0.00,230,33.1,55,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,10.00,07-08-2019,16:00:00,1004.39,990.08,29.71,0.0,23.9,0.00,000,34.2,55,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},4.00,07-08-2019,16:00:00,1005.89,872.35,25.93,7.4,21.7,2.80,290,22.6,95,2.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,07-08-2019,16:00:00,1005.26,999.56,31.96,3.7,25.1,0.00,270,35.8,54,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10.00,07-08-2019,16:00:00,1006.80,1006.02,34.68,11.1,26.5,0.00,240,35.5,60,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,07-08-2019,16:00:00,1006.61,1006.17,30.90,18.5,24.6,0.00,210,31.7,66,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10.00,07-08-2019,16:00:00,1007.99,996.85,29.07,0.0,23.6,0.00,000,31.5,63,6.70
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,12.00,07-08-2019,16:00:00,1006.17,1005.19,28.39,3.7,23.2,0.00,210,34.4,52,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,9.00,07-08-2019,16:00:00,1006.03,1004.25,30.29,3.7,24.3,0.00,220,34.2,56,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,9.00,07-08-2019,16:00:00,1006.20,1005.45,28.12,11.1,23.0,0.00,230,33.0,56,0.90
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,07-08-2019,16:00:00,1007.26,1006.57,28.32,22.2,23.1,0.00,210,33.1,56,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,8.00,07-08-2019,16:00:00,1006.50,1005.81,32.23,3.7,25.3,0.00,240,32.2,67,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,12.00,07-08-2019,16:00:00,1004.88,984.30,29.29,11.1,23.7,0.00,270,34.7,53,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,11.00,07-08-2019,16:00:00,1004.55,988.25,27.86,0.0,22.9,0.30,000,34.0,52,0.30
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10.00,07-08-2019,16:00:00,1005.20,989.20,30.63,11.1,24.4,0.00,190,34.5,56,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,07-08-2019,16:00:00,1005.39,983.92,30.08,0.0,24.1,0.00,000,32.0,63,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,12.00,07-08-2019,16:00:00,1005.80,963.05,28.56,7.4,23.3,0.00,240,30.1,67,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,07-08-2019,16:00:00,1005.14,984.82,27.55,11.1,22.7,0.00,210,30.0,65,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10.00,07-08-2019,16:00:00,1006.13,985.88,30.57,13.0,24.4,0.00,240,35.3,53,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,07-08-2019,16:00:00,1006.48,1006.05,26.31,11.1,21.9,0.00,270,32.5,54,0.10
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,8.00,07-08-2019,16:00:00,1007.06,1005.64,30.43,0.0,24.3,20.00,000,26.5,88,20.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,8.00,07-08-2019,16:00:00,1005.97,1001.09,33.25,3.7,25.8,0.80,180,29.9,79,2.90
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,07-08-2019,16:00:00,1007.11,1003.89,27.95,3.7,22.9,0.00,030,33.2,55,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,07-08-2019,16:00:00,1006.69,1005.61,33.00,1.9,25.7,0.00,230,33.8,63,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,07-08-2019,16:00:00,1006.18,1005.89,29.54,7.4,23.8,0.00,170,33.7,56,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,07-08-2019,16:00:00,1006.07,1005.40,30.04,7.4,24.1,0.00,220,33.8,57,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,07-08-2019,16:00:00,1006.30,1005.83,32.32,3.7,25.3,0.00,220,33.9,61,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,07-08-2019,16:00:00,1006.10,1004.72,28.92,20.4,23.5,0.00,250,34.1,54,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,07-08-2019,16:00:00,1006.09,1004.43,30.74,14.8,24.5,0.00,210,30.5,70,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,12.00,07-08-2019,16:00:00,1008.66,1000.80,27.84,3.7,22.9,0.00,230,33.0,55,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,07-08-2019,16:00:00,1006.82,1006.54,32.46,13.0,25.4,0.00,190,33.0,65,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,07-08-2019,16:00:00,1006.83,1003.74,33.81,9.3,26.1,0.00,200,31.0,75,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,07-08-2019,16:00:00,1007.44,1000.59,32.55,5.6,25.5,0.00,270,31.1,72,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.00,07-08-2019,16:00:00,1006.82,1001.27,29.80,11.1,24.0,0.00,290,29.6,72,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10.00,07-08-2019,16:00:00,1007.21,998.03,32.10,14.8,25.2,0.00,240,31.3,70,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,14.00,07-08-2019,16:00:00,1007.88,1006.63,29.92,11.1,24.0,0.00,270,31.5,65,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,07-08-2019,16:00:00,1006.86,1006.43,35.35,9.3,26.9,0.00,150,32.8,71,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,07-08-2019,16:00:00,1008.11,995.93,29.57,5.6,23.9,0.00,150,29.2,73,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,8.00,07-08-2019,16:00:00,1008.14,1007.42,29.50,9.3,23.8,6.10,180,26.0,88,6.10
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,07-08-2019,16:00:00,1007.62,1005.24,32.23,14.8,25.3,0.00,260,34.0,61,0.01
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,12.00,07-08-2019,16:00:00,1007.58,1007.07,32.05,14.8,25.2,0.00,240,31.0,71,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,14.00,07-08-2019,16:00:00,1007.00,1001.92,31.68,3.7,25.0,0.00,310,31.8,67,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10.00,07-08-2019,16:00:00,1007.54,1007.14,30.69,9.3,24.5,0.00,210,33.0,61,0.50
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,07-08-2019,16:00:00,1008.01,1005.28,31.93,11.1,25.1,0.00,220,31.5,69,0.20
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,07-08-2019,16:00:00,1007.94,1007.16,26.73,9.3,22.2,0.00,270,31.0,60,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,8.00,07-08-2019,16:00:00,1008.28,1007.82,33.59,5.6,26.0,0.00,240,30.2,78,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,07-08-2019,16:00:00,1009.12,1008.45,29.89,7.4,24.0,0.00,280,30.5,68,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,9.00,07-08-2019,16:00:00,1008.99,1007.48,30.08,0.0,24.1,0.20,000,29.6,73,0.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,07-08-2019,16:00:00,1009.74,1008.84,29.81,5.6,24.0,0.00,220,30.6,68,0.50
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,20.00,07-08-2019,16:00:00,1008.43,1007.75,31.86,0.0,25.1,0.00,000,32.3,66,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,9.00,07-08-2019,16:00:00,1009.50,1008.70,31.94,0.0,25.1,4.40,000,27.0,90,7.60
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,07-08-2019,16:00:00,1008.33,1007.71,29.83,9.3,24.0,0.00,030,32.3,62,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,07-08-2019,16:00:00,1008.12,1007.72,33.39,7.4,25.9,0.00,230,33.7,64,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,6.00,07-08-2019,16:00:00,1010.57,1006.40,27.19,13.0,22.5,0.00,250,31.1,60,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,07-08-2019,16:00:00,1008.85,1007.26,25.82,11.1,21.6,0.00,280,32.1,54,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10.00,07-08-2019,16:00:00,1009.21,1005.80,30.87,5.6,24.6,0.00,270,33.5,60,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,8.00,07-08-2019,16:00:00,1008.36,1007.01,30.90,0.0,24.6,2.80,000,28.6,79,2.80
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,07-08-2019,16:00:00,1009.37,1008.50,30.90,9.3,24.6,0.00,290,31.0,69,1.30
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,07-08-2019,16:00:00,1009.23,1005.72,29.35,0.0,23.7,0.00,000,31.5,64,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,07-08-2019,16:00:00,1010.47,1010.04,29.17,14.8,23.6,0.00,290,33.1,58,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,07-08-2019,16:00:00,1009.05,1008.07,29.99,0.0,24.1,0.00,000,32.1,63,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,07-08-2019,16:00:00,1008.95,1008.14,32.51,22.2,25.4,0.00,280,30.8,73,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,07-08-2019,16:00:00,1008.60,1006.81,30.36,11.1,24.3,0.00,230,32.0,64,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,11.00,07-08-2019,16:00:00,1007.83,1007.09,29.08,5.6,23.6,0.00,220,33.9,55,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,07-08-2019,16:00:00,1007.98,1004.08,27.45,22.2,22.6,0.00,260,34.5,50,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,7.00,07-08-2019,16:00:00,1008.83,1008.15,31.16,0.0,24.7,5.00,000,26.6,90,17.40
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,07-08-2019,16:00:00,1007.44,1006.34,30.20,11.1,24.2,0.00,200,32.9,60,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,12.00,07-08-2019,16:00:00,1008.14,1005.27,31.28,9.3,24.8,0.00,250,33.0,62,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,6.00,07-08-2019,16:00:00,1007.98,1007.29,32.61,0.0,25.5,15.90,000,27.2,90,15.90
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,7.00,07-08-2019,16:00:00,1007.67,1003.65,29.96,0.0,24.1,0.00,000,34.6,54,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,07-08-2019,16:00:00,1007.71,1007.13,30.49,16.7,24.4,0.00,060,31.5,66,0.00
