WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MeanSeaLevelPressure,StationPressure,VaporPressure,WindSpeed,DewPoint,Rainfall,WindDirection,AirTemperature,RelativeHumidity,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,07-08-2019,16:00:00,1005.98,975.25,31.25,0.0,24.8,0.70,000,27.5,85,1.30
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,7.00,07-08-2019,16:00:00,1002.69,843.43,23.28,38.9,19.9,1.20,270,21.5,91,3.90
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,07-08-2019,16:00:00,1004.11,960.90,27.13,9.3,22.4,1.30,250,27.6,73,1.30
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,2.00,07-08-2019,16:00:00,1004.07,958.92,29.58,0.0,23.9,1.40,000,27.2,82,2.40
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.00,07-08-2019,16:00:00,1003.99,967.20,28.91,0.0,23.5,0.00,000,31.7,62,0.80
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,12.00,07-08-2019,16:00:00,1003.81,959.65,28.09,0.0,23.0,0.00,000,31.0,63,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.00,07-08-2019,16:00:00,1004.50,978.36,31.52,0.0,24.9,0.00,000,32.0,66,7.90
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,12.00,07-08-2019,16:00:00,1006.28,984.69,32.47,1.9,25.4,2.20,210,28.4,84,2.20
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,07-08-2019,16:00:00,1007.25,983.21,31.38,0.0,24.8,1.00,000,27.0,88,68.60
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,07-08-2019,16:00:00,1005.80,971.38,29.17,11.1,23.6,9.90,200,26.4,85,9.90
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,07-08-2019,16:00:00,1006.24,978.89,29.19,0.0,23.6,0.60,000,28.0,77,0.60
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,12.00,07-08-2019,16:00:00,1006.12,972.88,28.27,0.0,23.1,0.00,000,28.8,71,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,7.00,07-08-2019,16:00:00,1005.71,987.23,30.97,0.0,24.6,3.50,000,26.5,89,3.50
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,07-08-2019,16:00:00,1004.21,981.89,29.46,0.0,23.8,0.00,000,32.4,61,0.00
