WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,VaporPressure,Rainfall,LandVisibility,Rainfall24Hr,DewPoint,AirTemperature,WindSpeed,StationPressure,RelativeHumidity
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,040,09-24-2019,13:00:00,1012.43,26.73,0.00,9.00,1.00,22.2,31.0,3.7,1011.67,60
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,100,09-24-2019,13:00:00,1011.83,27.65,0.00,9.00,2.00,22.7,31.2,9.3,1011.13,61
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,090,09-24-2019,13:00:00,1011.58,25.98,0.00,12.00,0.80,21.7,32.9,9.3,1010.89,52
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,070,09-24-2019,13:00:00,1012.66,25.07,0.00,8.00,0.01,21.1,30.1,11.1,991.60,59
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,040,09-24-2019,13:00:00,1012.62,26.93,0.00,9.00,0.60,22.3,30.1,9.3,995.98,63
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,050,09-24-2019,13:00:00,1012.96,27.74,0.00,12.00,0.00,22.8,31.1,7.4,996.66,61
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,060,09-24-2019,13:00:00,1012.50,25.80,0.00,8.00,7.60,21.6,30.5,14.8,990.78,59
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,070,09-24-2019,13:00:00,1012.33,24.07,0.00,10.00,17.70,20.5,28.5,18.5,969.07,62
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,030,09-24-2019,13:00:00,1012.56,27.80,0.00,10.00,3.40,22.8,29.7,11.1,992.07,67
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,050,09-24-2019,13:00:00,1014.55,27.26,0.00,8.00,0.00,22.5,29.7,24.1,993.76,65
