WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,DewPoint,MeanSeaLevelPressure,WindDirection,VaporPressure,StationPressure,WindSpeed,Rainfall,RelativeHumidity,Rainfall24Hr,AirTemperature
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,08-06-2019,13:00:00,24.8,1006.38,000,31.39,1005.29,0.0,0.00,69,3.20,31.1
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,08-06-2019,13:00:00,23.3,1006.19,300,28.68,1005.90,9.3,0.00,57,6.40,33.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,08-06-2019,13:00:00,24.5,1005.63,270,30.65,1004.96,9.3,0.00,64,13.40,32.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,08-06-2019,13:00:00,24.7,1005.55,300,31.11,1005.08,1.9,0.00,64,15.10,32.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-06-2019,13:00:00,23.4,1006.18,290,28.79,1004.79,18.5,0.00,62,6.00,31.5
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,08-06-2019,13:00:00,25.9,1006.06,210,33.41,1004.39,11.1,0.00,83,19.00,29.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,08-06-2019,13:00:00,23.4,1007.67,270,28.74,999.79,5.6,0.00,61,1.70,31.9
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,12.00,08-06-2019,13:00:00,26.1,1006.19,240,33.81,1005.91,9.3,0.00,75,12.90,31.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,08-06-2019,13:00:00,24.0,1006.36,200,29.88,1003.26,5.6,0.00,72,3.50,29.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,08-06-2019,13:00:00,24.5,1006.60,270,30.72,999.72,5.6,0.00,75,11.70,29.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,9.00,08-06-2019,13:00:00,24.2,1005.82,310,30.28,1000.32,13.0,0.00,63,0.20,32.1
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,12.00,08-06-2019,13:00:00,24.7,1007.33,290,31.19,998.18,7.4,0.00,64,1.60,32.4
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,14.00,08-06-2019,13:00:00,25.6,1006.93,340,32.75,1005.68,11.1,0.00,75,20.10,30.5
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-06-2019,13:00:00,26.0,1006.28,160,33.62,1005.85,3.7,0.00,80,6.00,29.8
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,08-06-2019,13:00:00,25.1,1006.47,000,31.95,994.26,0.0,3.40,85,13.20,28.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,08-06-2019,13:00:00,26.7,1006.62,000,35.03,1005.91,0.0,0.10,89,3.50,28.8
