WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,LandVisibility,MeanSeaLevelPressure,StationPressure,Rainfall,AirTemperature,Rainfall24Hr,DewPoint,VaporPressure,WindSpeed,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,94,10-18-2019,01:00:00,7.00,1013.88,982.55,0.00,24.0,7.30,23.0,28.01,0.0,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,97,10-18-2019,01:00:00,8.00,1012.90,850.19,0.00,17.8,0.00,17.3,19.73,7.4,130
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,87,10-18-2019,01:00:00,10.00,1013.71,969.60,0.00,24.2,0.00,21.9,26.34,0.0,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,95,10-18-2019,01:00:00,10.00,1014.07,967.83,0.00,23.0,0.00,22.1,26.58,0.0,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,99,10-18-2019,01:00:00,6.00,1015.04,976.67,0.00,22.2,0.00,22.0,26.50,0.0,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,95,10-18-2019,01:00:00,7.00,1013.62,967.86,0.00,23.0,0.00,22.1,26.58,0.0,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,93,10-18-2019,01:00:00,5.00,1013.71,986.57,0.00,23.5,5.50,22.3,26.91,0.0,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,93,10-18-2019,01:00:00,7.00,1012.87,990.78,0.00,23.5,0.00,22.3,26.91,0.0,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,95,10-18-2019,01:00:00,6.00,1014.04,989.56,0.00,23.6,0.00,22.7,27.58,0.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,85,10-18-2019,01:00:00,10.00,1014.02,979.16,0.00,25.0,0.01,22.3,26.94,0.0,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,93,10-18-2019,01:00:00,10.00,1014.04,986.16,0.00,24.5,0.00,23.3,28.63,0.0,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,94,10-18-2019,01:00:00,8.00,1013.84,979.83,0.00,24.2,2.20,23.2,28.36,0.0,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,91,10-18-2019,01:00:00,6.00,1013.16,994.45,0.00,25.0,0.00,23.4,28.74,0.0,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,93,10-18-2019,01:00:00,10.00,1014.07,990.95,0.00,24.5,0.00,23.3,28.63,0.0,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,91,10-18-2019,01:00:00,7.00,1014.19,983.77,0.00,23.0,0.00,21.5,25.60,0.0,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,94,10-18-2019,01:00:00,6.00,1014.15,978.09,0.00,23.5,0.00,22.4,27.16,0.0,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,93,10-18-2019,01:00:00,8.00,1013.95,983.68,0.00,22.8,0.00,21.6,25.76,0.0,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,81,10-18-2019,01:00:00,8.00,1012.87,1005.51,0.00,26.2,0.00,22.6,27.49,0.0,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,80,10-18-2019,01:00:00,8.00,1013.88,993.79,0.00,26.0,0.00,22.3,26.88,5.6,090
48353,LOEI,เลย,เลย,17.45000,101.73333,91,10-18-2019,01:00:00,8.00,1013.77,984.64,0.00,23.6,0.10,22.1,26.58,0.0,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,71,10-18-2019,01:00:00,12.00,1014.28,993.88,0.00,25.4,0.00,19.8,23.15,7.4,080
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,84,10-18-2019,01:00:00,10.00,1014.54,992.37,0.00,22.9,0.00,20.1,23.53,0.0,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,79,10-18-2019,01:00:00,10.00,1014.07,994.27,0.00,24.1,0.00,20.2,23.73,0.0,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,68,10-18-2019,01:00:00,12.00,1014.54,997.60,0.00,25.7,0.00,19.3,22.42,0.0,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,91,10-18-2019,01:00:00,10.00,1015.08,997.26,0.00,22.2,0.00,20.7,24.34,0.0,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,85,10-18-2019,01:00:00,9.00,1013.96,987.93,0.00,26.0,0.00,23.4,28.70,3.7,070
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,92,10-18-2019,01:00:00,8.00,1012.23,1006.41,0.00,27.0,0.00,25.6,32.77,0.0,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,93,10-18-2019,01:00:00,6.00,1012.12,1005.88,0.00,26.0,0.00,24.7,31.11,0.0,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,85,10-18-2019,01:00:00,10.00,1014.10,997.43,0.00,24.8,0.00,22.1,26.60,0.0,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,87,10-18-2019,01:00:00,10.00,1011.40,988.80,0.00,24.5,0.00,22.3,26.84,0.0,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,93,10-18-2019,01:00:00,6.00,1013.54,998.95,0.00,24.8,0.00,23.6,29.16,0.0,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,95,10-18-2019,01:00:00,8.00,1013.57,996.90,0.00,23.6,0.00,22.7,27.58,0.0,000
