WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,LandVisibility,MeanSeaLevelPressure,StationPressure,Rainfall,AirTemperature,Rainfall24Hr,DewPoint,VaporPressure,WindSpeed,WindDirection
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,83,10-18-2019,01:00:00,10.00,1012.22,1006.97,0.00,27.2,0.00,24.0,29.85,0.0,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,84,10-18-2019,01:00:00,10.00,1012.11,998.80,0.00,26.0,0.00,23.1,28.18,0.0,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,92,10-18-2019,01:00:00,10.00,1012.59,1003.19,0.00,26.2,0.00,24.8,31.22,0.0,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,80,10-18-2019,01:00:00,10.00,1013.79,991.84,0.00,25.2,0.00,21.4,25.52,7.4,040
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,87,10-18-2019,01:00:00,10.00,1013.02,995.27,0.00,24.5,0.00,22.3,26.84,0.0,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,79,10-18-2019,01:00:00,10.00,1013.31,997.25,0.00,24.5,0.00,20.7,24.37,0.0,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,88,10-18-2019,01:00:00,8.00,1012.98,993.80,0.00,24.0,0.00,21.9,26.25,0.0,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,91,10-18-2019,01:00:00,6.00,1015.31,962.87,0.00,21.0,0.00,19.4,22.54,0.0,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,93,10-18-2019,01:00:00,6.00,1012.27,1008.30,0.00,27.1,0.00,25.8,33.26,0.0,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,95,10-18-2019,01:00:00,4.00,1014.58,918.00,0.00,19.0,0.20,18.2,20.87,0.0,000
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,79,10-18-2019,01:00:00,8.00,1013.53,997.32,0.00,24.7,0.00,20.7,24.45,7.4,050
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,88,10-18-2019,01:00:00,6.00,1012.47,1008.41,0.00,27.0,0.00,24.8,31.38,0.0,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,75,10-18-2019,01:00:00,7.00,1013.63,1002.90,0.00,27.2,0.00,22.5,27.19,0.0,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,90,10-18-2019,01:00:00,9.00,1012.51,1010.56,0.00,26.2,0.00,24.5,30.67,0.0,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,66,10-18-2019,01:00:00,10.00,1013.29,992.32,0.00,27.2,0.00,20.3,23.88,11.1,060
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,75,10-18-2019,01:00:00,10.00,1013.19,995.28,0.00,24.5,0.00,19.9,23.17,0.0,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,79,10-18-2019,01:00:00,10.00,1013.06,996.68,0.00,24.6,0.00,20.8,24.53,0.0,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,71,10-18-2019,01:00:00,10.00,1012.44,998.26,0.00,25.4,0.00,19.7,22.91,3.7,040
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,79,10-18-2019,01:00:00,8.00,1012.69,997.66,0.00,24.5,0.00,20.7,24.37,0.0,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,77,10-18-2019,01:00:00,8.00,1012.55,997.73,0.00,25.5,0.00,21.1,25.02,11.1,030
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,90,10-18-2019,01:00:00,8.00,1012.45,1009.42,0.00,26.8,0.00,24.9,31.55,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,84,10-18-2019,01:00:00,8.00,1012.41,1004.41,0.00,26.5,0.00,23.6,29.08,0.0,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,84,10-18-2019,01:00:00,6.00,1012.09,1010.98,0.00,27.0,0.00,24.1,30.02,0.0,000
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,84,10-18-2019,01:00:00,8.00,1013.27,998.45,0.00,26.0,0.00,23.1,28.18,0.0,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,97,10-18-2019,01:00:00,8.00,1013.81,877.87,0.00,19.4,0.00,18.9,21.84,9.3,040
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,84,10-18-2019,01:00:00,10.00,1012.46,1006.53,0.00,26.0,0.00,23.1,28.18,3.7,080
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,93,10-18-2019,01:00:00,9.00,1011.94,1011.14,0.00,27.3,0.10,26.0,33.66,0.0,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,71,10-18-2019,01:00:00,8.00,1011.28,1010.83,0.00,28.9,0.00,23.2,28.45,3.7,140
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,91,10-18-2019,01:00:00,5.00,1012.83,1001.36,0.00,24.5,0.00,23.0,28.11,0.0,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,76,10-18-2019,01:00:00,7.00,1012.41,1011.40,0.00,28.3,0.00,23.7,29.22,0.0,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,72,10-18-2019,01:00:00,8.00,1012.44,1010.61,0.00,27.9,0.00,22.3,26.88,5.6,030
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,83,10-18-2019,01:00:00,4.00,1012.32,1011.55,0.00,26.9,1.80,23.7,29.29,0.0,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,84,10-18-2019,01:00:00,10.00,1011.54,1010.83,0.00,27.9,0.01,24.9,31.47,3.7,350
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,66,10-18-2019,01:00:00,7.00,1011.30,1010.60,0.00,29.2,0.00,22.1,26.60,5.6,080
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,78,10-18-2019,01:00:00,9.00,1013.17,991.86,0.00,26.7,0.00,22.6,27.34,7.4,080
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,81,10-18-2019,01:00:00,7.00,1012.64,995.77,0.00,25.9,0.00,22.3,26.97,0.0,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,83,10-18-2019,01:00:00,6.00,1013.45,996.79,0.00,24.7,0.00,21.7,25.93,5.6,040
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,84,10-18-2019,01:00:00,10.00,1012.90,990.85,0.00,26.0,0.00,23.1,28.18,0.0,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,78,10-18-2019,01:00:00,8.00,1012.46,968.71,0.00,25.0,0.00,20.9,24.69,14.8,080
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,80,10-18-2019,01:00:00,10.00,1012.48,991.75,0.00,26.0,0.00,22.3,26.88,7.4,030
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,90,10-18-2019,01:00:00,7.00,1014.63,993.43,0.00,23.6,0.00,21.9,26.33,11.1,040
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,87,10-18-2019,01:00:00,10.00,1011.63,1011.20,0.00,27.1,0.00,24.8,31.30,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,96,10-18-2019,01:00:00,6.00,1011.40,1009.97,0.00,26.0,1.40,25.3,32.20,0.0,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,98,10-18-2019,01:00:00,7.00,1011.68,1006.71,0.00,25.8,7.30,25.5,32.65,0.0,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,86,10-18-2019,01:00:00,10.00,1012.20,1008.89,0.00,27.5,0.20,24.9,31.52,0.0,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,98,10-18-2019,01:00:00,10.00,1012.08,1010.97,0.00,26.2,5.20,25.9,33.43,0.0,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,78,10-18-2019,01:00:00,9.00,1011.55,1011.25,0.01,28.7,0.01,24.5,30.82,5.6,080
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,79,10-18-2019,01:00:00,10.00,1011.24,1010.75,0.00,28.2,0.00,24.2,30.12,0.0,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,77,10-18-2019,01:00:00,10.00,1012.22,1010.81,0.00,28.4,0.00,23.9,29.68,3.7,050
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,92,10-18-2019,01:00:00,10.00,1013.32,1005.24,0.00,26.0,0.00,24.6,30.84,0.0,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,85,10-18-2019,01:00:00,6.00,1010.69,1010.41,0.00,28.0,4.00,25.1,31.95,0.0,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,76,10-18-2019,01:00:00,10.00,1010.87,1007.74,0.00,28.7,0.00,24.1,29.98,5.6,200
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,85,10-18-2019,01:00:00,10.00,1011.12,1004.17,0.00,28.0,2.60,25.1,31.95,0.0,000
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,88,10-18-2019,01:00:00,8.00,1011.96,1006.35,0.00,27.5,0.00,25.4,32.36,0.0,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,97,10-18-2019,01:00:00,5.00,1012.44,1011.16,0.00,25.7,37.90,25.3,32.18,0.0,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,81,10-18-2019,01:00:00,11.00,1011.29,1010.86,0.00,27.5,0.00,23.9,29.60,11.1,300
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,93,10-18-2019,01:00:00,6.00,1011.91,999.54,0.00,25.5,0.00,24.3,30.44,0.0,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,86,10-18-2019,01:00:00,8.00,1011.39,1010.68,0.00,27.8,10.40,25.2,32.12,5.6,300
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,93,10-18-2019,01:00:00,8.00,1011.12,1008.66,0.00,25.2,4.10,24.0,29.89,5.6,010
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,90,10-18-2019,01:00:00,10.00,1010.97,1010.45,0.00,26.8,0.00,24.9,31.55,0.0,000
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,84,10-18-2019,01:00:00,8.00,1010.79,1005.61,0.00,26.8,12.10,23.9,29.64,1.9,020
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,79,10-18-2019,01:00:00,7.00,1010.60,1010.19,0.00,27.3,0.00,23.4,28.69,5.6,040
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,86,10-18-2019,01:00:00,10.00,1010.63,1007.85,0.00,26.3,0.00,23.7,29.25,0.0,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,95,10-18-2019,01:00:00,10.00,1012.40,1011.61,0.00,24.8,23.80,23.9,29.69,0.0,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,89,10-18-2019,01:00:00,7.00,1009.75,1009.29,0.00,26.0,8.20,24.0,29.76,0.0,000
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,97,10-18-2019,01:00:00,8.00,1010.35,1009.66,0.00,24.4,36.40,23.8,29.49,0.0,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,95,10-18-2019,01:00:00,8.00,1010.67,1009.12,0.00,24.6,29.80,23.7,29.33,0.0,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,95,10-18-2019,01:00:00,10.00,1010.49,1009.57,0.00,24.6,5.00,23.7,29.33,3.7,050
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,90,10-18-2019,01:00:00,10.00,1010.32,1009.63,0.00,27.8,24.00,26.0,33.53,7.4,360
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,96,10-18-2019,01:00:00,7.00,1010.71,1009.90,0.00,24.0,21.50,23.3,28.53,0.0,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,98,10-18-2019,01:00:00,10.00,1010.25,1009.61,0.00,24.7,8.30,24.4,30.56,0.0,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,97,10-18-2019,01:00:00,10.00,1009.83,1009.42,0.00,24.0,34.90,23.4,28.78,0.0,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,97,10-18-2019,01:00:00,5.00,1012.33,1008.05,0.00,24.0,28.90,23.4,28.78,0.0,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,98,10-18-2019,01:00:00,10.00,1010.30,1008.67,0.00,24.0,0.00,23.7,29.30,0.0,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,97,10-18-2019,01:00:00,6.00,1010.25,1006.73,0.00,24.2,1.50,23.6,29.13,0.0,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,100,10-18-2019,01:00:00,10.00,1009.54,1008.17,0.00,23.5,45.70,23.5,28.94,0.0,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,92,10-18-2019,01:00:00,10.00,1009.90,1009.01,0.00,25.4,0.00,24.1,29.99,0.0,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,95,10-18-2019,01:00:00,10.00,1010.31,1006.71,0.00,24.0,3.00,23.1,28.27,0.0,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,91,10-18-2019,01:00:00,10.00,1010.16,1009.72,0.00,25.9,6.00,24.3,30.38,0.0,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,86,10-18-2019,01:00:00,10.00,1009.72,1008.72,0.00,25.8,0.01,23.3,28.60,0.0,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,90,10-18-2019,01:00:00,10.00,1009.82,1009.00,0.00,25.5,2.60,23.7,29.38,0.0,000
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,94,10-18-2019,01:00:00,10.00,1009.98,1008.15,0.00,25.0,41.80,24.0,29.79,0.0,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,81,10-18-2019,01:00:00,11.00,1010.53,1009.78,0.00,27.8,33.10,24.2,30.17,14.8,080
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,99,10-18-2019,01:00:00,9.00,1010.24,1006.20,0.00,24.7,29.60,24.5,30.83,3.7,260
48570,SATUN,สตูล,สตูล,6.65000,100.08333,81,10-18-2019,01:00:00,10.00,1009.95,1009.27,0.00,27.2,3.20,23.7,29.31,11.1,090
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,94,10-18-2019,01:00:00,10.00,1009.96,1008.84,0.00,25.6,144.40,24.6,30.90,0.0,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,96,10-18-2019,01:00:00,10.00,1010.13,1007.18,0.00,24.8,25.00,24.1,29.95,0.0,000
