WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,StationPressure,Rainfall,MeanSeaLevelPressure,DewPoint,RelativeHumidity,LandVisibility,WindSpeed,VaporPressure,AirTemperature,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,07-20-2019,13:00:00,974.33,0.00,1004.38,24.2,57,15.00,0.0,30.16,34.0,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,000,07-20-2019,13:00:00,844.30,0.00,1001.73,20.4,76,8.00,0.0,23.96,25.0,1.70
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,200,07-20-2019,13:00:00,960.90,0.00,1003.12,23.0,51,15.00,9.3,28.02,34.5,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,07-20-2019,13:00:00,958.92,0.00,1003.12,22.6,53,15.00,0.0,27.34,33.6,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,07-20-2019,13:00:00,967.16,0.00,1003.32,22.6,44,12.00,0.0,27.40,37.0,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,07-20-2019,13:00:00,959.31,0.00,1002.66,21.1,41,12.00,0.0,24.96,36.5,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,310,07-20-2019,13:00:00,978.48,0.00,1004.21,24.6,49,12.00,7.4,30.97,37.0,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,270,07-20-2019,13:00:00,982.81,0.00,1003.77,20.9,40,15.00,14.8,24.71,36.8,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,07-20-2019,13:00:00,982.64,0.00,1006.12,23.5,55,10.00,0.0,29.00,34.0,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,120,07-20-2019,13:00:00,970.68,0.00,1003.96,22.4,45,12.00,3.7,27.11,36.3,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,07-20-2019,13:00:00,976.79,0.00,1003.24,21.6,40,10.00,0.0,25.83,37.5,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,07-20-2019,13:00:00,970.82,0.00,1003.09,21.7,41,15.00,0.0,25.88,37.1,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,220,07-20-2019,13:00:00,985.78,0.00,1003.68,23.6,50,15.00,7.4,29.05,35.7,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,120,07-20-2019,13:00:00,981.91,0.00,1003.96,23.6,49,10.00,7.4,29.10,36.0,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,07-20-2019,13:00:00,974.92,0.00,1003.83,21.5,44,12.00,0.0,25.70,35.6,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,07-20-2019,13:00:00,968.92,0.00,1003.16,21.9,44,8.00,0.0,26.33,36.2,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,050,07-20-2019,13:00:00,974.12,0.00,1002.75,24.4,50,16.00,7.4,30.56,36.4,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,07-20-2019,13:00:00,997.25,0.00,1004.35,23.9,53,10.00,0.0,29.63,35.0,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,350,07-20-2019,13:00:00,984.82,0.00,1004.17,26.9,65,15.00,9.3,35.50,34.5,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,210,07-20-2019,13:00:00,975.92,0.00,1003.44,21.0,38,15.00,11.1,24.85,38.0,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,090,07-20-2019,13:00:00,984.62,0.00,1004.21,25.4,58,15.00,3.7,32.40,34.9,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,180,07-20-2019,13:00:00,984.33,0.00,1005.44,26.2,60,15.00,3.7,33.99,35.2,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,000,07-20-2019,13:00:00,985.29,0.00,1004.29,25.9,64,15.00,0.0,33.47,33.6,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,080,07-20-2019,13:00:00,989.15,0.00,1005.55,25.4,66,12.00,5.6,32.41,32.7,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,210,07-20-2019,13:00:00,988.73,0.00,1005.78,24.9,63,10.00,5.6,31.44,32.8,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,090,07-20-2019,13:00:00,977.90,0.00,1002.81,21.3,43,12.00,9.3,25.37,36.0,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,030,07-20-2019,13:00:00,998.30,0.00,1003.90,25.7,56,10.00,7.4,33.02,36.0,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,07-20-2019,13:00:00,998.67,0.00,1004.68,24.3,53,12.00,0.0,30.35,35.2,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,07-20-2019,13:00:00,989.23,0.00,1005.19,22.5,47,10.00,0.0,27.19,35.5,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,230,07-20-2019,13:00:00,982.43,0.00,1004.33,24.5,64,10.00,7.4,30.65,32.0,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,260,07-20-2019,13:00:00,991.08,0.00,1005.04,21.6,45,10.00,14.8,25.78,35.5,0.00
