WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,DewPoint,WindDirection,StationPressure,VaporPressure,WindSpeed,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-29-2019,22:00:00,25.5,23.4,000,982.21,28.85,0.0,10.00,88,1013.37,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-29-2019,22:00:00,18.2,16.9,200,851.27,19.20,11.1,8.00,92,1013.95,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-29-2019,22:00:00,24.2,20.5,000,968.48,24.13,0.0,{'@attributes': {'Unit': 'km'}},80,1012.55,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-29-2019,22:00:00,23.0,20.9,000,966.44,24.63,0.0,8.00,88,1012.60,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-29-2019,22:00:00,23.0,19.9,000,977.26,23.21,0.0,6.00,83,1015.55,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-29-2019,22:00:00,23.0,21.0,000,967.99,24.87,0.0,8.00,89,1013.76,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-29-2019,22:00:00,24.7,22.6,000,986.19,27.44,0.0,7.00,88,1013.20,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-29-2019,22:00:00,26.0,24.3,080,990.91,30.30,5.6,10.00,90,1012.82,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-29-2019,22:00:00,25.5,24.0,000,989.17,29.91,0.0,8.00,92,1013.48,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-29-2019,22:00:00,26.7,22.7,000,978.05,27.60,0.0,9.00,79,1012.68,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-29-2019,22:00:00,26.0,23.4,000,985.41,28.70,0.0,10.00,85,1013.13,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-29-2019,22:00:00,26.7,23.9,000,979.04,29.72,0.0,10.00,85,1012.72,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-29-2019,22:00:00,26.2,23.0,000,993.68,28.01,0.0,4.00,82,1012.30,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-29-2019,22:00:00,26.4,23.9,000,989.54,29.70,0.0,10.00,86,1012.49,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-29-2019,22:00:00,23.5,22.1,000,982.64,26.66,0.0,7.00,92,1012.98,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-29-2019,22:00:00,25.0,24.4,000,977.03,30.58,0.0,7.00,97,1012.87,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-29-2019,22:00:00,23.4,21.6,000,982.25,25.76,0.0,5.00,90,1012.41,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-29-2019,22:00:00,28.0,22.9,000,1004.74,27.85,0.0,8.00,74,1012.06,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-29-2019,22:00:00,28.5,22.9,000,992.07,27.97,0.0,6.00,72,1011.95,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-29-2019,22:00:00,25.5,22.4,240,983.33,27.04,3.7,4.00,83,1012.23,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-29-2019,22:00:00,26.7,22.7,170,992.16,27.60,1.9,7.00,79,1012.44,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-29-2019,22:00:00,24.0,21.7,000,990.80,26.01,0.0,6.00,87,1012.85,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-29-2019,22:00:00,26.0,22.3,180,992.69,26.88,3.7,8.00,80,1012.34,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-29-2019,22:00:00,26.4,20.5,000,996.20,24.04,0.0,8.00,70,1013.07,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-29-2019,22:00:00,23.6,21.2,000,995.93,25.11,0.0,7.00,86,1013.64,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-29-2019,22:00:00,26.5,21.2,000,985.73,25.20,0.0,7.00,73,1011.65,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-29-2019,22:00:00,28.7,26.3,280,1006.41,34.24,5.6,8.00,87,1012.20,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-29-2019,22:00:00,27.5,25.4,000,1006.12,32.36,0.0,7.00,88,1012.33,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-29-2019,22:00:00,28.0,22.9,000,996.37,27.85,0.0,8.00,74,1012.84,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-29-2019,22:00:00,26.5,22.8,120,989.12,27.77,3.7,10.00,80,1011.57,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-29-2019,22:00:00,27.5,25.7,000,998.70,32.93,0.0,6.00,90,1013.14,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-29-2019,22:00:00,25.5,21.7,000,996.38,26.02,0.0,7.00,80,1012.94,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-29-2019,22:00:00,28.0,25.0,000,1007.13,31.67,0.0,10.00,84,1012.37,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-29-2019,22:00:00,26.8,22.7,000,997.82,27.52,0.0,10.00,78,1011.08,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-29-2019,22:00:00,28.2,25.5,000,1002.59,32.63,0.0,4.00,85,1011.92,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-29-2019,22:00:00,26.7,22.2,000,990.61,26.82,0.0,6.00,77,1012.43,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-29-2019,22:00:00,27.0,24.1,000,997.25,30.02,0.0,6.00,84,1014.89,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-29-2019,22:00:00,26.5,22.0,000,996.37,26.47,0.0,10.00,77,1012.31,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-29-2019,22:00:00,25.4,23.6,000,992.45,29.19,0.0,8.00,90,1011.52,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-29-2019,22:00:00,25.0,22.6,000,962.61,27.45,0.0,7.00,87,1014.32,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-29-2019,22:00:00,29.1,25.7,000,1007.79,33.04,0.0,4.00,82,1011.74,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-29-2019,22:00:00,21.1,19.8,050,918.61,23.14,5.6,2.50,93,1014.53,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-29-2019,22:00:00,25.6,23.4,000,996.26,28.77,0.0,8.00,88,1012.40,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-29-2019,22:00:00,28.0,25.6,000,1008.02,32.80,0.0,5.00,87,1012.06,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-29-2019,22:00:00,26.0,22.4,000,1003.11,27.14,0.0,6.00,81,1013.89,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-29-2019,22:00:00,28.0,25.1,000,1010.87,31.95,0.0,9.00,85,1012.80,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-29-2019,22:00:00,27.2,22.8,000,991.36,27.72,0.0,8.00,77,1012.31,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-29-2019,22:00:00,25.2,23.4,000,994.63,28.83,0.0,10.00,90,1012.49,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-29-2019,22:00:00,26.8,23.4,000,995.80,28.84,0.0,10.00,82,1012.05,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-29-2019,22:00:00,27.7,22.7,000,997.94,27.57,0.0,10.00,74,1012.01,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-29-2019,22:00:00,26.4,22.9,000,997.49,27.85,0.0,9.00,81,1012.42,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-29-2019,22:00:00,27.0,24.3,000,998.39,30.29,0.0,7.00,85,1013.15,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.01,09-29-2019,22:00:00,28.4,25.7,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1008.82,33.04,0.0,6.00,85,1011.84,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-29-2019,22:00:00,27.9,24.7,000,1004.34,31.20,0.0,8.00,83,1012.31,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-29-2019,22:00:00,28.0,25.1,000,1011.10,31.95,0.0,8.00,85,1012.21,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-29-2019,22:00:00,26.5,22.5,000,998.00,27.25,0.0,8.00,79,1012.79,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-29-2019,22:00:00,18.7,17.0,000,879.07,19.42,0.0,8.00,90,1015.54,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-29-2019,22:00:00,26.4,23.8,000,1006.74,29.43,0.0,8.00,86,1012.67,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-29-2019,22:00:00,30.0,25.0,100,1011.67,31.72,5.6,7.00,75,1012.47,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-29-2019,22:00:00,30.3,25.6,210,1011.75,32.92,7.4,10.00,76,1012.20,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-29-2019,22:00:00,26.8,23.3,000,1002.10,28.57,0.0,4.00,81,1013.48,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-29-2019,22:00:00,29.5,24.5,000,1011.48,30.72,0.0,6.00,75,1012.49,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-29-2019,22:00:00,27.5,23.7,000,1010.55,29.33,0.0,8.00,80,1012.38,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-29-2019,22:00:00,27.4,25.3,000,1011.52,32.16,0.0,6.00,88,1012.29,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-29-2019,22:00:00,30.1,24.7,160,1011.54,31.07,3.7,8.00,73,1012.24,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-29-2019,22:00:00,29.6,23.0,000,1011.28,28.15,0.0,7.00,68,1011.98,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-29-2019,22:00:00,26.8,22.8,000,991.64,27.78,0.0,7.00,79,1012.93,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-29-2019,22:00:00,26.6,23.8,000,995.58,29.54,0.0,7.00,85,1012.41,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-29-2019,22:00:00,24.8,23.2,000,995.40,28.38,0.0,7.00,91,1012.03,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-29-2019,22:00:00,27.0,23.3,000,990.94,28.67,0.0,6.00,80,1012.92,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-29-2019,22:00:00,24.4,20.7,050,969.47,24.45,7.4,7.00,80,1013.34,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-29-2019,22:00:00,25.3,24.1,000,992.05,30.07,0.0,10.00,93,1012.85,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-29-2019,22:00:00,24.2,23.6,000,992.94,29.13,0.0,5.00,97,1014.10,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-29-2019,22:00:00,29.8,25.3,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1011.89,32.17,0.0,9.00,77,1012.32,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-29-2019,22:00:00,28.5,24.9,000,1011.20,31.54,0.0,6.00,81,1012.62,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-29-2019,22:00:00,27.5,25.5,000,1007.88,32.64,0.0,8.00,89,1012.84,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-29-2019,22:00:00,28.5,24.5,000,1009.47,30.70,0.0,6.00,79,1012.77,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-29-2019,22:00:00,26.5,25.1,130,1011.21,31.79,3.7,10.00,92,1012.33,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-29-2019,22:00:00,30.2,23.7,270,1012.08,29.30,3.7,10.00,68,1012.38,0.00
