WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,VaporPressure,AirTemperature,WindSpeed,WindDirection,StationPressure,DewPoint,Rainfall24Hr,MeanSeaLevelPressure,RelativeHumidity,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,6.00,07-14-2019,04:00:00,29.33,24.6,0.0,000,975.57,23.7,1.40,1006.62,95,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,07-14-2019,04:00:00,20.44,19.0,27.8,280,843.15,17.9,0.00,1003.80,93,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,07-14-2019,04:00:00,25.13,27.2,3.7,270,960.76,21.2,0.00,1004.03,70,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10.00,07-14-2019,04:00:00,27.05,25.8,0.0,000,959.02,22.4,0.00,1004.40,81,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,5.00,07-14-2019,04:00:00,30.32,25.0,0.0,000,969.68,24.3,0.00,1007.42,96,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10.00,07-14-2019,04:00:00,27.36,27.0,0.0,000,959.69,22.6,0.00,1004.45,77,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,8.00,07-14-2019,04:00:00,30.89,26.6,0.0,000,978.62,24.6,0.30,1005.25,89,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10.00,07-14-2019,04:00:00,27.52,26.8,0.0,000,984.56,22.7,0.00,1006.27,78,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,5.00,07-14-2019,04:00:00,29.16,24.8,0.0,000,983.67,23.6,0.00,1007.91,93,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,07-14-2019,04:00:00,26.77,27.4,0.0,000,971.84,22.2,0.00,1006.16,73,0.00
