WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,MinimumTemperature,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,VaporPressure,WindDirection,LandVisibility,RelativeHumidity,AirTemperature,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,975.55,09-02-2019,07:00:00,24.0,24.6,12.00,1006.59,0.00,29.77,000,6.00,96,24.7,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,844.21,09-02-2019,07:00:00,18.0,17.6,77.90,1005.66,0.00,20.62,300,1.00,100,18.0,9.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,962.88,09-02-2019,07:00:00,23.5,24.4,3.70,1006.62,2.10,28.98,010,10.00,93,24.7,3.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,961.02,09-02-2019,07:00:00,23.5,22.5,6.20,1006.69,2.50,28.89,000,15.00,94,24.5,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,968.52,09-02-2019,07:00:00,23.0,22.5,86.80,1006.47,34.50,28.07,000,6.00,100,23.0,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,960.99,09-02-2019,07:00:00,22.8,22.7,4.40,1006.35,0.00,27.66,000,7.00,96,23.5,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,980.38,09-02-2019,07:00:00,23.6,23.8,9.80,1007.27,9.70,29.05,000,10.00,96,24.3,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,984.89,09-02-2019,07:00:00,24.0,24.3,2.70,1006.76,0.80,29.77,000,12.00,96,24.7,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,983.27,09-02-2019,07:00:00,23.3,22.0,5.60,1007.57,0.00,28.53,000,4.00,96,24.0,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,972.50,09-02-2019,07:00:00,23.0,24.3,0.20,1007.18,0.00,28.03,000,10.00,91,24.6,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,979.39,09-02-2019,07:00:00,23.7,23.6,41.60,1007.12,0.00,29.22,000,10.00,97,24.1,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,972.98,09-02-2019,07:00:00,24.1,23.6,56.10,1006.71,0.00,29.93,000,10.00,97,24.5,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,987.96,09-02-2019,07:00:00,24.5,25.0,37.90,1006.54,0.10,30.77,000,12.00,97,25.1,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,983.98,09-02-2019,07:00:00,23.8,24.0,11.90,1006.94,3.40,29.41,000,5.00,96,24.5,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,977.07,09-02-2019,07:00:00,23.2,23.9,18.40,1007.18,3.00,28.44,000,7.00,95,24.1,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,971.44,09-02-2019,07:00:00,23.3,23.5,71.40,1007.25,0.00,28.60,000,4.00,98,23.6,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,975.98,09-02-2019,07:00:00,23.8,24.0,2.70,1005.89,0.30,29.56,000,10.00,99,24.0,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,999.15,09-02-2019,07:00:00,23.4,25.0,47.30,1006.49,0.00,28.83,000,7.00,90,25.2,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,985.42,09-02-2019,07:00:00,25.5,26.0,0.00,1005.31,0.00,32.71,230,12.00,95,26.4,9.3
48353,LOEI,เลย,เลย,17.45000,101.73333,977.29,09-02-2019,07:00:00,23.6,24.1,3.80,1006.11,0.30,29.15,000,10.00,95,24.5,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,985.79,09-02-2019,07:00:00,23.3,23.6,46.00,1006.12,23.40,28.53,200,14.00,96,24.0,7.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,983.65,09-02-2019,07:00:00,23.7,24.8,5.10,1005.46,0.00,29.36,000,12.00,92,25.2,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,985.32,09-02-2019,07:00:00,24.1,24.8,0.01,1004.87,0.00,30.07,000,10.00,93,25.3,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,988.40,09-02-2019,07:00:00,24.0,24.9,2.10,1005.22,2.00,29.79,000,7.00,94,25.0,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,987.89,09-02-2019,07:00:00,23.2,23.5,1.20,1005.42,1.20,28.36,000,6.00,94,24.2,0.0
