WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall,WindSpeed,MeanSeaLevelPressure,VaporPressure,Rainfall24Hr,WindDirection,StationPressure,DewPoint,LandVisibility,RelativeHumidity,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,07-19-2019,01:00:00,0.00,0.0,1003.75,29.98,0.00,000,973.11,24.1,10.00,81,27.7
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,07-19-2019,01:00:00,0.00,5.6,1001.67,22.10,4.00,270,841.80,19.1,8.00,95,19.9
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,07-19-2019,01:00:00,0.00,0.0,1001.56,30.17,0.00,000,958.48,24.2,15.00,81,27.8
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,07-19-2019,01:00:00,0.00,0.0,1001.47,29.85,0.00,000,956.43,24.0,15.00,83,27.2
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,07-19-2019,01:00:00,0.00,0.0,1002.82,28.18,0.00,000,965.38,23.1,7.00,84,26.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,07-19-2019,01:00:00,0.00,7.4,1001.80,29.33,0.00,140,957.38,23.7,10.00,75,28.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,07-19-2019,01:00:00,0.00,0.0,1002.88,30.23,0.00,000,976.47,24.2,10.00,78,28.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,07-19-2019,01:00:00,0.00,5.6,1003.19,27.83,0.00,210,981.71,22.9,12.00,70,29.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,07-19-2019,01:00:00,0.00,0.0,1005.06,30.84,0.00,000,980.99,24.6,8.00,92,26.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,07-19-2019,01:00:00,0.00,3.7,1002.26,26.48,0.00,200,968.36,22.0,10.00,62,30.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,07-19-2019,01:00:00,0.00,0.0,1003.57,26.29,0.00,000,976.46,21.9,10.00,62,29.9
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,07-19-2019,01:00:00,0.00,0.0,1002.34,27.32,0.00,000,969.28,22.5,10.00,67,29.3
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,07-19-2019,01:00:00,0.00,3.7,1002.12,30.72,0.00,180,983.89,24.5,10.00,75,29.5
48331,NAN,น่าน,น่าน,18.77972,100.77778,07-19-2019,01:00:00,0.00,0.0,1002.52,31.42,0.00,000,979.94,24.9,10.00,82,28.3
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,07-19-2019,01:00:00,0.00,0.0,1002.90,29.58,0.00,000,973.10,23.9,8.00,89,25.9
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,07-19-2019,01:00:00,0.00,0.0,1002.53,28.95,0.00,000,967.43,23.5,8.00,75,28.3
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,07-19-2019,01:00:00,0.00,0.0,1002.82,29.67,0.50,000,973.06,23.9,10.00,97,24.5
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,07-19-2019,01:00:00,0.00,0.0,1002.67,31.48,0.00,000,995.48,24.9,9.00,73,30.3
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,07-19-2019,01:00:00,0.00,5.6,1001.95,36.64,0.00,100,982.39,27.5,11.00,84,30.5
48353,LOEI,เลย,เลย,17.45000,101.73333,07-19-2019,01:00:00,0.00,0.0,1003.38,30.30,0.00,000,974.77,24.3,13.00,90,26.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,07-19-2019,01:00:00,0.00,0.0,1002.81,31.16,0.00,000,982.89,24.7,10.00,76,29.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,07-19-2019,01:00:00,0.00,0.0,1003.02,31.95,0.00,000,981.47,25.1,12.00,85,28.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,07-19-2019,01:00:00,0.00,0.0,1002.29,33.86,0.00,000,983.03,26.1,10.00,86,28.8
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,07-19-2019,01:00:00,0.00,1.9,1003.20,33.17,0.00,120,986.69,25.8,10.00,78,30.0
