WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,LandVisibility,AirTemperature,Rainfall24Hr,DewPoint,Rainfall,StationPressure,WindSpeed,VaporPressure,WindDirection
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1000.31,08-10-2019,04:00:00,96,4.00,26.0,5.00,25.3,2.00,991.02,0.0,32.20,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1000.87,08-10-2019,04:00:00,96,5.00,25.0,3.20,24.3,0.70,979.18,1.9,30.32,120
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1000.93,08-10-2019,04:00:00,97,10.00,25.9,0.60,25.5,0.00,983.47,0.0,32.56,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1005.76,08-10-2019,04:00:00,96,10.00,24.5,8.40,23.8,0.00,989.82,0.0,29.41,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,999.72,08-10-2019,04:00:00,96,8.00,25.5,44.00,24.8,4.00,980.89,0.0,31.25,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1000.74,08-10-2019,04:00:00,91,4.00,23.0,18.80,21.5,9.20,949.39,0.0,25.60,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1000.26,08-10-2019,04:00:00,97,3.00,25.7,8.50,25.1,3.50,996.31,0.0,31.90,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1001.05,08-10-2019,04:00:00,99,2.50,21.2,25.80,21.0,0.80,906.43,11.1,24.92,210
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1000.68,08-10-2019,04:00:00,97,5.00,25.7,0.50,25.3,0.10,984.72,0.0,32.18,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1000.34,08-10-2019,04:00:00,99,8.00,26.0,39.60,25.8,0.00,996.32,0.0,33.32,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1002.39,08-10-2019,04:00:00,97,6.00,25.0,25.00,24.4,0.00,991.69,0.0,30.58,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1001.09,08-10-2019,04:00:00,96,6.00,25.0,3.10,24.3,0.00,999.16,0.0,30.32,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1000.58,08-10-2019,04:00:00,88,10.00,25.9,1.20,23.7,0.00,979.78,3.7,29.31,280
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1000.21,08-10-2019,04:00:00,97,10.00,25.4,33.00,25.0,0.60,982.57,0.0,31.60,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1000.12,08-10-2019,04:00:00,98,10.00,25.5,27.50,25.2,0.80,984.00,5.6,32.07,140
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1000.92,08-10-2019,04:00:00,96,10.00,25.1,25.10,24.4,11.20,986.89,3.7,30.50,180
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1001.73,08-10-2019,04:00:00,98,8.00,24.8,41.40,24.5,21.20,986.87,0.0,30.75,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1001.30,08-10-2019,04:00:00,98,6.00,25.2,14.00,24.9,1.70,986.63,0.0,31.49,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1000.92,08-10-2019,04:00:00,95,8.00,25.9,9.60,25.0,0.20,997.91,0.0,31.74,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
