WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,WindDirection,MinimumTemperature,AirTemperature,DewPoint,RelativeHumidity,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed,StationPressure,VaporPressure,Rainfall
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-09-2019,07:00:00,8.00,130,17.5,18.2,16.5,90,1012.76,0.00,7.4,850.28,18.81,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-09-2019,07:00:00,8.00,340,21.5,22.1,20.7,92,1014.65,0.00,1.9,970.19,24.42,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-09-2019,07:00:00,12.00,000,19.5,20.8,19.7,93,1014.24,0.00,0.0,967.66,22.93,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-09-2019,07:00:00,8.00,000,20.0,21.0,20.8,99,1014.14,0.00,0.0,975.64,24.61,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-09-2019,07:00:00,.20,000,22.4,22.6,22.3,98,1014.48,0.00,0.0,968.62,26.91,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-09-2019,07:00:00,3.00,000,21.8,22.3,21.7,96,1014.71,0.00,0.0,987.44,25.93,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-09-2019,07:00:00,6.00,000,23.1,23.3,22.8,97,1013.38,1.00,0.0,991.26,27.83,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-09-2019,07:00:00,5.00,000,21.5,23.2,22.4,96,1014.38,0.00,0.0,989.86,27.16,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-09-2019,07:00:00,10.00,000,22.5,22.8,20.8,89,1013.98,0.00,0.0,978.86,24.56,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-09-2019,07:00:00,5.00,180,23.0,23.7,23.1,96,1013.74,6.20,7.4,985.80,28.26,0.50
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-09-2019,07:00:00,6.00,000,22.6,22.9,22.0,95,1013.99,0.00,0.0,979.83,26.41,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10-09-2019,07:00:00,5.00,280,23.8,24.4,23.1,92,1013.11,0.00,1.9,994.36,28.20,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-09-2019,07:00:00,10.00,000,22.6,23.1,22.2,95,1014.10,0.00,0.0,990.86,26.74,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-09-2019,07:00:00,10.00,000,21.3,21.6,20.7,94,1014.51,0.00,0.0,983.93,24.36,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-09-2019,07:00:00,2.00,000,22.3,22.5,22.0,97,1013.93,0.00,0.0,977.75,26.50,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-09-2019,07:00:00,9.00,000,23.2,23.4,22.3,94,1013.54,0.10,0.0,983.35,26.99,0.10
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-09-2019,07:00:00,7.00,000,24.0,24.5,22.3,87,1012.56,7.70,0.0,1005.16,26.84,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-09-2019,07:00:00,7.00,340,24.3,25.0,23.5,92,1013.31,10.40,9.3,993.17,29.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,10-09-2019,07:00:00,10.00,340,23.5,24.0,20.9,83,1013.93,0.00,3.7,984.84,24.78,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-09-2019,07:00:00,12.00,290,23.6,24.9,23.4,92,1013.44,0.00,3.7,993.01,28.82,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-09-2019,07:00:00,6.00,000,23.0,24.5,23.0,91,1013.60,0.00,0.0,991.57,28.11,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-09-2019,07:00:00,8.00,310,23.5,24.8,23.6,93,1012.89,0.01,3.7,993.16,29.16,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-09-2019,07:00:00,10.00,000,23.0,24.3,23.4,95,1013.24,10.60,0.0,996.25,28.79,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-09-2019,07:00:00,8.00,000,22.2,24.0,23.3,96,1013.47,7.50,0.0,995.78,28.53,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-09-2019,07:00:00,10.00,320,23.3,23.7,22.8,95,1012.29,0.00,9.3,986.11,27.75,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-09-2019,07:00:00,6.00,030,24.3,25.2,24.6,97,1013.11,0.00,3.7,1007.25,30.96,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-09-2019,07:00:00,8.00,000,24.5,25.0,23.5,92,1012.93,0.00,0.0,1006.66,29.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-09-2019,07:00:00,9.00,000,24.0,25.5,22.5,84,1013.74,0.10,0.0,997.11,27.29,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-09-2019,07:00:00,10.00,000,22.8,24.0,22.5,91,1012.04,0.00,0.0,989.39,27.25,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-09-2019,07:00:00,10.00,000,24.0,24.5,23.5,94,1013.67,0.00,0.0,999.08,28.89,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-09-2019,07:00:00,7.00,000,23.0,24.5,23.0,91,1013.00,5.60,0.0,996.38,28.11,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-09-2019,07:00:00,10.00,000,24.4,25.0,24.0,94,1013.37,1.90,0.0,1008.08,29.79,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-09-2019,07:00:00,10.00,000,24.8,25.2,23.4,90,1011.14,0.70,0.0,997.82,28.83,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-09-2019,07:00:00,12.00,000,24.8,25.1,24.2,95,1012.70,0.00,0.0,1003.27,30.23,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-09-2019,07:00:00,6.00,340,24.6,25.1,22.9,88,1012.80,0.00,5.6,990.85,27.88,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-09-2019,07:00:00,8.00,000,25.0,25.3,24.6,96,1012.81,0.00,0.0,995.11,30.87,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-09-2019,07:00:00,10.00,000,23.6,24.5,23.0,91,1011.88,0.10,0.0,995.84,28.11,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-09-2019,07:00:00,7.00,000,24.3,25.4,22.7,85,1012.08,0.00,0.0,993.00,27.63,0.00
