WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall,DewPoint,WindDirection,StationPressure,WindSpeed,VaporPressure,Rainfall24Hr,RelativeHumidity,LandVisibility,MeanSeaLevelPressure,AirTemperature
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10-05-2019,04:00:00,0.00,23.6,000,1008.82,0.0,29.05,0.00,96,7.00,1009.51,24.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10-05-2019,04:00:00,0.00,23.3,000,1008.13,0.0,28.53,0.00,96,8.00,1009.67,24.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10-05-2019,04:00:00,0.00,23.7,000,1009.19,0.0,29.26,0.00,92,10.00,1010.12,25.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10-05-2019,04:00:00,0.00,23.9,290,1008.57,13.0,29.62,0.00,86,10.00,1009.26,26.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10-05-2019,04:00:00,0.00,22.8,000,1009.18,0.0,27.66,49.10,96,7.00,1009.99,23.5
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10-05-2019,04:00:00,0.00,23.5,000,1009.03,0.0,28.97,0.00,95,10.00,1009.67,24.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10-05-2019,04:00:00,2.00,24.0,000,1009.73,0.0,29.85,2.00,97,10.00,1010.14,24.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,10-05-2019,04:00:00,0.00,22.8,000,1007.48,0.0,27.66,0.20,96,5.00,1011.75,23.5
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10-05-2019,04:00:00,0.00,22.6,000,1008.30,0.0,27.40,32.80,98,5.00,1009.94,22.9
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10-05-2019,04:00:00,0.00,23.3,000,1006.81,0.0,28.53,0.90,96,10.00,1010.33,24.0
