WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,DewPoint,MeanSeaLevelPressure,StationPressure,Rainfall24Hr,VaporPressure,LandVisibility,AirTemperature,Rainfall,RelativeHumidity,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,07-29-2019,04:00:00,22.9,1010.68,979.56,0.00,27.88,8.00,25.1,0.00,88,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,270,07-29-2019,04:00:00,18.2,1004.90,844.07,0.20,20.87,8.00,19.0,0.00,95,22.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,07-29-2019,04:00:00,23.6,1005.21,961.70,0.00,29.05,15.00,25.9,0.00,87,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,07-29-2019,04:00:00,23.7,1005.51,960.00,0.00,29.36,10.00,25.2,0.00,92,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,07-29-2019,04:00:00,23.8,1006.23,968.47,0.00,29.41,5.00,24.5,0.00,96,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,130,07-29-2019,04:00:00,23.3,1005.83,960.79,0.00,28.59,7.00,25.5,0.00,88,7.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,07-29-2019,04:00:00,24.0,1006.56,979.80,0.00,29.82,8.00,25.6,0.00,91,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,07-29-2019,04:00:00,23.6,1007.18,985.25,6.80,29.04,14.00,24.0,0.00,97,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,07-29-2019,04:00:00,23.7,1008.23,983.97,3.80,29.25,6.00,24.7,0.00,94,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,120,07-29-2019,04:00:00,23.2,1007.18,972.60,0.00,28.41,10.00,25.4,0.00,88,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,07-29-2019,04:00:00,22.3,1007.29,979.72,0.00,26.97,10.00,25.9,0.00,81,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,07-29-2019,04:00:00,23.2,1006.77,973.16,0.00,28.51,10.00,25.6,0.00,87,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,07-29-2019,04:00:00,24.0,1006.25,987.69,0.00,29.91,10.00,25.5,0.00,92,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,07-29-2019,04:00:00,24.2,1006.22,983.32,0.00,30.23,10.00,25.1,0.00,95,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,07-29-2019,04:00:00,22.8,1006.47,976.38,0.00,27.76,6.00,24.0,0.00,93,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,07-29-2019,04:00:00,24.3,1006.34,970.73,1.20,30.32,6.00,25.0,0.00,96,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,07-29-2019,04:00:00,24.1,1004.79,975.04,0.00,30.07,12.00,25.3,0.00,93,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,07-29-2019,04:00:00,23.4,1006.09,998.79,0.01,28.84,8.00,26.8,0.00,82,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,000,07-29-2019,04:00:00,26.3,1003.51,983.81,0.00,34.15,10.00,28.8,0.00,86,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,000,07-29-2019,04:00:00,23.9,1005.50,976.81,1.70,29.66,12.00,25.8,0.00,89,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,030,07-29-2019,04:00:00,24.2,1005.30,985.21,0.00,30.23,10.00,27.4,0.00,83,1.9
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,220,07-29-2019,04:00:00,24.5,1005.86,984.17,0.40,30.83,10.00,27.0,0.40,87,3.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,200,07-29-2019,04:00:00,24.4,1004.89,985.49,0.00,30.61,10.00,27.6,0.00,83,7.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,270,07-29-2019,04:00:00,26.5,1006.07,989.42,0.00,34.57,10.00,28.3,0.00,90,3.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,270,07-29-2019,04:00:00,25.5,1006.24,988.86,0.00,32.69,10.00,27.1,0.00,91,3.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,07-29-2019,04:00:00,23.8,1004.56,978.78,0.00,29.50,10.00,26.0,0.00,88,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,260,07-29-2019,04:00:00,23.0,1006.54,1000.74,0.00,28.01,10.00,26.2,0.00,82,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,07-29-2019,04:00:00,24.5,1004.61,998.43,0.00,30.83,10.00,27.0,0.00,87,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,07-29-2019,04:00:00,24.6,1006.72,990.24,0.00,30.84,8.00,26.0,0.00,92,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,07-29-2019,04:00:00,23.5,1007.27,984.76,0.30,28.89,8.00,24.5,0.30,94,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,270,07-29-2019,04:00:00,21.7,1007.32,992.96,1.00,26.00,8.00,27.7,0.00,70,13.0
