WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MeanSeaLevelPressure,DewPoint,AirTemperature,WindDirection,RelativeHumidity,VaporPressure,Rainfall24Hr,StationPressure,Rainfall,WindSpeed
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10.00,07-17-2019,16:00:00,998.92,22.7,36.7,190,45,27.65,1.30,980.77,0.00,7.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10.00,07-17-2019,16:00:00,1002.35,20.7,32.2,000,51,24.40,0.00,952.42,0.00,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,12.00,07-17-2019,16:00:00,1000.48,23.8,35.5,230,51,29.51,0.00,996.65,0.00,7.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,6.00,07-17-2019,16:00:00,1001.92,21.1,26.7,260,72,25.04,0.20,908.86,0.00,11.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10.00,07-17-2019,16:00:00,1000.29,23.4,36.4,000,47,28.77,0.00,984.89,0.00,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,12.00,07-17-2019,16:00:00,1000.62,26.8,34.8,000,63,35.26,17.40,996.71,0.00,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10.00,07-17-2019,16:00:00,1002.09,22.8,34.9,180,50,27.69,0.00,991.74,0.00,5.6
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,13.00,07-17-2019,16:00:00,1001.73,22.9,34.7,120,50,27.85,0.00,999.86,0.00,3.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,12.00,07-17-2019,16:00:00,1000.32,19.7,36.0,240,39,22.89,0.00,980.20,0.00,9.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,07-17-2019,16:00:00,1000.09,22.7,35.0,210,49,27.61,0.00,983.00,0.00,11.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,07-17-2019,16:00:00,1000.10,23.9,35.6,230,51,29.73,0.00,984.49,0.00,9.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,07-17-2019,16:00:00,1001.05,24.1,33.9,240,57,29.95,1.90,987.41,0.00,3.7
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10.00,07-17-2019,16:00:00,1001.87,25.1,33.3,000,62,31.92,2.20,987.42,0.00,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10.00,07-17-2019,16:00:00,1002.32,24.8,34.0,000,59,31.34,0.50,988.05,0.50,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,07-17-2019,16:00:00,1000.80,23.0,35.9,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",47,28.02,3.70,997.89,0.00,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,07-17-2019,16:00:00,1000.60,23.6,35.6,000,50,29.14,0.00,992.92,0.00,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,9.00,07-17-2019,16:00:00,1001.45,22.3,34.5,210,49,26.88,0.00,1000.37,0.00,11.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,9.00,07-17-2019,16:00:00,1002.99,26.1,32.4,090,70,33.85,0.00,988.62,0.00,5.6
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,8.00,07-17-2019,16:00:00,1001.26,22.0,22.5,210,97,26.50,2.80,868.29,0.00,7.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,07-17-2019,16:00:00,1000.99,25.5,35.0,230,58,32.62,0.00,995.30,0.00,3.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,9.00,07-17-2019,16:00:00,1001.80,26.7,35.0,240,62,35.09,0.00,1001.02,0.00,9.3
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,07-17-2019,16:00:00,1002.29,25.1,31.5,230,69,31.93,0.00,1001.85,0.00,16.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10.00,07-17-2019,16:00:00,1003.29,23.5,30.0,000,68,28.91,0.00,992.14,0.00,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,12.00,07-17-2019,16:00:00,1001.50,24.7,34.6,150,57,31.14,0.00,1000.52,0.00,3.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,10.00,07-17-2019,16:00:00,1001.67,23.5,34.8,170,52,28.92,0.00,999.91,0.00,5.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,9.00,07-17-2019,16:00:00,1001.00,21.1,34.4,220,46,25.02,0.00,1000.25,0.00,7.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,07-17-2019,16:00:00,1012.09,24.0,32.4,230,61,29.75,0.00,1011.40,0.00,22.2
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,12.00,07-17-2019,16:00:00,1001.66,25.6,35.5,240,57,32.82,0.00,1000.98,0.00,9.3
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,12.00,07-17-2019,16:00:00,1000.02,22.7,36.7,260,45,27.65,0.00,979.67,0.00,7.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,11.00,07-17-2019,16:00:00,1001.25,25.3,33.7,000,62,32.18,0.00,984.99,0.00,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,14.00,07-17-2019,16:00:00,1001.77,26.4,33.5,190,67,34.47,0.00,985.77,0.00,5.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,07-17-2019,16:00:00,1000.31,22.8,36.5,240,46,27.81,0.00,979.26,0.00,9.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,12.00,07-17-2019,16:00:00,1000.93,22.4,32.3,240,56,27.02,0.00,958.68,0.00,18.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,12.00,07-17-2019,16:00:00,1000.06,21.1,36.5,260,41,24.96,0.00,980.27,0.00,14.8
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10.00,07-17-2019,16:00:00,1002.34,24.9,33.8,150,60,31.50,0.00,982.08,0.00,11.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,07-17-2019,16:00:00,1002.59,24.3,31.0,300,68,30.33,0.80,1002.16,0.80,9.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,11.00,07-17-2019,16:00:00,1001.45,25.5,34.3,000,60,32.59,0.00,1000.07,0.00,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,8.00,07-17-2019,16:00:00,1001.29,25.8,34.0,200,62,33.14,0.00,996.50,0.00,3.7
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,07-17-2019,16:00:00,1001.22,21.1,36.5,320,41,24.96,0.00,998.05,0.00,11.1
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,07-17-2019,16:00:00,1001.62,27.1,28.5,210,92,35.87,0.00,1000.52,0.00,1.9
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,07-17-2019,16:00:00,1002.16,24.8,33.0,230,62,31.28,0.00,1001.86,0.00,14.8
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,12.00,07-17-2019,16:00:00,1001.85,25.6,33.0,200,65,32.76,0.00,1001.18,0.00,5.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,07-17-2019,16:00:00,1002.75,24.2,33.5,120,59,30.28,0.00,1002.28,0.00,3.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,07-17-2019,16:00:00,1001.86,24.9,32.7,190,64,31.53,0.00,1000.48,0.00,11.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,12.00,07-17-2019,16:00:00,1002.57,24.7,30.1,240,73,31.07,0.00,1000.92,0.00,13.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,15.00,07-17-2019,16:00:00,1003.00,22.6,33.6,230,53,27.34,0.00,995.19,0.00,11.1
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,07-17-2019,16:00:00,1002.21,25.4,33.3,000,64,32.51,0.00,1001.93,0.00,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,12.00,07-17-2019,16:00:00,1002.52,25.0,31.8,000,67,31.68,0.00,999.45,0.00,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,12.00,07-17-2019,16:00:00,1002.93,24.5,31.2,240,68,30.73,0.00,996.11,0.00,5.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.00,07-17-2019,16:00:00,1002.98,24.5,33.6,200,59,30.78,0.00,997.52,0.00,5.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,12.00,07-17-2019,16:00:00,1005.93,23.9,32.5,210,61,29.66,0.00,996.80,0.00,18.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,15.00,07-17-2019,16:00:00,1003.20,24.8,32.3,230,65,31.27,0.10,1001.96,0.10,7.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,07-17-2019,16:00:00,1002.20,25.7,33.1,170,65,32.98,0.01,1001.78,0.00,14.8
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,9.00,07-17-2019,16:00:00,1002.98,23.4,29.9,250,68,28.72,0.00,990.89,0.00,9.3
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,07-17-2019,16:00:00,1003.02,24.1,30.0,240,71,30.03,0.60,1002.32,0.60,11.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,07-17-2019,16:00:00,1003.55,24.4,33.2,220,60,30.53,0.00,1001.18,0.00,14.8
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,12.00,07-17-2019,16:00:00,1009.78,25.7,30.8,280,75,33.09,0.00,1009.27,0.00,11.1
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,12.00,07-17-2019,16:00:00,1002.56,24.7,31.4,280,68,31.14,0.00,997.51,0.00,7.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,9.00,07-17-2019,16:00:00,1003.17,25.3,32.8,230,65,32.33,3.70,1002.77,0.00,9.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,07-17-2019,16:00:00,1003.76,24.8,30.5,280,72,31.31,0.00,1001.03,0.00,7.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,07-17-2019,16:00:00,1003.36,23.5,29.0,300,72,28.91,0.90,1002.58,0.90,5.6
48501,TRAD,ตราด,ตราด,11.76667,102.88333,7.00,07-17-2019,16:00:00,1003.65,26.1,29.2,240,83,33.83,71.20,1003.19,0.20,9.3
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,07-17-2019,16:00:00,1005.88,23.4,25.9,290,86,28.78,2.30,1005.19,0.20,13.0
