WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,MeanSeaLevelPressure,Rainfall,LandVisibility,WindSpeed,DewPoint,Rainfall24Hr,VaporPressure,StationPressure,RelativeHumidity,AirTemperature
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-21-2019,10:00:00,200,1007.07,0.00,10.00,9.3,24.5,8.50,30.72,990.49,75,29.5
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-21-2019,10:00:00,270,1007.24,0.00,8.00,11.1,25.0,16.90,31.68,990.95,76,29.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-21-2019,10:00:00,000,1006.65,0.00,10.00,0.0,24.1,16.00,30.05,985.09,67,31.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-21-2019,10:00:00,230,1007.10,0.00,15.00,14.8,21.6,15.30,25.71,964.14,64,29.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-21-2019,10:00:00,180,1006.53,0.00,12.00,14.8,22.5,0.60,27.22,986.34,56,32.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-21-2019,10:00:00,210,1008.40,0.00,10.00,16.7,25.3,33.20,32.34,987.73,78,29.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-21-2019,10:00:00,000,1007.06,0.00,10.00,0.0,22.1,1.50,26.66,1006.63,62,30.1
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-21-2019,10:00:00,280,1007.54,0.00,10.00,3.7,26.6,21.60,34.80,1006.14,83,29.8
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-21-2019,10:00:00,000,1007.71,0.00,9.00,0.0,26.5,51.20,34.70,1002.81,86,29.2
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-21-2019,10:00:00,250,1007.54,0.00,12.00,7.4,23.5,0.01,28.91,1004.28,68,30.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-21-2019,10:00:00,170,1007.70,0.00,10.00,3.7,23.9,9.50,29.74,1006.61,74,29.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-21-2019,10:00:00,200,1007.65,0.00,10.00,5.6,23.3,12.60,28.54,1007.35,61,31.8
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,08-21-2019,10:00:00,000,1007.55,0.00,10.00,0.0,23.7,7.80,29.24,1006.88,64,31.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-21-2019,10:00:00,180,1008.65,0.00,10.00,3.7,24.3,11.50,30.46,1008.17,70,30.5
