WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,StationPressure,WindDirection,Rainfall,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,RelativeHumidity,VaporPressure,LandVisibility
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.5,09-19-2019,01:00:00,5.6,995.00,050,0.00,2.20,24.6,1009.08,89,30.97,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.4,09-19-2019,01:00:00,0.0,994.35,000,0.00,4.30,24.4,1009.24,89,30.51,8.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,27.1,09-19-2019,01:00:00,11.1,994.81,060,0.00,0.00,24.8,1009.51,87,31.30,6.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.1,09-19-2019,01:00:00,0.0,1007.20,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",18.70,54.80,23.2,1010.26,95,28.44,3.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,27.5,09-19-2019,01:00:00,0.0,1000.94,000,0.00,7.30,25.8,1008.89,90,33.21,2.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,27.5,09-19-2019,01:00:00,7.4,1007.72,160,0.00,0.00,25.5,1008.83,89,32.64,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,27.0,09-19-2019,01:00:00,3.7,992.50,100,0.00,1.80,25.1,1007.19,90,31.94,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.0,09-19-2019,01:00:00,0.0,875.20,000,0.00,1.80,19.7,1010.44,98,22.91,4.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,28.0,09-19-2019,01:00:00,0.0,1003.03,000,0.00,0.00,25.9,1008.90,88,33.37,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.5,09-19-2019,01:00:00,0.0,1009.30,000,0.00,27.50,24.8,1010.11,96,31.25,7.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,26.5,09-19-2019,01:00:00,0.0,1006.88,000,15.60,16.70,25.1,1007.33,92,31.79,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.0,09-19-2019,01:00:00,0.0,998.99,000,0.00,7.40,24.3,1010.40,96,30.32,5.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,25.6,09-19-2019,01:00:00,3.7,1008.48,180,4.30,4.30,24.7,1009.50,95,31.17,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,27.3,09-19-2019,01:00:00,0.0,1007.24,000,0.00,1.20,23.8,1009.06,81,29.50,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,24.6,09-19-2019,01:00:00,0.0,1008.61,000,0.10,0.10,23.0,1009.39,91,28.03,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,25.1,09-19-2019,01:00:00,5.6,1008.76,290,0.40,0.60,23.6,1009.47,92,29.18,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.3,09-19-2019,01:00:00,0.0,1008.70,000,34.10,35.70,24.1,1009.41,93,30.07,6.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.6,09-19-2019,01:00:00,3.7,987.82,120,0.00,0.00,24.1,1008.90,77,30.07,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.8,09-19-2019,01:00:00,0.0,992.46,000,0.00,8.50,24.8,1009.28,94,31.27,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.7,09-19-2019,01:00:00,0.0,993.30,000,0.00,12.80,24.7,1009.84,94,31.08,6.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.7,09-19-2019,01:00:00,0.0,987.39,000,0.00,0.00,22.7,1009.31,79,27.60,8.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.6,09-19-2019,01:00:00,5.6,965.76,090,0.00,0.00,22.8,1009.14,80,27.69,9.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.2,09-19-2019,01:00:00,0.0,988.21,000,0.50,0.50,23.1,1008.93,88,28.31,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.9,09-19-2019,01:00:00,0.0,989.65,000,0.00,0.00,24.9,1010.68,100,31.47,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.9,09-19-2019,01:00:00,5.6,1009.48,040,1.50,1.90,24.6,1009.91,93,30.92,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.5,09-19-2019,01:00:00,0.0,1007.87,000,1.70,9.20,25.2,1009.30,98,32.07,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.5,09-19-2019,01:00:00,0.0,1004.44,000,0.01,2.90,24.9,1009.41,97,31.52,{'@attributes': {'Unit': 'km'}}
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.5,09-19-2019,01:00:00,0.0,1005.49,000,33.10,33.10,23.3,1008.81,93,28.63,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.1,09-19-2019,01:00:00,0.0,1008.49,000,26.00,26.00,24.1,1009.61,100,30.00,5.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,26.2,09-19-2019,01:00:00,0.0,1008.42,000,1.30,17.40,24.0,1008.72,88,29.86,8.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.2,09-19-2019,01:00:00,0.0,1008.03,000,0.00,27.10,24.9,1008.52,98,31.49,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.1,09-19-2019,01:00:00,5.6,1007.75,120,17.40,21.00,24.4,1009.17,96,30.50,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.8,09-19-2019,01:00:00,0.0,1002.80,000,0.00,17.50,24.5,1010.89,98,30.75,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,27.1,09-19-2019,01:00:00,3.7,1008.45,080,0.00,0.40,25.5,1008.73,91,32.69,8.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,27.2,09-19-2019,01:00:00,0.0,1006.02,000,0.00,1.00,26.2,1009.16,94,34.03,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,26.9,09-19-2019,01:00:00,0.0,1002.08,000,0.00,0.00,25.2,1009.04,90,32.02,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.1,09-19-2019,01:00:00,0.0,1003.95,000,3.00,51.70,24.7,1009.60,97,31.04,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.7,09-19-2019,01:00:00,3.7,1008.83,270,2.00,2.10,25.3,1010.10,97,32.18,5.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.7,09-19-2019,01:00:00,0.0,1008.18,000,0.00,0.00,24.1,1008.61,81,29.98,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.8,09-19-2019,01:00:00,0.0,997.11,000,0.00,0.00,22.9,1009.49,89,27.87,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,26.9,09-19-2019,01:00:00,0.0,1008.17,000,0.00,0.00,23.7,1008.88,83,29.29,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,26.3,09-19-2019,01:00:00,0.0,1006.75,000,0.00,32.70,25.1,1009.20,93,31.96,7.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,28.0,09-19-2019,01:00:00,11.1,1008.48,250,0.01,2.70,26.2,1009.00,90,33.94,6.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.0,09-19-2019,01:00:00,0.0,1003.80,000,0.50,36.60,25.6,1008.97,92,32.77,6.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,26.5,09-19-2019,01:00:00,0.0,1008.86,000,0.00,0.00,25.1,1009.27,92,31.79,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.5,09-19-2019,01:00:00,0.0,1006.90,000,0.00,4.00,24.8,1009.69,96,31.25,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.0,09-19-2019,01:00:00,9.3,1008.63,310,0.00,0.00,22.0,1009.42,78,26.37,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.8,09-19-2019,01:00:00,0.0,1009.29,000,0.00,49.30,23.9,1009.75,95,29.69,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.0,09-19-2019,01:00:00,5.6,1009.53,290,0.00,1.50,23.4,1010.22,91,28.74,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.6,09-19-2019,01:00:00,5.6,1008.80,300,0.00,0.60,22.3,1010.34,82,26.96,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.0,09-19-2019,01:00:00,0.0,1010.40,000,3.40,58.90,23.1,1011.33,95,28.27,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.0,09-19-2019,01:00:00,0.0,1010.12,000,0.00,3.70,23.7,1010.81,92,29.26,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.3,09-19-2019,01:00:00,1.9,1010.37,150,0.00,0.00,23.4,1011.18,95,28.79,9.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.0,09-19-2019,01:00:00,0.0,1009.53,000,0.00,9.80,24.1,1010.17,95,30.05,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,26.2,09-19-2019,01:00:00,0.0,1010.22,000,0.00,0.20,24.2,1010.62,89,30.13,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.5,09-19-2019,01:00:00,0.0,1008.56,000,0.00,48.20,23.0,1012.84,97,28.17,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.8,09-19-2019,01:00:00,0.0,1009.78,000,0.01,0.40,23.2,1011.42,97,28.43,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.7,09-19-2019,01:00:00,0.0,1007.21,000,0.01,1.70,24.0,1010.72,96,29.77,7.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,25.2,09-19-2019,01:00:00,0.0,1009.24,000,0.00,0.00,23.4,1010.61,90,28.83,7.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,23.7,09-19-2019,01:00:00,0.0,1010.28,000,0.00,20.00,23.1,1011.18,96,28.26,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.5,09-19-2019,01:00:00,0.0,1007.25,000,0.00,29.00,23.2,1010.85,92,28.37,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.0,09-19-2019,01:00:00,0.0,1009.84,000,0.00,9.60,23.8,1010.28,88,29.50,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.6,09-19-2019,01:00:00,0.0,1009.66,000,0.20,31.50,22.8,1010.66,90,27.78,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.3,09-19-2019,01:00:00,0.0,1010.13,000,0.00,21.00,23.7,1010.96,91,29.28,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.1,09-19-2019,01:00:00,0.0,1009.20,000,0.00,0.20,23.5,1011.03,91,28.92,7.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.8,09-19-2019,01:00:00,3.7,1010.06,240,0.01,3.50,23.2,1010.82,85,28.34,6.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.5,09-19-2019,01:00:00,3.7,1006.91,990,0.01,0.80,23.8,1010.96,96,29.41,6.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.5,09-19-2019,01:00:00,0.0,1010.50,000,0.00,11.90,23.6,1011.19,95,29.15,7.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.5,09-19-2019,01:00:00,0.0,1009.73,000,0.00,0.20,24.0,1010.86,92,29.91,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,25.0,09-19-2019,01:00:00,0.0,1008.24,000,0.00,0.50,24.3,1011.19,96,30.32,10.00
