WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,StationPressure,WindDirection,Rainfall,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,RelativeHumidity,VaporPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.6,09-19-2019,01:00:00,0.0,978.94,000,0.00,6.50,24.6,1009.98,94,30.90,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.2,09-19-2019,01:00:00,5.6,847.56,110,0.00,5.70,18.6,1008.35,91,21.41,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,26.4,09-19-2019,01:00:00,0.0,965.90,000,0.00,0.00,23.9,1009.52,86,29.70,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.7,09-19-2019,01:00:00,0.0,964.01,000,0.00,0.00,23.9,1009.64,90,29.74,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.0,09-19-2019,01:00:00,0.0,972.26,000,0.00,3.80,24.3,1010.10,96,30.32,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.0,09-19-2019,01:00:00,0.0,964.01,000,0.00,0.00,23.7,1009.13,87,29.23,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.9,09-19-2019,01:00:00,0.0,983.90,000,0.00,2.50,25.6,1010.65,93,32.86,8.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.0,09-19-2019,01:00:00,0.0,988.99,000,8.90,8.90,21.5,1011.08,91,25.60,10.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.5,09-19-2019,01:00:00,0.0,986.19,000,0.00,0.00,24.8,1010.43,96,31.25,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.4,09-19-2019,01:00:00,0.0,975.44,000,0.00,2.20,23.6,1009.89,80,29.15,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.0,09-19-2019,01:00:00,0.0,982.28,000,0.00,2.50,26.3,1009.82,96,34.19,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,27.0,09-19-2019,01:00:00,0.0,977.12,000,0.00,23.60,25.1,1010.71,90,31.94,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.0,09-19-2019,01:00:00,3.7,990.44,270,0.00,0.00,24.6,1009.01,92,30.84,8.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.4,09-19-2019,01:00:00,0.0,986.66,000,8.70,11.40,23.2,1009.69,93,28.45,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.8,09-19-2019,01:00:00,0.0,980.06,000,5.60,6.10,24.4,1010.18,97,30.48,7.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,26.5,09-19-2019,01:00:00,0.0,973.79,000,0.00,18.60,25.8,1009.33,96,33.19,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.2,09-19-2019,01:00:00,0.0,979.89,000,0.00,2.90,24.8,1009.79,97,31.22,8.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,28.0,09-19-2019,01:00:00,0.0,1001.43,000,0.00,0.00,24.4,1008.72,81,30.56,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,28.0,09-19-2019,01:00:00,3.7,989.71,080,0.00,0.00,25.7,1009.57,88,33.08,6.00
48353,LOEI,เลย,เลย,17.45000,101.73333,26.8,09-19-2019,01:00:00,0.0,981.03,000,0.00,2.80,24.5,1009.74,87,30.72,8.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,27.6,09-19-2019,01:00:00,3.7,989.32,100,0.00,0.00,24.1,1009.48,81,30.07,7.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.3,09-19-2019,01:00:00,3.7,988.51,100,0.00,0.00,23.7,1010.34,86,29.25,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.1,09-19-2019,01:00:00,0.0,989.55,000,0.00,0.00,22.4,1009.06,75,27.01,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,26.3,09-19-2019,01:00:00,0.0,993.65,000,0.00,0.01,24.1,1010.49,88,30.05,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.3,09-19-2019,01:00:00,0.0,992.64,000,0.00,0.10,23.7,1010.25,97,29.31,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,27.6,09-19-2019,01:00:00,0.0,983.52,000,0.00,0.00,24.3,1009.28,82,30.34,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.5,09-19-2019,01:00:00,0.0,1003.28,000,0.01,2.60,25.6,1009.09,95,32.91,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.0,09-19-2019,01:00:00,0.0,1003.05,000,0.60,10.10,25.0,1009.27,94,31.65,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.4,09-19-2019,01:00:00,0.0,993.02,000,0.00,0.50,24.1,1009.47,82,29.96,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,26.5,09-19-2019,01:00:00,0.0,986.07,000,0.00,2.30,24.3,1008.45,88,30.43,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.4,09-19-2019,01:00:00,7.4,996.57,100,1.00,1.00,23.6,1010.99,80,29.15,6.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,26.0,09-19-2019,01:00:00,0.0,993.51,000,1.50,4.90,25.0,1009.99,94,31.65,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.0,09-19-2019,01:00:00,0.0,1004.71,000,0.10,23.20,25.0,1009.97,94,31.65,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.3,09-19-2019,01:00:00,0.0,994.93,000,0.00,1.20,24.7,1008.17,91,31.13,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.0,09-19-2019,01:00:00,7.4,1001.20,220,51.20,58.40,22.8,1010.65,93,27.76,.40
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,27.2,09-19-2019,01:00:00,7.4,987.64,040,0.00,0.01,24.0,1009.35,83,29.85,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,28.0,09-19-2019,01:00:00,5.6,992.88,030,0.00,0.00,23.6,1010.38,77,29.19,7.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,26.7,09-19-2019,01:00:00,3.7,991.99,030,0.00,0.00,23.8,1007.85,84,29.45,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,27.0,09-19-2019,01:00:00,0.0,989.70,000,0.00,0.00,25.4,1008.61,91,32.49,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.0,09-19-2019,01:00:00,0.0,958.31,000,0.00,0.00,21.2,1010.14,89,25.11,5.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.8,09-19-2019,01:00:00,7.4,1005.40,280,3.60,5.00,23.6,1009.40,93,29.16,5.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.1,09-19-2019,01:00:00,5.6,915.51,100,0.00,0.00,20.0,1011.11,93,23.37,4.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.9,09-19-2019,01:00:00,7.4,992.91,060,0.00,0.00,24.0,1008.93,84,29.83,7.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.0,09-19-2019,01:00:00,0.0,1005.39,000,11.00,15.90,24.4,1009.46,97,30.58,7.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.5,09-19-2019,01:00:00,3.7,999.43,350,0.00,2.30,23.1,1010.19,87,28.33,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.2,09-19-2019,01:00:00,7.4,1007.55,360,6.40,16.10,22.7,1009.50,86,27.54,5.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.1,09-19-2019,01:00:00,0.0,988.15,000,0.00,0.00,23.7,1008.98,77,29.38,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,27.0,09-19-2019,01:00:00,5.6,991.05,050,0.00,0.00,23.3,1008.74,80,28.67,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,27.1,09-19-2019,01:00:00,0.0,992.34,000,0.00,0.10,24.1,1008.52,84,29.93,10.00
