WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,DewPoint,AirTemperature,RelativeHumidity,VaporPressure,WindSpeed,MeanSeaLevelPressure,StationPressure,Rainfall,LandVisibility,Rainfall24Hr,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,07-14-2019,16:00:00,25.3,28.6,83,32.30,0.0,1003.42,972.88,0.50,12.00,1.90,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,07-14-2019,16:00:00,18.5,24.5,69,21.29,18.5,998.73,841.53,0.00,8.00,0.00,280
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,07-14-2019,16:00:00,18.9,35.6,38,21.87,7.4,999.19,957.27,0.00,15.00,0.00,240
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,07-14-2019,16:00:00,21.9,35.0,47,26.19,0.0,999.09,955.26,0.00,15.00,0.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,07-14-2019,16:00:00,23.0,31.0,63,28.09,0.0,1000.89,964.12,0.00,10.00,0.00,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,07-14-2019,16:00:00,20.0,35.0,42,23.44,7.4,999.75,956.32,0.00,15.00,0.00,250
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,07-14-2019,16:00:00,24.1,32.7,61,30.07,7.4,1001.76,975.74,0.00,8.00,0.30,180
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,07-14-2019,16:00:00,21.5,33.0,51,25.63,11.1,1002.95,981.74,0.00,12.00,0.00,240
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,07-14-2019,16:00:00,23.5,28.4,75,28.86,0.0,1005.55,981.65,0.10,8.00,1.10,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,07-14-2019,16:00:00,20.7,34.5,45,24.39,7.4,1001.52,968.13,0.00,10.00,0.00,240
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,07-14-2019,16:00:00,22.2,31.7,57,26.69,0.0,1001.97,975.06,0.00,10.00,0.00,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,07-14-2019,16:00:00,20.6,34.0,46,24.26,13.0,1001.65,969.11,0.00,15.00,0.00,240
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,07-14-2019,16:00:00,22.7,35.0,49,27.61,9.3,1000.82,982.94,0.00,15.00,0.00,190
48331,NAN,น่าน,น่าน,18.77972,100.77778,07-14-2019,16:00:00,24.0,34.4,55,29.83,0.0,1000.59,978.50,0.00,10.00,0.00,000
