WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,LandVisibility,StationPressure,Rainfall,VaporPressure,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,AirTemperature,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,09-16-2019,10:00:00,000,15.00,978.16,0.00,28.21,1.10,23.1,1008.81,29.2,70
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,16.7,09-16-2019,10:00:00,100,8.00,847.31,0.00,21.87,0.00,18.9,1006.95,22.1,82
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,09-16-2019,10:00:00,000,12.00,965.77,0.00,27.91,0.00,22.9,1009.01,28.9,70
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,09-16-2019,10:00:00,000,15.00,963.93,0.00,26.85,0.00,22.3,1009.07,28.9,67
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,09-16-2019,10:00:00,000,12.00,971.80,0.00,29.91,0.00,24.0,1009.00,29.8,71
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1.9,09-16-2019,10:00:00,050,8.00,964.86,0.00,30.01,0.00,24.1,1009.56,29.0,75
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,3.7,09-16-2019,10:00:00,110,12.00,983.16,0.00,30.31,0.00,24.3,1009.61,30.0,71
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,3.7,09-16-2019,10:00:00,240,15.00,987.17,0.00,29.73,0.00,23.9,1008.66,30.7,67
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,09-16-2019,10:00:00,000,10.00,984.83,0.00,31.05,0.00,24.7,1008.75,29.1,77
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.7,09-16-2019,10:00:00,240,10.00,975.06,0.00,27.71,1.20,22.8,1009.23,29.8,66
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,09-16-2019,10:00:00,000,10.00,982.25,0.00,29.06,0.00,23.6,1009.74,27.5,79
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,09-16-2019,10:00:00,000,15.00,975.81,0.00,29.96,28.20,24.1,1009.19,28.4,77
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,3.7,09-16-2019,10:00:00,210,10.00,990.44,0.00,30.40,17.80,24.3,1008.87,28.2,80
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,09-16-2019,10:00:00,000,10.00,986.58,0.00,29.27,0.00,23.7,1009.19,29.9,69
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,09-16-2019,10:00:00,000,12.00,979.49,0.00,27.63,0.00,22.7,1009.09,29.9,66
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,09-16-2019,10:00:00,000,8.00,974.08,0.00,30.42,1.60,24.3,1009.39,28.5,78
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,5.6,09-16-2019,10:00:00,120,12.00,979.12,0.00,31.03,0.00,24.7,1008.54,29.8,74
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,09-16-2019,10:00:00,000,10.00,1001.27,0.00,31.56,0.00,24.9,1008.51,30.2,74
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,7.4,09-16-2019,10:00:00,090,14.00,989.24,0.00,33.29,0.00,25.8,1008.83,32.0,70
48353,LOEI,เลย,เลย,17.45000,101.73333,5.6,09-16-2019,10:00:00,020,7.00,980.43,0.00,29.39,0.00,23.7,1008.81,30.1,69
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,5.6,09-16-2019,10:00:00,100,15.00,989.18,0.00,27.21,0.00,22.5,1009.09,31.4,59
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.4,09-16-2019,10:00:00,050,15.00,988.36,0.00,30.05,0.00,24.1,1009.85,31.0,67
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,5.6,09-16-2019,10:00:00,130,15.00,989.43,0.00,30.29,0.00,24.3,1008.70,30.7,69
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.9,09-16-2019,10:00:00,060,12.00,992.43,0.00,25.43,9.20,21.4,1008.95,31.6,55
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,09-16-2019,10:00:00,000,10.00,992.06,0.00,26.32,0.00,21.9,1009.24,31.5,57
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,7.4,09-16-2019,10:00:00,080,12.00,982.41,0.00,27.93,0.00,22.9,1007.84,31.2,61
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,09-16-2019,10:00:00,000,10.00,1003.35,0.00,21.68,0.00,18.8,1009.08,30.8,49
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,09-16-2019,10:00:00,000,10.00,1002.49,0.00,33.95,1.00,26.2,1008.60,31.2,75
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,09-16-2019,10:00:00,000,12.00,992.79,0.00,27.14,0.00,22.4,1009.07,30.5,62
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,09-16-2019,10:00:00,000,10.00,984.82,0.00,31.13,0.00,24.7,1006.98,29.0,78
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,09-16-2019,10:00:00,000,8.00,995.28,0.00,32.34,0.40,25.4,1009.51,31.0,72
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,09-16-2019,10:00:00,000,12.00,994.19,0.00,29.79,0.00,24.0,1010.35,32.0,63
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,3.7,09-16-2019,10:00:00,170,10.00,1003.61,0.00,31.76,29.80,25.0,1008.78,31.0,71
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,09-16-2019,10:00:00,000,12.00,994.78,0.00,29.50,1.40,23.8,1007.85,30.3,68
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,7.4,09-16-2019,10:00:00,040,12.00,999.34,0.00,33.07,0.00,25.7,1008.52,31.9,70
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.4,09-16-2019,10:00:00,090,10.00,987.18,0.00,29.73,0.00,23.9,1008.64,30.7,67
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,11.1,09-16-2019,10:00:00,240,12.00,991.36,0.00,31.93,0.00,25.1,1008.63,31.5,69
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,7.4,09-16-2019,10:00:00,090,12.00,992.73,0.00,28.09,0.00,23.0,1008.37,31.0,63
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,3.7,09-16-2019,10:00:00,230,10.00,989.33,0.00,32.93,0.00,25.7,1007.98,31.0,73
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,09-16-2019,10:00:00,000,10.00,957.25,0.00,28.67,0.00,23.3,1008.32,27.0,80
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,09-16-2019,10:00:00,000,7.00,1004.48,0.00,31.93,1.70,25.1,1008.39,30.8,72
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,5.6,09-16-2019,10:00:00,020,8.00,914.40,0.00,25.11,0.00,21.2,1008.45,25.4,77
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,5.6,09-16-2019,10:00:00,150,10.00,992.73,0.00,32.46,0.00,25.4,1008.59,29.8,77
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1.9,09-16-2019,10:00:00,100,9.00,1004.93,0.00,33.00,0.00,25.7,1008.93,30.2,77
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,3.7,09-16-2019,10:00:00,100,10.00,998.79,0.00,30.77,0.00,24.5,1009.33,31.5,67
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,7.4,09-16-2019,10:00:00,180,13.00,1007.43,0.00,29.89,12.60,24.0,1009.35,30.5,68
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,9.3,09-16-2019,10:00:00,030,10.00,987.86,0.00,28.66,0.00,23.3,1008.41,32.0,60
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,9.3,09-16-2019,10:00:00,060,10.00,990.97,0.00,32.51,0.00,25.4,1008.44,30.8,73
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,5.6,09-16-2019,10:00:00,070,10.00,992.32,0.00,31.88,0.00,25.1,1008.31,30.5,73
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,5.6,09-16-2019,10:00:00,150,10.00,995.02,0.00,30.31,0.00,24.3,1009.02,28.3,79
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,09-16-2019,10:00:00,000,10.00,994.77,0.00,30.26,0.00,24.2,1009.60,27.7,81
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,3.7,09-16-2019,10:00:00,180,8.00,994.57,0.00,34.15,0.00,26.3,1009.22,28.1,90
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,09-16-2019,10:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,1005.70,0.00,31.56,0.00,24.9,1008.68,31.6,68
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,09-16-2019,10:00:00,000,10.00,1000.70,0.00,30.55,2.50,24.4,1008.59,29.7,73
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.0,09-16-2019,10:00:00,000,9.00,1007.40,0.00,32.05,4.40,25.2,1008.50,31.0,71
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,09-16-2019,10:00:00,000,8.00,994.67,16.00,31.05,17.50,24.7,1009.28,29.1,77
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.0,09-16-2019,10:00:00,000,6.00,874.46,0.00,23.84,2.20,20.3,1008.09,23.1,84
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,09-16-2019,10:00:00,000,10.00,1002.78,0.00,32.34,0.00,25.4,1008.59,31.0,72
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,5.6,09-16-2019,10:00:00,100,8.00,1007.97,0.00,32.26,24.70,25.3,1008.77,31.1,71
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,3.7,09-16-2019,10:00:00,230,10.00,1007.96,0.00,30.18,12.30,24.2,1008.41,30.5,69
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,09-16-2019,10:00:00,000,10.00,997.81,0.00,30.31,4.30,24.3,1009.02,30.0,71
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,09-16-2019,10:00:00,010,12.00,1007.62,0.00,33.42,0.00,25.9,1008.62,32.2,70
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,5.6,09-16-2019,10:00:00,320,7.00,1006.75,0.00,31.89,46.90,25.1,1008.55,31.2,70
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,3.7,09-16-2019,10:00:00,140,11.00,1007.78,0.00,32.22,0.40,25.3,1008.54,31.5,70
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,5.6,09-16-2019,10:00:00,150,10.00,1008.32,0.00,29.17,0.40,23.6,1009.01,30.7,66
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,09-16-2019,10:00:00,000,12.00,1007.64,0.00,33.95,11.00,26.2,1008.34,31.2,75
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,5.6,09-16-2019,10:00:00,110,10.00,987.58,0.00,29.63,0.00,23.9,1008.45,31.5,64
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,5.6,09-16-2019,10:00:00,040,10.00,992.44,0.00,31.48,0.70,24.9,1009.01,30.3,73
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,09-16-2019,10:00:00,000,10.00,992.94,0.00,30.87,0.20,24.6,1009.24,30.0,73
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,09-16-2019,10:00:00,000,10.00,986.91,0.00,30.90,0.00,24.6,1008.51,31.0,69
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,11.1,09-16-2019,10:00:00,070,10.00,965.40,0.00,27.05,0.60,22.4,1008.37,29.3,66
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.0,09-16-2019,10:00:00,000,10.00,988.61,0.00,28.78,0.40,23.4,1008.97,30.5,66
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,18.5,09-16-2019,10:00:00,040,5.00,990.21,0.20,30.56,2.40,24.4,1011.27,24.7,98
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,13.0,09-16-2019,10:00:00,150,10.00,1008.37,0.00,29.89,0.00,24.0,1008.80,30.5,68
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,09-16-2019,10:00:00,000,11.00,1007.03,0.00,34.03,11.50,26.2,1008.44,29.3,84
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,09-16-2019,10:00:00,000,9.00,1003.75,0.00,33.46,4.20,25.9,1008.64,30.0,79
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,9.3,09-16-2019,10:00:00,220,12.00,1005.12,0.00,29.59,0.00,23.9,1008.37,31.9,63
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,3.7,09-16-2019,10:00:00,290,10.00,1007.47,0.00,32.63,0.30,25.5,1008.57,31.0,73
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,09-16-2019,10:00:00,000,10.00,1008.49,0.00,32.47,4.20,25.4,1008.79,31.2,71
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.0,09-16-2019,10:00:00,000,10.00,1007.78,0.00,31.47,0.00,24.9,1008.46,31.0,70
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,3.7,09-16-2019,10:00:00,150,10.00,1007.84,0.00,32.75,0.00,25.6,1008.32,30.5,75
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.0,09-16-2019,10:00:00,000,10.00,1007.47,0.00,31.15,30.00,24.7,1008.86,30.7,71
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.0,09-16-2019,10:00:00,000,10.00,1007.30,0.00,35.46,11.40,26.9,1008.97,29.0,89
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,09-16-2019,10:00:00,000,10.00,1002.25,0.00,33.70,36.90,26.0,1010.23,29.0,84
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,5.6,09-16-2019,10:00:00,270,10.00,1008.20,0.00,30.01,43.20,24.1,1008.48,28.0,79
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,5.6,09-16-2019,10:00:00,310,10.00,1005.50,0.00,31.06,0.00,24.7,1008.60,30.8,70
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.0,09-16-2019,10:00:00,000,12.00,1002.12,0.00,31.31,0.00,24.8,1008.99,30.5,72
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,09-16-2019,10:00:00,000,9.00,1003.72,0.00,30.77,0.00,24.5,1009.25,31.5,67
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,5.6,09-16-2019,10:00:00,310,10.00,1000.92,0.00,33.50,0.00,25.9,1010.16,30.3,78
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,09-16-2019,10:00:00,000,14.00,1008.19,0.00,29.20,0.00,23.6,1009.44,31.0,65
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,5.6,09-16-2019,10:00:00,180,11.00,1008.85,0.00,32.77,0.00,25.6,1009.28,31.9,69
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,11.1,09-16-2019,10:00:00,230,10.00,997.07,0.00,31.03,0.01,24.7,1009.21,30.5,71
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,7.4,09-16-2019,10:00:00,260,10.00,1008.20,0.00,30.14,0.00,24.2,1008.91,30.2,70
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,11.1,09-16-2019,10:00:00,250,10.00,1006.37,0.00,31.41,3.70,24.9,1008.79,29.0,78
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,9.3,09-16-2019,10:00:00,270,10.00,1008.45,0.00,33.49,43.00,25.9,1008.96,28.2,88
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,3.7,09-16-2019,10:00:00,200,9.00,1003.63,15.80,32.23,22.30,25.3,1008.80,26.3,94
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,09-16-2019,10:00:00,000,7.00,1008.37,0.40,33.62,70.80,26.0,1008.79,27.0,94
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,09-16-2019,10:00:00,000,8.00,1005.74,3.20,33.04,412.50,25.7,1008.52,26.0,98
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,09-16-2019,10:00:00,000,8.00,1009.70,14.60,30.17,18.70,24.2,1010.49,25.5,93
48501,TRAD,ตราด,ตราด,11.76667,102.88333,7.4,09-16-2019,10:00:00,330,5.00,1008.15,24.20,31.82,144.80,25.1,1008.61,25.8,96
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,11.1,09-16-2019,10:00:00,260,7.00,1008.75,0.10,28.41,13.10,23.2,1009.43,27.0,80
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,7.4,09-16-2019,10:00:00,270,8.00,1007.92,0.40,28.84,13.20,23.4,1009.45,26.8,82
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,5.6,09-16-2019,10:00:00,210,10.00,1009.33,3.70,29.50,118.60,23.8,1010.25,26.0,88
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,9.3,09-16-2019,10:00:00,280,10.00,1009.01,0.00,30.50,3.00,24.4,1009.70,27.4,84
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,09-16-2019,10:00:00,000,8.00,1009.54,0.80,31.25,6.70,24.8,1010.34,25.5,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,9.3,09-16-2019,10:00:00,070,9.00,1008.90,0.01,28.29,3.40,23.1,1009.53,29.1,70
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,7.4,09-16-2019,10:00:00,240,10.00,1009.44,0.00,30.08,1.60,24.1,1009.85,29.6,73
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,3.7,09-16-2019,10:00:00,240,5.00,1008.11,0.50,28.39,4.80,23.2,1012.35,26.7,81
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,09-16-2019,10:00:00,000,12.00,1009.07,0.01,28.70,7.50,23.4,1010.69,26.0,85
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,09-16-2019,10:00:00,000,12.00,1007.20,0.00,29.68,4.00,23.9,1010.68,28.4,77
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,7.4,09-16-2019,10:00:00,240,9.00,1008.93,0.00,28.82,5.40,23.4,1010.29,27.8,77
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,9.3,09-16-2019,10:00:00,300,10.00,1009.98,0.20,32.61,47.20,25.5,1010.87,27.2,90
