WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,WindSpeed,MaximumTemperature,StationPressure,Rainfall,Rainfall24Hr,VaporPressure,AirTemperature,DewPoint,LandVisibility,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-31-2019,19:00:00,1000.97,0.0,31.4,970.15,2.90,46.60,29.70,25.1,23.9,10.00,93
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,140,08-31-2019,19:00:00,1000.33,14.8,19.3,839.84,20.20,25.60,20.67,18.2,18.0,.10,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,270,08-31-2019,19:00:00,1001.22,3.7,31.4,957.83,0.60,1.60,27.29,25.5,22.5,10.00,84
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,08-31-2019,19:00:00,1001.24,0.0,31.1,955.83,17.80,18.40,28.55,24.6,23.3,15.00,92
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,08-31-2019,19:00:00,1002.79,0.0,28.0,965.08,19.50,26.40,29.46,23.8,23.8,6.00,100
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,100,08-31-2019,19:00:00,1001.04,5.6,30.0,955.97,1.70,51.70,27.92,23.8,22.9,7.00,95
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,150,08-31-2019,19:00:00,1002.69,3.7,29.5,975.96,5.20,17.10,29.77,24.7,24.0,6.00,96
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,08-31-2019,19:00:00,1001.96,0.0,28.5,980.25,0.00,96.20,29.91,25.5,24.0,10.00,92
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-31-2019,19:00:00,1002.02,0.0,26.4,977.95,0.00,48.40,30.15,25.2,24.2,6.00,94
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,190,08-31-2019,19:00:00,1001.54,3.7,30.5,967.07,0.60,10.80,28.98,24.7,23.5,10.00,93
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-31-2019,19:00:00,1002.59,0.0,28.5,975.07,6.80,45.30,30.58,25.0,24.4,1.00,97
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,08-31-2019,19:00:00,1001.33,0.0,29.9,967.78,3.20,135.60,29.93,24.5,24.1,10.00,97
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,08-31-2019,19:00:00,1001.71,0.0,27.8,983.26,0.01,61.90,30.46,25.8,24.3,12.00,92
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-31-2019,19:00:00,1002.15,0.0,28.0,979.35,1.70,25.50,30.50,25.1,24.4,7.00,96
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-31-2019,19:00:00,1002.56,0.0,28.1,972.63,4.70,27.50,29.15,24.5,23.6,6.00,95
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-31-2019,19:00:00,1001.76,0.0,27.2,966.25,2.50,75.50,29.41,24.5,23.8,4.00,96
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,08-31-2019,19:00:00,1002.54,0.0,29.0,972.89,0.00,23.20,30.63,25.6,24.4,12.00,93
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,08-31-2019,19:00:00,1002.42,0.0,27.6,995.13,1.20,41.70,31.19,25.9,24.7,8.00,93
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,070,08-31-2019,19:00:00,1002.91,5.6,30.3,983.17,0.00,29.00,33.37,28.0,25.9,10.00,88
48353,LOEI,เลย,เลย,17.45000,101.73333,000,08-31-2019,19:00:00,1002.40,0.0,28.5,973.91,0.00,22.20,30.02,27.0,24.1,12.00,84
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,160,08-31-2019,19:00:00,1002.93,3.7,30.6,982.95,0.00,17.10,30.42,28.5,24.3,15.00,78
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,08-31-2019,19:00:00,1004.58,0.0,30.6,982.99,0.00,41.00,31.95,28.0,25.1,12.00,85
