WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,StationPressure,AirTemperature,VaporPressure,LandVisibility,WindDirection,Rainfall24Hr,RelativeHumidity,Rainfall,MeanSeaLevelPressure
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,5.6,10-03-2019,10:00:00,24.0,991.53,30.6,29.81,9.00,240,0.00,68,0.00,1011.95
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,3.7,10-03-2019,10:00:00,27.0,993.18,31.7,35.65,6.00,210,0.00,76,0.00,1013.82
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.0,10-03-2019,10:00:00,25.1,1011.71,30.8,31.93,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.01,72,0.00,1012.14
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,10-03-2019,10:00:00,26.5,1010.84,31.8,34.65,11.00,000,0.20,74,0.00,1012.24
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,10-03-2019,10:00:00,26.3,1007.20,30.8,34.27,8.00,000,4.70,77,0.00,1012.10
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,9.3,10-03-2019,10:00:00,23.7,1008.53,32.0,29.22,10.00,230,0.00,61,0.00,1011.78
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,10-03-2019,10:00:00,25.6,1010.99,32.1,32.91,10.00,000,0.00,69,0.00,1012.08
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,9.3,10-03-2019,10:00:00,24.8,1011.67,32.2,31.35,10.00,170,0.00,65,0.00,1011.96
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,7.4,10-03-2019,10:00:00,24.8,1011.06,32.3,31.27,10.00,150,0.00,65,0.00,1011.74
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1.9,10-03-2019,10:00:00,24.9,1011.20,32.0,31.52,7.00,300,0.00,66,0.00,1011.69
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,11.1,10-03-2019,10:00:00,25.9,1010.65,31.4,33.48,9.00,150,0.01,73,0.00,1012.04
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,11.1,10-03-2019,10:00:00,26.4,1010.84,29.8,34.51,7.00,140,0.00,82,0.00,1012.51
