WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,StationPressure,VaporPressure,Rainfall24Hr,WindDirection,Rainfall,WindSpeed,MeanSeaLevelPressure,DewPoint,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.8,07-18-2019,01:00:00,8.00,973.54,31.27,0.40,000,0.00,0.0,1004.29,24.8,89
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.5,07-18-2019,01:00:00,8.00,842.71,21.17,1.60,300,0.00,11.1,1002.40,18.4,88
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,27.2,07-18-2019,01:00:00,12.00,959.11,29.58,1.10,000,1.10,0.0,1002.30,23.9,82
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,26.7,07-18-2019,01:00:00,15.00,957.77,29.45,0.00,000,0.00,0.0,1002.95,23.8,84
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,26.0,07-18-2019,01:00:00,6.00,965.91,30.84,0.00,000,0.00,0.0,1003.37,24.6,92
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,27.9,07-18-2019,01:00:00,8.00,977.11,33.45,0.01,000,0.00,0.0,1003.59,25.9,89
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.2,07-18-2019,01:00:00,12.00,982.20,25.08,0.01,300,0.00,3.7,1003.76,21.1,66
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,26.2,07-18-2019,01:00:00,6.00,981.78,29.33,0.00,000,0.00,0.0,1005.86,23.7,86
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,29.2,07-18-2019,01:00:00,10.00,969.02,27.13,0.00,210,0.00,3.7,1003.04,22.4,67
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,29.9,07-18-2019,01:00:00,10.00,977.73,26.29,0.00,000,0.00,0.0,1004.87,21.9,62
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,29.7,07-18-2019,01:00:00,10.00,970.04,27.80,0.00,000,0.00,0.0,1003.08,22.8,67
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.2,07-18-2019,01:00:00,10.00,984.25,30.13,0.00,000,0.00,0.0,1002.51,24.2,74
48331,NAN,น่าน,น่าน,18.77972,100.77778,28.9,07-18-2019,01:00:00,10.00,980.23,32.91,0.00,000,0.00,0.0,1002.77,25.6,83
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,26.5,07-18-2019,01:00:00,8.00,973.33,31.52,0.00,000,0.00,0.0,1003.08,24.9,91
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.0,07-18-2019,01:00:00,7.00,968.32,29.19,0.00,000,0.00,0.0,1003.48,23.6,77
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.0,07-18-2019,01:00:00,12.00,973.36,31.11,0.00,000,0.00,0.0,1002.99,24.7,93
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,30.5,07-18-2019,01:00:00,9.00,995.19,28.50,0.00,000,0.00,0.0,1002.38,23.2,65
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,30.0,07-18-2019,01:00:00,10.00,982.76,34.64,1.80,090,0.00,3.7,1002.36,26.5,82
