WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,AirTemperature,VaporPressure,StationPressure,Rainfall24Hr,RelativeHumidity,LandVisibility,WindSpeed,WindDirection,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1004.94,07-13-2019,16:00:00,25.6,31.8,32.86,974.67,22.20,70,12.00,1.9,340,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1000.73,07-13-2019,16:00:00,17.6,24.5,20.14,843.22,0.00,66,8.00,27.8,300,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1002.13,07-13-2019,16:00:00,21.7,34.2,26.01,959.90,0.00,48,15.00,3.7,310,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1002.12,07-13-2019,16:00:00,21.7,33.6,25.95,957.97,0.00,50,15.00,0.0,000,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1004.66,07-13-2019,16:00:00,20.0,35.0,23.44,968.22,0.00,42,10.00,0.0,000,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1002.90,07-13-2019,16:00:00,20.7,36.2,24.37,959.50,0.00,41,12.00,7.4,270,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1002.84,07-13-2019,16:00:00,22.7,36.0,27.64,977.06,0.00,47,12.00,5.6,180,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1003.92,07-13-2019,16:00:00,21.6,35.8,25.81,982.89,0.00,44,12.00,7.4,240,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1006.86,07-13-2019,16:00:00,23.9,29.0,29.74,982.98,2.20,74,8.00,0.0,000,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1003.67,07-13-2019,16:00:00,19.2,35.8,22.24,970.34,0.00,38,10.00,9.3,260,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1003.04,07-13-2019,16:00:00,20.1,36.5,23.57,976.51,0.00,39,10.00,3.7,230,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1003.44,07-13-2019,16:00:00,21.4,35.2,25.47,970.97,0.00,45,15.00,0.0,000,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1002.78,07-13-2019,16:00:00,22.4,35.6,27.11,984.89,0.00,47,15.00,5.6,230,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,1002.34,07-13-2019,16:00:00,22.5,35.7,27.32,980.30,0.00,47,10.00,3.7,280,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1002.60,07-13-2019,16:00:00,22.3,34.2,26.85,973.60,0.00,50,12.00,0.0,000,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1002.95,07-13-2019,16:00:00,20.3,36.2,23.82,968.72,0.00,40,7.00,0.0,000,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1001.82,07-13-2019,16:00:00,23.3,36.0,28.51,973.18,0.00,48,17.00,9.3,310,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1003.20,07-13-2019,16:00:00,22.6,37.0,27.40,996.15,0.00,44,10.00,0.0,000,0.00
