WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,LandVisibility,MinimumTemperature,DewPoint,RelativeHumidity,WindDirection,StationPressure,Rainfall24Hr,AirTemperature,VaporPressure,Rainfall
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,07-13-2019,07:00:00,1009.49,8.00,25.4,24.2,91,000,1008.07,0.00,25.8,30.19,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,07-13-2019,07:00:00,1010.01,7.00,25.9,25.1,94,000,1005.05,0.00,26.1,31.85,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,07-13-2019,07:00:00,1010.20,12.00,26.8,22.7,71,000,1006.91,0.00,28.4,27.52,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,3.7,07-13-2019,07:00:00,1010.10,10.00,25.8,24.1,84,260,1008.99,0.00,27.0,30.02,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,07-13-2019,07:00:00,1010.17,10.00,24.2,24.8,89,000,1009.87,57.70,26.8,31.27,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.0,07-13-2019,07:00:00,1010.01,10.00,23.8,25.6,91,000,1009.32,10.40,27.2,32.89,10.40
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,07-13-2019,07:00:00,1009.92,10.00,26.0,24.3,88,000,1009.43,4.50,26.5,30.43,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,18.5,07-13-2019,07:00:00,1010.00,10.00,26.1,23.4,74,260,1008.59,12.40,28.5,28.78,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.0,07-13-2019,07:00:00,1010.01,10.00,27.4,23.6,71,000,1008.34,0.00,29.4,29.13,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,07-13-2019,07:00:00,1011.75,10.00,24.2,23.2,90,000,1003.66,0.50,25.0,28.48,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,07-13-2019,07:00:00,1010.13,8.00,26.0,26.1,88,000,1009.84,12.80,28.2,33.78,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,07-13-2019,07:00:00,1009.38,10.00,27.5,25.0,82,000,1006.25,0.00,28.3,31.70,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,5.6,07-13-2019,07:00:00,1010.28,10.00,27.0,23.9,74,210,1003.37,0.00,29.0,29.74,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,07-13-2019,07:00:00,1009.88,8.00,26.0,24.8,85,000,1004.27,0.00,27.5,31.25,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.0,07-13-2019,07:00:00,1010.50,10.00,27.5,24.8,83,000,1001.19,0.00,28.0,31.39,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,14.8,07-13-2019,07:00:00,1011.07,12.00,24.7,23.1,82,270,1009.80,7.30,26.3,28.19,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.0,07-13-2019,07:00:00,1010.19,11.00,26.5,22.5,75,000,1009.76,0.00,27.2,27.19,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,07-13-2019,07:00:00,1010.83,10.00,22.3,21.1,90,000,998.35,0.00,22.8,25.04,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,07-13-2019,07:00:00,1010.43,10.00,25.3,21.6,77,000,1009.71,0.00,26.0,25.87,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,3.7,07-13-2019,07:00:00,1010.53,10.00,27.9,23.8,75,230,1008.10,0.00,28.6,29.52,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,13.0,07-13-2019,07:00:00,1010.32,10.00,29.3,23.9,71,280,1009.80,0.00,29.7,29.71,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,3.7,07-13-2019,07:00:00,1010.19,12.00,27.3,24.3,82,290,1005.04,0.00,27.8,30.45,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,07-13-2019,07:00:00,1011.23,6.00,22.8,23.4,96,000,1010.81,68.70,24.1,28.70,67.20
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,14.8,07-13-2019,07:00:00,1011.04,7.00,22.5,22.3,97,020,1008.22,72.70,22.8,26.99,70.30
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,07-13-2019,07:00:00,1011.42,10.00,26.0,21.3,74,000,1010.63,0.00,26.3,25.37,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,7.4,07-13-2019,07:00:00,1010.60,8.00,25.1,25.2,92,070,1010.14,0.00,26.6,31.99,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,07-13-2019,07:00:00,1011.57,8.00,25.2,23.8,89,000,1010.88,0.00,25.8,29.39,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,07-13-2019,07:00:00,1011.21,9.00,24.0,23.3,96,000,1009.66,0.00,24.0,28.53,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,07-13-2019,07:00:00,1012.25,10.00,25.1,23.4,90,000,1011.33,0.00,25.2,28.83,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,07-13-2019,07:00:00,1011.42,10.00,23.7,24.5,84,000,1010.73,12.00,27.4,30.78,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,07-13-2019,07:00:00,1011.76,5.00,23.2,23.5,97,000,1010.95,6.30,23.9,28.86,0.00
