WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,DewPoint,Rainfall,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,Rainfall24Hr,StationPressure,WindDirection,AirTemperature,LandVisibility,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10-16-2019,16:00:00,22.6,0.00,55,1008.79,0.0,0.00,978.50,000,32.8,15.00,27.44
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-16-2019,16:00:00,17.4,0.00,80,1009.69,0.0,2.70,849.08,000,21.0,8.00,19.88
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-16-2019,16:00:00,20.3,0.00,50,1009.80,5.6,0.00,966.96,100,32.0,12.00,23.77
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-16-2019,16:00:00,20.8,0.00,52,1010.12,5.6,0.00,965.38,110,32.0,15.00,24.57
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-16-2019,16:00:00,25.0,1.70,81,1011.51,0.0,2.90,974.07,000,28.6,12.00,31.74
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-16-2019,16:00:00,21.1,0.00,54,1010.67,0.0,36.70,966.28,000,31.5,10.00,24.98
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-16-2019,16:00:00,22.5,0.00,57,1010.82,9.3,0.70,984.51,020,32.0,12.00,27.27
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-16-2019,16:00:00,23.4,0.00,61,1009.91,0.0,11.00,988.48,000,31.8,14.00,28.82
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-16-2019,16:00:00,21.4,0.00,49,1008.88,0.0,0.30,985.29,000,33.5,10.00,25.49
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-16-2019,16:00:00,21.9,0.00,54,1010.23,3.7,0.01,976.31,160,32.3,12.00,26.20
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-16-2019,16:00:00,22.8,0.00,59,1010.05,0.0,0.00,982.95,000,32.0,10.00,27.82
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-16-2019,16:00:00,21.0,11.60,70,1011.06,5.6,14.20,977.45,300,26.9,8.00,24.88
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10-16-2019,16:00:00,23.9,4.20,81,1009.60,0.0,4.20,991.11,000,27.5,12.00,29.60
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-16-2019,16:00:00,23.9,0.00,63,1010.08,0.0,6.30,987.59,000,31.8,10.00,29.67
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-16-2019,16:00:00,22.5,0.00,62,1010.35,0.0,29.30,980.78,000,30.6,12.00,27.33
