WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,DewPoint,Rainfall,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,Rainfall24Hr,StationPressure,WindDirection,AirTemperature,LandVisibility,VaporPressure
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-16-2019,16:00:00,22.2,0.00,60,1010.38,0.0,11.20,975.32,000,31.0,8.00,26.73
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-16-2019,16:00:00,23.3,0.00,63,1009.86,16.7,0.00,980.55,120,31.3,16.00,28.68
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-16-2019,16:00:00,21.3,0.00,47,1008.72,0.0,3.70,1001.58,000,34.3,10.00,25.38
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-16-2019,16:00:00,23.1,0.00,58,1010.72,9.3,0.00,991.11,060,32.4,12.00,28.33
48353,LOEI,เลย,เลย,17.45000,101.73333,10-16-2019,16:00:00,21.5,0.10,53,1009.88,9.3,0.10,981.68,110,32.3,14.00,25.66
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-16-2019,16:00:00,24.0,0.01,84,1012.24,7.4,0.01,991.98,050,26.9,6.00,29.83
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-16-2019,16:00:00,24.0,0.40,74,1011.25,0.0,0.40,989.61,000,29.2,15.00,29.85
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-16-2019,16:00:00,22.7,0.00,65,1010.93,0.0,2.00,991.57,000,30.0,15.00,27.55
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-16-2019,16:00:00,20.7,0.00,51,1011.51,9.3,0.00,994.98,060,32.2,12.00,24.40
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-16-2019,16:00:00,22.1,0.00,58,1011.52,3.7,0.00,994.29,040,31.4,12.00,26.67
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-16-2019,16:00:00,22.3,0.00,58,1009.31,5.6,0.00,983.86,080,31.5,15.00,26.86
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-16-2019,16:00:00,25.7,0.00,69,1009.43,5.6,0.00,1003.73,270,32.0,10.00,32.99
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-16-2019,16:00:00,24.9,0.00,66,1009.47,7.4,0.00,1003.37,290,32.0,12.00,31.52
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-16-2019,16:00:00,23.6,17.00,84,1010.82,0.0,17.00,994.30,000,26.5,12.00,29.08
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-16-2019,16:00:00,21.7,0.00,57,1007.51,7.4,0.00,985.49,040,31.3,10.00,25.94
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-16-2019,16:00:00,24.0,0.00,64,1010.18,0.0,0.00,995.97,000,31.6,7.00,29.84
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-16-2019,16:00:00,22.4,0.00,56,1009.44,0.0,0.00,993.30,000,32.2,7.00,27.11
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-16-2019,16:00:00,22.7,0.00,56,1009.20,5.6,0.00,1004.06,280,32.6,10.00,27.61
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-16-2019,16:00:00,22.8,1.40,54,1008.26,0.0,1.40,995.32,000,33.2,12.00,27.67
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-16-2019,16:00:00,24.5,0.00,63,1009.55,1.9,0.00,1000.37,360,32.3,13.00,30.69
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-16-2019,16:00:00,25.2,0.00,77,1010.02,1.9,0.00,988.46,330,29.6,10.00,32.05
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-16-2019,16:00:00,25.6,3.00,68,1010.32,5.6,3.00,993.07,060,32.3,10.00,32.74
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-16-2019,16:00:00,23.6,0.00,63,1010.11,13.0,0.00,994.46,010,31.5,12.00,29.07
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-16-2019,16:00:00,24.7,0.10,78,1009.43,0.0,0.10,990.62,000,29.0,8.00,31.13
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10-16-2019,16:00:00,20.5,0.00,54,1010.31,0.0,0.00,959.79,000,31.0,11.00,24.07
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10-16-2019,16:00:00,23.2,0.00,52,1008.81,1.9,0.00,1004.94,340,34.4,11.00,28.39
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,10-16-2019,16:00:00,20.5,0.00,76,1009.91,0.0,19.30,915.57,000,24.9,9.00,24.04
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10-16-2019,16:00:00,22.3,0.01,63,1010.00,16.7,0.01,994.13,060,30.1,10.00,26.93
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10-16-2019,16:00:00,23.6,0.00,57,1010.61,3.7,0.00,1006.65,110,33.4,10.00,29.21
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10-16-2019,16:00:00,22.7,0.00,53,1009.63,9.3,0.00,999.15,030,33.4,10.00,27.51
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10-16-2019,16:00:00,18.2,2.10,59,1009.32,3.7,2.10,1007.38,300,27.0,12.00,20.88
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10-16-2019,16:00:00,22.3,0.00,55,1009.53,14.8,0.20,989.00,080,32.5,10.00,26.86
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10-16-2019,16:00:00,22.3,0.00,57,1009.18,11.1,0.00,991.77,050,32.0,11.00,27.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10-16-2019,16:00:00,22.9,0.00,54,1009.15,9.3,0.00,993.30,030,33.5,10.00,27.99
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10-16-2019,16:00:00,21.7,0.00,51,1008.98,5.6,0.10,995.20,040,33.2,10.00,26.01
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10-16-2019,16:00:00,23.7,0.00,58,1009.03,0.0,5.40,994.46,000,33.0,12.00,29.25
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10-16-2019,16:00:00,23.4,0.00,60,1009.11,11.1,0.00,994.66,040,32.1,10.00,28.86
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10-16-2019,16:00:00,22.8,0.00,55,1009.46,0.0,0.00,1006.50,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",33.1,10.00,27.75
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10-16-2019,16:00:00,22.1,0.00,51,1008.83,7.4,0.00,1001.03,020,33.5,10.00,26.59
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10-16-2019,16:00:00,24.4,0.00,59,1008.50,7.4,0.00,1007.41,070,33.5,9.00,30.57
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,10-16-2019,16:00:00,25.1,0.00,66,1009.53,0.0,0.00,995.05,000,32.2,8.00,31.94
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10-16-2019,16:00:00,20.0,0.00,87,1009.52,5.6,0.00,875.37,020,22.3,7.00,23.32
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10-16-2019,16:00:00,24.3,0.00,60,1009.12,0.0,0.00,1003.35,000,33.0,10.00,30.40
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10-16-2019,16:00:00,24.4,0.00,55,1008.82,5.6,0.00,1008.04,060,34.9,10.00,30.60
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10-16-2019,16:00:00,23.5,0.00,58,1008.63,14.8,0.00,1008.19,120,33.0,10.00,28.97
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10-16-2019,16:00:00,23.0,0.00,53,1008.85,0.0,0.00,997.78,000,33.8,10.00,28.02
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10-16-2019,16:00:00,23.1,0.00,56,1009.12,3.7,0.00,1008.12,090,33.1,8.00,28.32
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,10-16-2019,16:00:00,22.7,0.00,53,1009.02,3.7,0.00,1007.23,070,33.4,10.00,27.51
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,10-16-2019,16:00:00,24.7,0.00,63,1008.76,0.0,0.00,1008.01,000,32.6,11.00,31.02
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10-16-2019,16:00:00,23.6,0.00,59,1008.66,16.7,0.01,1007.97,060,32.5,10.00,29.09
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10-16-2019,16:00:00,22.9,0.00,52,1008.23,5.6,0.01,1007.54,070,34.3,10.00,27.90
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10-16-2019,16:00:00,22.9,0.00,60,1009.83,11.1,0.00,988.93,100,31.5,10.00,27.96
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10-16-2019,16:00:00,22.7,0.00,59,1009.28,5.6,0.00,992.78,030,31.6,13.00,27.60
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10-16-2019,16:00:00,23.7,0.00,61,1010.01,7.4,0.01,993.80,010,32.0,10.00,29.22
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10-16-2019,16:00:00,23.3,0.00,60,1009.23,0.0,0.00,987.68,000,32.0,10.00,28.66
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10-16-2019,16:00:00,21.6,0.00,62,1009.36,13.0,0.00,966.39,050,29.6,10.00,25.75
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10-16-2019,16:00:00,22.8,0.00,58,1009.04,7.4,1.30,988.78,040,32.1,11.00,27.74
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10-16-2019,16:00:00,25.0,0.00,70,1010.91,16.7,1.40,990.30,050,31.2,10.00,31.60
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10-16-2019,16:00:00,24.3,0.00,71,1008.88,0.0,0.10,1008.45,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.0,10.00,30.31
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10-16-2019,16:00:00,24.7,0.00,64,1008.43,0.0,0.10,1007.03,000,32.5,11.00,31.11
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10-16-2019,16:00:00,25.0,0.00,66,1008.32,0.0,0.00,1003.46,000,32.1,10.00,31.73
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10-16-2019,16:00:00,23.7,0.00,60,1008.90,7.4,0.00,1005.66,030,32.5,12.00,29.38
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10-16-2019,16:00:00,24.0,0.00,60,1008.86,0.0,0.00,1007.77,000,32.7,11.00,29.79
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10-16-2019,16:00:00,24.3,0.00,60,1008.53,9.3,3.30,1008.24,080,33.0,10.00,30.40
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10-16-2019,16:00:00,24.0,0.00,58,1008.41,5.6,0.50,1007.73,070,33.6,10.00,29.91
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10-16-2019,16:00:00,24.5,0.00,58,1007.96,1.9,1.60,1007.48,110,34.0,10.00,30.75
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10-16-2019,16:00:00,23.1,0.00,58,1008.63,16.7,2.20,1007.24,070,32.4,10.00,28.33
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10-16-2019,16:00:00,24.6,0.00,65,1008.48,18.5,0.00,1006.83,060,32.0,10.00,30.94
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10-16-2019,16:00:00,24.6,0.00,62,1010.15,7.4,0.50,1002.27,240,32.8,10.00,30.86
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10-16-2019,16:00:00,25.6,0.00,62,1007.95,13.0,0.00,1007.68,010,34.0,12.00,32.84
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10-16-2019,16:00:00,25.5,0.00,67,1007.00,5.6,0.00,1003.93,300,32.5,12.00,32.58
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10-16-2019,16:00:00,24.8,0.00,72,1007.89,0.0,0.00,1001.03,000,30.5,10.00,31.31
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10-16-2019,16:00:00,23.8,0.00,59,1008.82,5.6,8.50,1003.32,070,33.0,10.00,29.54
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10-16-2019,16:00:00,24.2,0.00,62,1008.85,13.0,0.00,999.68,110,32.5,10.00,30.24
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10-16-2019,16:00:00,24.1,1.00,90,1010.07,7.4,1.20,1008.80,320,25.8,10.00,29.93
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,10-16-2019,16:00:00,25.9,0.00,65,1008.49,5.6,0.01,1008.07,090,33.4,11.00,33.33
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10-16-2019,16:00:00,23.3,0.00,60,1008.93,11.1,1.80,996.85,040,32.0,6.00,28.66
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10-16-2019,16:00:00,26.2,0.00,75,1008.83,0.0,9.20,1008.12,000,31.1,8.00,34.03
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10-16-2019,16:00:00,25.4,1.00,70,1008.27,7.4,15.20,1005.87,180,31.5,9.00,32.52
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10-16-2019,16:00:00,24.9,0.00,66,1007.85,0.0,6.40,1007.33,000,32.0,10.00,31.52
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10-16-2019,16:00:00,23.9,0.01,66,1007.91,3.7,0.01,1002.82,200,31.1,11.00,29.68
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10-16-2019,16:00:00,23.9,0.00,55,1007.40,13.0,0.00,1007.00,030,34.3,12.00,29.62
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,10-16-2019,16:00:00,24.4,0.00,58,1007.64,5.6,0.00,1004.93,200,33.8,10.00,30.62
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10-16-2019,16:00:00,25.5,0.00,80,1009.27,11.1,26.40,1008.49,100,29.3,10.00,32.59
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10-16-2019,16:00:00,25.4,0.00,68,1007.26,5.6,6.30,1006.81,250,32.0,10.00,32.40
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10-16-2019,16:00:00,25.4,0.00,71,1008.06,11.1,0.20,1007.39,080,31.2,9.00,32.47
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10-16-2019,16:00:00,24.8,0.00,68,1008.61,7.4,0.80,1007.11,050,31.5,10.00,31.35
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10-16-2019,16:00:00,24.9,0.00,81,1008.39,5.6,0.00,1007.48,240,28.5,10.00,31.54
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10-16-2019,16:00:00,25.9,0.00,85,1008.46,13.0,0.00,1007.78,080,28.7,10.00,33.37
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10-16-2019,16:00:00,25.7,8.30,91,1008.52,3.7,8.30,1007.72,010,27.3,9.00,33.09
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10-16-2019,16:00:00,25.4,1.50,88,1009.42,5.6,15.80,1008.79,310,27.5,10.00,32.36
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10-16-2019,16:00:00,26.2,2.80,89,1007.75,7.4,9.10,1007.35,340,28.2,10.00,34.07
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,10-16-2019,16:00:00,25.1,4.00,92,1009.85,0.0,12.20,1005.62,000,26.5,6.00,31.79
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10-16-2019,16:00:00,23.9,0.00,71,1008.11,0.0,0.40,1006.51,000,29.8,12.00,29.63
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10-16-2019,16:00:00,25.0,0.00,75,1007.96,0.0,1.00,1004.52,000,30.0,10.00,31.72
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10-16-2019,16:00:00,25.5,0.00,74,1007.28,5.6,13.20,1005.94,120,30.7,10.00,32.59
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10-16-2019,16:00:00,24.8,10.20,96,1008.28,0.0,23.50,1007.39,000,25.5,10.00,31.25
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10-16-2019,16:00:00,24.4,1.20,88,1007.93,5.6,1.80,1004.37,160,26.6,10.00,30.62
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10-16-2019,16:00:00,24.4,0.00,66,1007.96,0.0,0.40,1007.53,000,31.5,10.00,30.49
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10-16-2019,16:00:00,24.8,0.00,72,1007.61,5.6,2.90,1006.63,040,30.5,10.00,31.31
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10-16-2019,16:00:00,25.0,0.00,75,1007.80,0.0,6.40,1006.99,000,29.8,10.00,31.60
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10-16-2019,16:00:00,24.2,0.00,65,1007.05,0.0,0.40,1005.26,000,31.5,10.00,30.20
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10-16-2019,16:00:00,24.5,0.00,73,1007.02,9.3,0.70,1006.27,070,29.9,12.00,30.67
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10-16-2019,16:00:00,23.2,0.00,60,1006.95,20.4,2.80,1003.02,080,31.9,10.00,28.46
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10-16-2019,16:00:00,25.0,0.00,72,1006.60,0.0,2.10,1005.93,000,30.7,10.00,31.72
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10-16-2019,16:00:00,24.5,0.00,68,1006.71,13.0,0.00,1005.61,040,31.2,12.00,30.73
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10-16-2019,16:00:00,25.9,0.00,78,1006.81,3.7,4.70,1003.92,080,30.1,10.00,33.38
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10-16-2019,16:00:00,25.5,0.00,66,1006.20,9.3,0.00,1005.53,040,32.7,10.00,32.71
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,10-16-2019,16:00:00,22.8,0.00,55,1006.76,0.0,0.00,1002.72,000,33.1,10.00,27.75
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10-16-2019,16:00:00,23.7,0.00,64,1007.74,14.8,0.00,1007.16,070,31.5,12.00,29.35
