WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,MinimumTemperature,VaporPressure,DewPoint,Rainfall,AirTemperature,StationPressure,WindSpeed,LandVisibility,RelativeHumidity,Rainfall24Hr,WindDirection
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1010.22,09-19-2019,07:00:00,25.3,31.52,24.9,0.00,25.5,1008.95,3.7,4.00,97,2.00,320
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.50,09-19-2019,07:00:00,26.2,31.55,24.9,0.01,26.8,1009.07,0.0,8.00,90,0.01,000
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1010.38,09-19-2019,07:00:00,23.0,27.66,22.8,0.00,23.5,997.94,0.0,8.00,96,0.00,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.70,09-19-2019,07:00:00,25.4,29.50,23.8,0.00,26.0,1008.98,0.0,10.00,88,0.00,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1010.07,09-19-2019,07:00:00,24.8,30.07,24.1,16.70,25.3,1007.62,0.0,8.00,93,49.40,000
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1010.24,09-19-2019,07:00:00,26.0,30.67,24.5,0.01,26.2,1009.72,11.1,9.00,90,2.20,130
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1009.85,09-19-2019,07:00:00,24.6,29.69,23.9,39.30,24.8,1004.64,0.0,8.00,95,75.90,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.07,09-19-2019,07:00:00,24.8,30.69,24.5,0.60,25.2,1009.65,0.0,8.00,96,1.60,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1010.18,09-19-2019,07:00:00,24.5,30.48,24.4,2.80,24.8,1007.39,7.4,8.00,97,7.50,020
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.81,09-19-2019,07:00:00,24.0,27.49,22.6,0.00,26.2,1009.02,0.0,10.00,81,0.00,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1010.56,09-19-2019,07:00:00,23.8,29.75,24.0,6.90,24.4,1010.09,0.0,7.00,97,46.20,000
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1011.21,09-19-2019,07:00:00,24.0,29.04,23.6,0.00,24.0,1010.52,0.0,8.00,97,1.50,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.99,09-19-2019,07:00:00,24.2,28.63,23.3,0.00,24.5,1009.45,0.0,8.00,93,0.60,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.58,09-19-2019,07:00:00,23.8,28.53,23.3,2.10,24.0,1010.65,0.0,10.00,96,30.60,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1011.35,09-19-2019,07:00:00,24.0,29.82,24.0,0.00,25.6,1010.66,0.0,12.00,91,3.70,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.76,09-19-2019,07:00:00,23.8,28.53,23.3,0.00,24.0,1010.95,0.0,9.00,96,0.00,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.95,09-19-2019,07:00:00,24.5,30.32,24.3,0.00,25.0,1010.30,0.0,10.00,96,9.80,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1011.28,09-19-2019,07:00:00,24.8,30.15,24.2,0.00,25.2,1010.87,0.0,10.00,94,0.00,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1013.36,09-19-2019,07:00:00,23.2,28.17,23.0,0.00,23.5,1009.07,0.0,6.00,97,48.20,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1012.00,09-19-2019,07:00:00,23.5,28.95,23.5,0.00,23.8,1010.36,0.0,10.00,98,0.40,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1011.79,09-19-2019,07:00:00,23.7,29.57,23.9,0.00,24.3,1008.27,0.0,7.00,97,1.70,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1011.11,09-19-2019,07:00:00,24.6,29.85,24.0,0.00,24.6,1009.74,0.0,7.00,97,0.00,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1011.36,09-19-2019,07:00:00,23.7,29.41,23.8,0.00,24.5,1010.46,0.0,10.00,96,5.50,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1011.08,09-19-2019,07:00:00,23.5,28.35,23.2,0.00,23.9,1007.47,0.0,10.00,96,29.00,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.50,09-19-2019,07:00:00,24.6,28.82,23.4,0.00,24.9,1011.06,0.0,10.00,92,4.80,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.79,09-19-2019,07:00:00,23.0,29.66,23.9,0.00,24.2,1009.79,0.0,8.00,98,23.00,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1011.67,09-19-2019,07:00:00,24.5,29.70,23.9,0.80,25.1,1010.85,9.3,10.00,93,21.40,090
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1011.63,09-19-2019,07:00:00,24.3,29.59,23.9,0.00,24.6,1009.79,0.0,6.00,96,0.20,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.34,09-19-2019,07:00:00,24.8,28.51,23.2,0.00,25.6,1010.59,5.6,3.00,87,3.50,230
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1011.71,09-19-2019,07:00:00,23.1,29.05,23.6,0.00,24.3,1007.66,3.7,3.00,96,0.80,250
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.82,09-19-2019,07:00:00,23.7,28.97,23.5,0.00,24.4,1011.13,0.0,6.00,95,11.90,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1011.07,09-19-2019,07:00:00,24.0,28.97,23.5,0.00,24.4,1009.94,0.0,8.00,95,0.20,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1011.45,09-19-2019,07:00:00,22.7,30.02,24.1,0.00,24.4,1008.49,0.0,.50,98,0.50,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1011.11,09-19-2019,07:00:00,23.8,30.20,24.2,0.00,24.5,1010.41,0.0,3.00,98,10.50,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1011.92,09-19-2019,07:00:00,23.7,28.62,23.3,0.00,24.2,1007.74,0.0,4.00,95,0.00,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.37,09-19-2019,07:00:00,.0,30.32,24.3,0.50,25.0,1010.78,0.0,8.00,96,3.30,000
