WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,WindDirection,VaporPressure,DewPoint,LandVisibility,WindSpeed,MeanSeaLevelPressure,AirTemperature,RelativeHumidity,Rainfall
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,986.85,09-14-2019,22:00:00,4.60,000,30.84,24.6,10.00,0.0,1008.82,26.0,92,3.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,965.56,09-14-2019,22:00:00,0.01,130,29.26,23.7,8.00,7.4,1009.17,25.0,92,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,987.67,09-14-2019,22:00:00,2.60,000,30.44,24.3,10.00,0.0,1008.36,25.5,93,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,988.72,09-14-2019,22:00:00,3.20,170,32.53,25.4,9.00,7.4,1009.68,25.6,99,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1007.82,09-14-2019,22:00:00,5.50,300,31.79,25.1,8.00,3.7,1008.25,26.5,92,5.50
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.97,09-14-2019,22:00:00,15.90,000,29.89,24.0,6.00,0.0,1008.39,25.2,93,0.50
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1004.20,09-14-2019,22:00:00,21.90,000,29.85,24.0,7.00,0.0,1009.18,24.6,97,0.10
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1005.32,09-14-2019,22:00:00,0.01,270,29.85,24.0,10.00,7.4,1008.62,27.2,83,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1007.55,09-14-2019,22:00:00,36.20,000,31.71,25.0,10.00,0.0,1008.66,25.6,97,0.40
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1008.77,09-14-2019,22:00:00,3.00,310,31.96,25.1,6.00,5.6,1009.07,26.3,93,1.70
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1008.56,09-14-2019,22:00:00,32.00,000,33.32,25.8,10.00,0.0,1009.05,26.0,99,1.50
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1007.28,09-14-2019,22:00:00,5.00,190,30.92,24.6,10.00,11.1,1008.69,25.9,93,0.01
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1002.27,09-14-2019,22:00:00,17.40,000,30.75,24.5,10.00,0.0,1010.36,24.8,98,5.60
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.59,09-14-2019,22:00:00,4.90,000,31.79,25.1,4.00,0.0,1008.87,26.5,92,3.50
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.76,09-14-2019,22:00:00,26.00,000,32.77,25.6,10.00,0.0,1008.89,27.0,92,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1001.50,09-14-2019,22:00:00,0.50,230,33.05,25.7,10.00,5.6,1008.43,27.7,89,0.50
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1003.26,09-14-2019,22:00:00,20.70,000,31.27,24.8,10.00,0.0,1008.89,25.8,94,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1008.12,09-14-2019,22:00:00,1.90,000,32.71,25.5,5.00,0.0,1009.39,26.4,95,1.90
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.54,09-14-2019,22:00:00,0.00,300,30.70,24.5,11.00,5.6,1008.97,27.5,84,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,997.06,09-14-2019,22:00:00,40.50,280,29.41,23.8,10.00,3.7,1009.45,24.5,96,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.18,09-14-2019,22:00:00,11.00,000,29.89,24.0,10.00,0.0,1008.90,26.5,86,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.23,09-14-2019,22:00:00,1.90,000,30.84,24.6,10.00,0.0,1008.66,28.0,82,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.83,09-14-2019,22:00:00,3.10,000,34.40,26.4,10.00,0.0,1008.34,28.5,88,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1003.62,09-14-2019,22:00:00,2.00,330,31.89,25.1,9.00,1.9,1008.77,27.4,87,0.10
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.22,09-14-2019,22:00:00,26.00,000,29.42,23.8,6.00,0.0,1009.63,24.8,94,5.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.92,09-14-2019,22:00:00,57.90,000,30.85,24.6,8.00,0.0,1009.72,25.0,97,6.80
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.18,09-14-2019,22:00:00,0.01,000,27.60,22.7,10.00,0.0,1009.97,26.7,79,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.55,09-14-2019,22:00:00,98.80,000,29.52,23.8,5.00,0.0,1009.01,25.0,93,5.20
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.32,09-14-2019,22:00:00,7.40,000,28.11,23.0,7.00,0.0,1011.01,24.5,91,0.40
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.68,09-14-2019,22:00:00,10.80,000,29.89,24.0,8.00,0.0,1011.23,25.2,93,0.80
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.71,09-14-2019,22:00:00,32.80,280,28.36,23.2,6.00,5.6,1012.64,24.2,94,2.60
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.44,09-14-2019,22:00:00,19.60,000,31.08,24.7,9.00,0.0,1011.13,25.7,94,0.10
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.48,09-14-2019,22:00:00,9.80,190,28.53,23.3,8.00,1.9,1012.29,24.0,96,0.60
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.70,09-14-2019,22:00:00,3.90,000,28.37,23.2,10.00,0.0,1011.35,24.5,92,0.01
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.50,09-14-2019,22:00:00,21.70,000,27.60,22.7,10.00,0.0,1010.91,24.2,91,0.01
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.08,09-14-2019,22:00:00,16.20,000,29.41,23.8,5.00,0.0,1013.35,24.5,96,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.80,09-14-2019,22:00:00,7.20,000,27.92,22.9,7.00,0.0,1012.43,23.8,95,0.20
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1009.16,09-14-2019,22:00:00,12.60,000,28.53,23.3,6.00,0.0,1012.69,24.0,96,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.68,09-14-2019,22:00:00,2.00,270,28.97,23.5,10.00,3.7,1012.05,24.4,95,0.01
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1012.15,09-14-2019,22:00:00,10.80,270,28.53,23.3,8.00,22.2,1013.05,24.0,96,8.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.53,09-14-2019,22:00:00,12.20,000,28.09,23.0,10.00,0.0,1012.14,23.6,96,2.70
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.16,09-14-2019,22:00:00,15.40,000,28.28,23.1,8.00,0.0,1011.60,24.3,93,0.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.60,09-14-2019,22:00:00,16.80,290,30.32,24.3,7.00,9.3,1011.60,25.0,96,1.50
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1011.45,09-14-2019,22:00:00,49.80,000,29.49,23.8,9.00,0.0,1012.28,24.4,97,1.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.71,09-14-2019,22:00:00,13.30,000,27.75,22.8,8.00,0.0,1012.56,23.7,95,1.50
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.97,09-14-2019,22:00:00,1.50,250,29.29,23.7,10.00,5.6,1011.72,26.9,83,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.87,09-14-2019,22:00:00,0.01,000,30.07,24.1,10.00,0.0,1011.91,25.3,93,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.26,09-14-2019,22:00:00,13.30,000,28.47,23.2,{'@attributes': {'Unit': 'km'}},0.0,1011.95,24.7,92,4.10
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.48,09-14-2019,22:00:00,14.20,000,30.43,24.3,10.00,0.0,1011.60,26.5,88,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.90,09-14-2019,22:00:00,7.60,240,30.48,24.4,10.00,9.3,1011.85,24.8,97,4.60
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1011.00,09-14-2019,22:00:00,5.90,000,30.42,24.3,8.00,0.0,1011.70,25.2,95,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1007.90,09-14-2019,22:00:00,9.50,000,27.78,22.8,6.00,0.0,1012.07,24.6,90,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.23,09-14-2019,22:00:00,7.10,000,26.94,22.3,8.00,0.0,1011.82,25.0,85,0.00
