WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,VaporPressure,MeanSeaLevelPressure,WindSpeed,Rainfall,DewPoint,AirTemperature,RelativeHumidity,StationPressure,WindDirection,Rainfall24Hr,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,32.8,09-23-2019,19:00:00,25.90,1011.71,0.0,0.00,21.7,27.2,72,980.77,000,0.00,12.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.8,09-23-2019,19:00:00,17.61,1012.89,27.8,0.00,15.5,18.4,83,850.49,150,0.00,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,31.5,09-23-2019,19:00:00,21.19,1012.51,5.6,0.00,18.4,27.2,59,968.88,340,0.00,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,31.8,09-23-2019,19:00:00,21.70,1012.54,0.0,0.00,18.8,26.0,65,966.83,000,0.00,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,34.0,09-23-2019,19:00:00,24.28,1013.02,0.0,0.00,20.6,25.8,73,975.17,000,0.00,8.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,31.5,09-23-2019,19:00:00,31.11,1003.31,0.0,0.00,24.7,27.0,87,958.60,000,0.00,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,33.0,09-23-2019,19:00:00,30.04,1012.51,3.7,0.00,24.1,29.3,74,985.92,130,0.00,8.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,32.3,09-23-2019,19:00:00,32.27,1012.26,0.0,0.00,25.3,28.3,84,990.53,000,15.80,10.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,33.4,09-23-2019,19:00:00,27.97,1011.61,0.0,0.00,22.9,28.5,72,987.58,000,0.50,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,32.5,09-23-2019,19:00:00,25.55,1012.13,0.0,0.00,21.4,29.2,63,977.80,000,1.00,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,32.8,09-23-2019,19:00:00,25.41,1012.64,0.0,0.00,21.4,27.8,68,985.10,000,0.00,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,31.4,09-23-2019,19:00:00,28.39,1012.08,0.0,0.00,23.2,28.0,75,978.56,000,0.00,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,33.2,09-23-2019,19:00:00,28.65,1011.98,0.0,0.00,23.3,28.0,76,993.48,000,0.00,8.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,31.8,09-23-2019,19:00:00,29.30,1012.28,0.0,0.00,23.7,28.2,77,989.48,000,3.40,10.00
