WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,RelativeHumidity,Rainfall,WindSpeed,StationPressure,WindDirection,MeanSeaLevelPressure,VaporPressure,DewPoint,LandVisibility
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.50,09-13-2019,13:00:00,32.0,66,0.00,5.6,990.52,250,1006.40,31.52,24.9,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,85.00,09-13-2019,13:00:00,28.7,85,5.70,9.3,993.29,180,1007.25,33.37,25.9,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.20,09-13-2019,13:00:00,31.2,71,0.00,0.0,992.85,000,1007.48,32.18,25.3,12.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,17.20,09-13-2019,13:00:00,30.3,76,0.00,9.3,993.61,260,1008.13,32.92,25.6,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-13-2019,13:00:00,34.6,51,0.00,0.0,1005.22,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1008.17,28.22,23.1,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-13-2019,13:00:00,33.1,56,0.00,16.7,999.76,230,1007.56,28.32,23.1,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-13-2019,13:00:00,33.2,66,0.00,7.4,1007.28,270,1008.37,33.50,25.9,10.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,42.50,09-13-2019,13:00:00,31.5,79,0.00,0.0,992.92,000,1007.40,36.42,27.4,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-13-2019,13:00:00,23.3,84,0.00,1.9,874.43,090,1007.96,24.15,20.5,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-13-2019,13:00:00,33.3,62,0.00,3.7,1002.05,260,1007.81,31.92,25.1,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-13-2019,13:00:00,35.0,54,0.00,3.7,1007.74,280,1008.52,30.22,24.2,9.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-13-2019,13:00:00,33.5,57,0.00,14.8,1008.13,230,1008.57,29.70,23.9,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.30,09-13-2019,13:00:00,31.7,65,0.00,5.6,999.11,010,1010.27,30.32,24.3,10.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-13-2019,13:00:00,35.4,53,0.00,0.0,1006.88,000,1007.86,30.19,24.2,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-13-2019,13:00:00,33.5,58,0.00,9.3,1006.30,330,1008.09,29.99,24.1,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-13-2019,13:00:00,34.7,45,0.00,3.7,1006.87,230,1007.62,25.05,21.1,12.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-13-2019,13:00:00,33.3,53,0.00,13.0,1007.47,280,1008.16,27.03,22.4,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-13-2019,13:00:00,33.1,62,0.00,5.6,1007.62,270,1008.31,31.20,24.7,9.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-13-2019,13:00:00,31.7,64,0.00,7.4,986.75,300,1007.59,30.04,24.1,12.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,8.10,09-13-2019,13:00:00,30.9,70,0.00,9.3,991.13,240,1007.64,31.27,24.8,12.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,9.70,09-13-2019,13:00:00,29.8,78,0.00,7.4,991.56,270,1007.85,32.75,25.6,10.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-13-2019,13:00:00,33.3,57,0.00,16.7,985.94,270,1007.36,29.01,23.5,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-13-2019,13:00:00,30.4,66,0.00,22.2,965.31,240,1008.13,28.59,23.3,14.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-13-2019,13:00:00,33.4,59,0.00,11.1,987.38,310,1007.52,30.37,24.3,12.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1.40,09-13-2019,13:00:00,31.1,77,0.00,3.7,988.69,350,1009.27,34.63,26.5,10.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,2.40,09-13-2019,13:00:00,34.0,52,0.00,25.9,1008.13,360,1008.56,27.58,22.7,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-13-2019,13:00:00,30.8,76,0.00,5.6,1007.15,270,1008.56,33.68,26.0,11.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-13-2019,13:00:00,31.2,70,0.00,0.0,1003.11,000,1007.98,31.89,25.1,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-13-2019,13:00:00,33.5,50,0.00,14.8,1005.49,260,1008.72,26.04,21.8,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-13-2019,13:00:00,33.3,56,0.00,3.7,1007.38,260,1008.46,28.72,23.4,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-13-2019,13:00:00,33.5,56,0.00,14.8,1008.58,260,1008.88,29.13,23.6,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,09-13-2019,13:00:00,34.4,56,0.00,7.4,1007.47,360,1008.14,30.71,24.5,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-13-2019,13:00:00,32.8,61,0.00,7.4,1007.73,120,1008.21,30.57,24.4,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-13-2019,13:00:00,32.8,60,0.00,16.7,1007.12,320,1008.51,29.70,23.9,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-13-2019,13:00:00,30.8,80,0.00,11.1,1007.30,260,1008.96,35.48,26.9,12.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-13-2019,13:00:00,32.1,60,0.00,7.4,1002.33,270,1010.23,28.86,23.4,12.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-13-2019,13:00:00,31.3,64,0.00,5.6,1008.39,270,1008.67,29.24,23.7,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-13-2019,13:00:00,31.0,67,0.00,5.6,1005.98,250,1009.08,30.05,24.1,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,3.50,09-13-2019,13:00:00,30.5,63,0.00,7.4,1002.37,310,1009.25,27.41,22.6,12.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-13-2019,13:00:00,33.4,62,0.00,5.6,1002.34,260,1007.82,32.13,25.2,8.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-13-2019,13:00:00,30.8,65,0.00,16.7,1000.93,300,1010.15,28.81,23.4,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.50,09-13-2019,13:00:00,33.0,57,0.00,18.5,1008.32,320,1009.56,28.68,23.3,14.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1.20,09-13-2019,13:00:00,33.4,64,0.00,7.4,1008.40,120,1008.82,32.73,25.6,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-13-2019,13:00:00,32.4,55,0.00,11.1,997.12,230,1009.18,26.67,22.1,10.00
