WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,AirTemperature,StationPressure,WindSpeed,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,WindDirection,VaporPressure,Rainfall
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-23-2019,10:00:00,27.9,30.8,1009.44,0.0,10.00,1010.25,85,000,37.62,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,7.60,07-23-2019,10:00:00,26.3,30.5,1008.18,0.0,10.00,1009.98,78,000,34.22,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-23-2019,10:00:00,24.0,30.9,1009.15,3.7,11.00,1009.90,67,250,29.85,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,2.40,07-23-2019,10:00:00,24.8,29.5,1006.01,0.0,10.00,1009.98,76,000,31.28,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-23-2019,10:00:00,25.5,29.7,1009.44,0.0,10.00,1010.12,78,000,32.54,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,5.00,07-23-2019,10:00:00,23.9,31.4,1008.64,0.0,10.00,1009.74,65,000,29.72,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.01,07-23-2019,10:00:00,25.8,30.7,1007.26,3.7,11.00,1010.15,75,150,33.17,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,07-23-2019,10:00:00,24.8,30.5,1008.67,9.3,10.00,1009.35,72,230,31.31,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.20,07-23-2019,10:00:00,23.2,29.6,1006.36,5.6,10.00,1010.46,69,250,28.42,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,07-23-2019,10:00:00,22.7,30.0,1009.01,0.0,12.00,1009.60,65,000,27.55,0.00
