WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,AirTemperature,MeanSeaLevelPressure,WindDirection,WindSpeed,LandVisibility,RelativeHumidity,DewPoint,Rainfall24Hr,Rainfall,VaporPressure,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.1,09-20-2019,07:00:00,25.2,1009.87,000,0.0,10.00,94,24.2,2.90,0.00,30.15,978.79
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.1,09-20-2019,07:00:00,18.3,1009.45,140,7.4,8.00,99,18.1,13.50,0.00,20.80,847.55
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.0,09-20-2019,07:00:00,25.6,1010.74,110,5.6,10.00,82,22.3,0.40,0.00,26.96,966.96
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.5,09-20-2019,07:00:00,24.0,1010.80,000,0.0,7.00,96,23.3,3.00,0.00,28.53,964.86
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.5,09-20-2019,07:00:00,23.0,1012.84,000,0.0,7.00,99,22.8,17.00,0.00,27.82,974.65
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,21.5,09-20-2019,07:00:00,23.2,1010.90,000,0.0,6.00,98,22.9,4.30,0.30,27.91,965.29
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.0,09-20-2019,07:00:00,24.2,1011.23,000,0.0,6.00,94,23.2,2.30,0.00,28.36,984.23
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.8,09-20-2019,07:00:00,24.2,1010.18,000,0.0,10.00,97,23.6,1.30,0.00,29.13,988.20
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,22.8,09-20-2019,07:00:00,24.5,1010.08,000,0.0,5.00,96,23.8,1.00,0.00,29.41,985.76
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.3,09-20-2019,07:00:00,24.9,1010.44,000,0.0,8.00,90,23.1,7.50,0.00,28.30,975.68
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.0,09-20-2019,07:00:00,24.6,1010.91,000,0.0,7.00,97,24.0,19.90,0.00,29.85,983.13
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.8,09-20-2019,07:00:00,24.3,1010.24,000,0.0,10.00,97,23.9,9.90,0.00,29.57,976.37
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.2,09-20-2019,07:00:00,25.8,1009.82,010,1.9,5.00,93,24.6,4.10,0.00,31.00,991.22
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.7,09-20-2019,07:00:00,25.0,1010.88,000,0.0,10.00,96,24.3,7.30,0.00,30.32,987.87
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.0,09-20-2019,07:00:00,24.5,1010.79,000,0.0,7.00,96,23.8,1.80,0.00,29.41,980.62
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.0,09-20-2019,07:00:00,23.2,1010.83,000,0.0,4.00,98,22.9,0.60,0.00,27.91,974.84
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.2,09-20-2019,07:00:00,23.3,1010.64,000,0.0,10.00,98,23.0,22.00,17.70,28.08,980.52
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.2,09-20-2019,07:00:00,26.5,1009.44,000,0.0,8.00,92,25.1,0.01,0.00,31.79,1002.10
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.8,09-20-2019,07:00:00,27.5,1010.50,020,3.7,7.00,90,25.7,3.20,0.00,32.93,990.58
48353,LOEI,เลย,เลย,17.45000,101.73333,23.8,09-20-2019,07:00:00,24.1,1010.83,000,0.0,4.00,95,23.2,21.00,18.00,28.44,981.83
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.8,09-20-2019,07:00:00,26.0,1011.04,000,0.0,15.00,92,24.6,11.00,0.00,30.84,990.73
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.0,09-20-2019,07:00:00,24.5,1010.55,000,0.0,12.00,96,23.8,9.70,0.00,29.41,988.59
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.5,09-20-2019,07:00:00,26.0,1010.25,000,0.0,15.00,88,23.8,6.60,0.00,29.50,990.65
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.0,09-20-2019,07:00:00,25.2,1010.69,000,0.0,10.00,94,24.2,18.30,0.00,30.15,993.79
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.6,09-20-2019,07:00:00,25.1,1010.89,000,0.0,9.00,94,24.1,0.60,0.00,29.97,993.31
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.4,09-20-2019,07:00:00,25.0,1009.39,110,3.7,11.00,95,24.1,20.80,0.20,30.05,983.40
