WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,AirTemperature,WindDirection,LandVisibility,Rainfall,WindSpeed,StationPressure,MeanSeaLevelPressure,Rainfall24Hr,VaporPressure,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.3,09-27-2019,13:00:00,27.2,000,10.00,0.80,0.0,984.41,1015.46,30.30,30.39,84
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,16.0,09-27-2019,13:00:00,18.5,130,8.00,0.00,7.4,851.60,1014.16,0.00,18.13,85
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,20.8,09-27-2019,13:00:00,28.0,200,10.00,0.00,11.1,972.69,1016.37,0.01,24.48,65
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,21.2,09-27-2019,13:00:00,27.1,210,10.00,0.00,5.6,970.61,1016.33,3.40,25.22,70
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.9,09-27-2019,13:00:00,25.0,000,6.00,0.10,0.0,979.42,1017.53,2.30,27.96,88
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,22.4,09-27-2019,13:00:00,24.3,300,8.00,0.00,3.7,971.56,1017.30,4.10,27.01,89
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,21.4,09-27-2019,13:00:00,25.8,000,8.00,0.10,0.0,990.78,1017.82,16.30,25.53,77
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.3,09-27-2019,13:00:00,28.1,350,6.00,0.01,9.3,993.50,1015.30,11.70,28.57,75
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.0,09-27-2019,13:00:00,27.0,000,8.00,0.00,0.0,991.21,1015.46,8.80,29.75,83
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,21.3,09-27-2019,13:00:00,27.2,360,10.00,2.20,5.6,981.89,1016.59,14.20,25.39,70
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,22.2,09-27-2019,13:00:00,27.5,000,10.00,0.00,0.0,988.28,1015.94,0.00,26.69,73
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,21.9,09-27-2019,13:00:00,27.0,000,8.00,0.00,0.0,982.60,1016.37,0.10,26.32,74
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.4,09-27-2019,13:00:00,31.1,330,5.00,0.00,5.6,996.29,1014.66,0.00,30.53,68
48331,NAN,น่าน,น่าน,18.77972,100.77778,21.9,09-27-2019,13:00:00,27.0,000,10.00,0.01,0.0,993.77,1016.76,4.50,26.32,74
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.5,09-27-2019,13:00:00,25.5,060,9.00,0.01,5.6,986.68,1016.94,7.50,27.29,84
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.0,09-27-2019,13:00:00,26.6,000,7.00,0.00,0.0,979.91,1015.66,0.00,26.39,76
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,21.9,09-27-2019,13:00:00,31.5,010,10.00,0.00,5.6,984.36,1013.77,0.00,26.32,57
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,22.4,09-27-2019,13:00:00,34.0,000,9.00,0.00,0.0,1006.59,1013.78,0.00,27.01,51
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,20.4,09-27-2019,13:00:00,32.7,100,6.00,0.00,14.8,994.84,1014.51,0.00,23.99,49
48353,LOEI,เลย,เลย,17.45000,101.73333,17.7,09-27-2019,13:00:00,32.6,080,8.00,0.00,5.6,985.72,1014.01,0.00,20.20,41
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,18.9,09-27-2019,13:00:00,32.4,020,8.00,0.00,9.3,994.63,1014.58,0.00,21.89,45
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,20.0,09-27-2019,13:00:00,31.8,070,7.00,0.00,5.6,992.72,1014.24,0.00,23.42,50
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,19.0,09-27-2019,13:00:00,32.0,350,12.00,0.00,7.4,994.80,1014.09,0.00,21.96,46
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,18.6,09-27-2019,13:00:00,33.3,260,10.00,0.00,3.7,997.56,1014.07,0.00,21.41,42
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,20.8,09-27-2019,13:00:00,32.0,090,10.00,0.00,3.7,997.11,1014.35,0.00,24.57,52
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,17.7,09-27-2019,13:00:00,31.6,110,8.00,0.00,7.4,987.60,1013.13,0.00,20.27,44
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.2,09-27-2019,13:00:00,32.8,150,8.00,0.00,3.7,1008.64,1014.36,0.00,32.03,64
