WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,WindDirection,WindSpeed,RelativeHumidity,Rainfall,DewPoint,VaporPressure,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,981.37,10-18-2019,13:00:00,30.1,180,3.7,71,0.00,24.2,30.22,7.50,15.00,1012.03
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,849.84,10-18-2019,13:00:00,18.2,200,14.8,97,0.00,17.7,20.24,0.00,8.00,1012.24
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,969.66,10-18-2019,13:00:00,29.1,350,7.4,66,0.00,22.0,26.42,1.20,10.00,1013.05
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,967.70,10-18-2019,13:00:00,28.6,320,9.3,68,0.00,22.1,26.57,0.20,15.00,1013.06
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,975.67,10-18-2019,13:00:00,30.2,000,0.0,66,0.00,23.2,28.48,0.30,12.00,1012.98
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,968.30,10-18-2019,13:00:00,31.5,000,0.0,60,0.00,22.8,27.68,0.00,8.00,1012.78
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,987.20,10-18-2019,13:00:00,31.0,170,7.4,66,0.00,23.8,29.48,11.70,12.00,1013.67
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,990.50,10-18-2019,13:00:00,32.9,010,1.9,59,0.00,23.9,29.62,0.00,12.00,1011.90
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,988.06,10-18-2019,13:00:00,33.0,000,0.0,56,0.00,23.0,28.12,0.00,10.00,1011.75
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,978.29,10-18-2019,13:00:00,33.0,060,3.7,51,0.00,21.5,25.63,0.01,10.00,1012.21
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,986.25,10-18-2019,13:00:00,32.5,000,0.0,58,0.00,23.1,28.25,0.00,10.00,1013.40
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,979.45,10-18-2019,13:00:00,31.6,000,0.0,56,0.00,21.9,26.23,2.20,12.00,1012.60
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,993.71,10-18-2019,13:00:00,33.6,360,3.7,53,0.00,22.7,27.62,0.00,8.00,1011.87
48331,NAN,น่าน,น่าน,18.77972,100.77778,990.17,10-18-2019,13:00:00,31.8,010,7.4,58,0.00,22.6,27.43,0.01,10.00,1012.72
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,983.14,10-18-2019,13:00:00,31.0,000,0.0,63,0.00,23.2,28.37,1.10,12.00,1012.74
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,977.22,10-18-2019,13:00:00,31.2,000,0.0,57,0.00,21.6,25.76,0.00,8.00,1012.33
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,982.27,10-18-2019,13:00:00,32.8,140,9.3,50,0.00,20.9,24.71,0.00,9.00,1011.49
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1004.47,10-18-2019,13:00:00,34.0,000,0.0,46,0.00,20.6,24.26,0.00,102.00,1011.64
