WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,VaporPressure,WindDirection,StationPressure,MeanSeaLevelPressure,RelativeHumidity,WindSpeed,LandVisibility,Rainfall24Hr,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.6,08-18-2019,04:00:00,0.00,29.33,000,976.71,1007.79,95,0.0,6.00,4.00,23.7
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.0,08-18-2019,04:00:00,0.00,20.87,290,843.75,1004.51,95,18.5,8.00,0.00,18.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.2,08-18-2019,04:00:00,0.00,29.10,000,962.57,1006.22,91,0.0,10.00,2.10,23.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.8,08-18-2019,04:00:00,0.00,27.42,000,960.89,1006.67,93,0.0,12.00,4.20,22.6
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.2,08-18-2019,04:00:00,0.00,29.66,000,969.67,1007.50,98,0.0,6.00,50.80,23.9
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.5,08-18-2019,04:00:00,0.00,28.89,000,961.74,1006.98,94,0.0,10.00,0.00,23.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.4,08-18-2019,04:00:00,0.00,29.99,000,980.60,1007.39,92,0.0,8.00,41.50,24.1
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.9,08-18-2019,04:00:00,0.00,29.08,000,985.02,1006.88,92,0.0,10.00,1.10,23.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.5,08-18-2019,04:00:00,0.00,29.41,000,984.47,1008.75,96,0.0,6.00,2.50,23.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.5,08-18-2019,04:00:00,0.00,28.37,000,972.60,1007.29,92,0.0,10.00,8.20,23.2
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.0,08-18-2019,04:00:00,0.00,30.32,000,979.54,1007.18,96,0.0,10.00,26.90,24.3
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.2,08-18-2019,04:00:00,0.00,30.15,000,973.28,1006.94,94,0.0,10.00,6.30,24.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.1,08-18-2019,04:00:00,0.20,31.04,000,988.23,1006.81,97,0.0,10.00,20.00,24.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.3,08-18-2019,04:00:00,0.00,30.87,000,984.05,1006.95,96,0.0,10.00,2.60,24.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.0,08-18-2019,04:00:00,0.00,30.32,000,976.31,1006.30,96,0.0,5.00,23.40,24.3
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.5,08-18-2019,04:00:00,0.00,29.93,000,971.52,1007.23,97,0.0,6.00,21.80,24.1
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.9,08-18-2019,04:00:00,0.00,29.12,000,977.22,1007.17,98,0.0,10.00,10.40,23.6
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.3,08-18-2019,04:00:00,0.00,31.13,000,1000.05,1007.37,91,0.0,7.00,2.50,24.7
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.5,08-18-2019,04:00:00,0.10,32.07,000,987.68,1007.68,98,0.0,10.00,33.70,25.2
48353,LOEI,เลย,เลย,17.45000,101.73333,24.7,08-18-2019,04:00:00,0.00,29.25,000,978.42,1007.25,94,0.0,10.00,10.00,23.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.6,08-18-2019,04:00:00,0.00,31.17,000,987.23,1007.48,95,0.0,10.00,16.00,24.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.2,08-18-2019,04:00:00,0.00,29.10,200,986.76,1008.63,91,7.4,10.00,4.30,23.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.5,08-18-2019,04:00:00,0.00,29.91,000,987.94,1007.52,92,0.0,10.00,6.60,24.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.2,08-18-2019,04:00:00,0.00,29.36,000,991.76,1008.63,92,0.0,10.00,34.70,23.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.0,08-18-2019,04:00:00,0.00,29.00,000,991.06,1008.60,92,0.0,10.00,2.00,23.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.7,08-18-2019,04:00:00,0.00,30.83,000,981.31,1007.27,99,0.0,8.00,24.00,24.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.2,08-18-2019,04:00:00,0.00,33.43,150,1002.20,1008.00,98,5.6,10.00,0.00,25.9
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.0,08-18-2019,04:00:00,0.00,32.20,000,999.58,1005.78,96,0.0,10.00,0.00,25.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,25.0,08-18-2019,04:00:00,0.00,29.79,000,991.72,1008.29,94,0.0,7.00,10.80,24.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.5,08-18-2019,04:00:00,0.00,28.11,000,984.32,1006.82,91,0.0,10.00,17.50,23.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.5,08-18-2019,04:00:00,0.00,26.95,280,993.52,1007.90,73,9.3,8.00,0.00,22.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.0,08-18-2019,04:00:00,0.00,26.58,000,989.50,1005.86,75,0.0,7.00,0.00,22.1
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.9,08-18-2019,04:00:00,0.00,30.65,000,1002.45,1007.70,92,0.0,10.00,2.80,24.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.0,08-18-2019,04:00:00,0.00,29.79,000,993.03,1006.30,94,0.0,10.00,0.00,24.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.8,08-18-2019,04:00:00,0.00,32.37,080,998.33,1007.70,97,3.7,10.00,5.10,25.4
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.0,08-18-2019,04:00:00,0.00,30.84,180,986.06,1007.83,92,5.6,8.00,1.60,24.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.6,08-18-2019,04:00:00,0.00,31.17,000,990.85,1008.45,95,0.0,10.00,0.70,24.7
