WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,VaporPressure,MeanSeaLevelPressure,Rainfall,StationPressure,LandVisibility,DewPoint,WindDirection,RelativeHumidity,AirTemperature,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,09-08-2019,22:00:00,29.80,1008.64,3.30,977.60,10.00,24.0,000,92,25.3,5.30
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,27.8,09-08-2019,22:00:00,21.65,1005.47,0.00,844.60,6.00,18.8,270,98,19.1,2.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,09-08-2019,22:00:00,29.19,1006.15,0.00,962.72,10.00,23.6,000,83,26.7,3.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,09-08-2019,22:00:00,29.60,1006.00,0.00,960.61,13.00,23.9,000,87,26.2,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,09-08-2019,22:00:00,32.20,1007.37,0.00,969.76,6.00,25.3,000,96,26.0,0.50
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,9.3,09-08-2019,22:00:00,31.66,1006.57,0.00,961.72,8.00,25.0,120,89,27.0,0.10
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,7.4,09-08-2019,22:00:00,30.67,1007.37,1.60,980.64,7.00,24.5,180,90,26.2,1.60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,09-08-2019,22:00:00,29.17,1007.68,0.00,985.91,13.00,23.6,000,85,26.4,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,09-08-2019,22:00:00,29.91,1009.99,0.00,985.76,8.00,24.0,000,92,25.5,2.10
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.7,09-08-2019,22:00:00,25.86,1007.71,0.00,973.46,10.00,21.6,220,66,28.5,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,09-08-2019,22:00:00,28.36,1007.50,0.00,979.95,10.00,23.2,000,84,26.1,9.60
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,09-08-2019,22:00:00,25.57,1007.15,0.00,973.74,10.00,21.5,000,69,27.6,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,09-08-2019,22:00:00,33.10,1007.06,0.00,988.56,15.00,25.7,000,95,26.6,7.60
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,09-08-2019,22:00:00,31.05,1007.12,0.00,984.29,10.00,24.7,000,90,26.4,3.20
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,09-08-2019,22:00:00,29.91,1007.45,0.00,977.47,8.00,24.0,000,92,25.5,0.10
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,09-08-2019,22:00:00,28.87,1006.28,0.00,970.76,8.00,23.5,000,87,25.8,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,09-08-2019,22:00:00,30.05,1005.97,0.00,976.28,12.00,24.1,000,88,26.3,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,09-08-2019,22:00:00,32.36,1006.94,0.00,999.65,10.00,25.4,000,88,27.5,0.01
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.6,09-08-2019,22:00:00,31.79,1005.59,0.00,985.82,10.00,25.1,230,83,28.2,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,5.6,09-08-2019,22:00:00,28.26,1006.37,0.00,977.82,12.00,23.1,050,77,27.5,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.0,09-08-2019,22:00:00,31.72,1006.13,0.00,986.03,12.00,25.0,000,86,27.6,0.01
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,3.7,09-08-2019,22:00:00,30.56,1006.46,0.00,984.83,12.00,24.4,230,81,28.0,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,7.4,09-08-2019,22:00:00,30.98,1005.71,0.00,986.36,12.00,24.6,200,80,28.5,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,09-08-2019,22:00:00,32.96,1006.52,0.01,989.88,10.00,25.7,000,85,28.5,0.01
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,09-08-2019,22:00:00,33.62,1006.59,0.00,989.24,10.00,26.0,000,91,27.7,0.40
