WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,MeanSeaLevelPressure,Rainfall,WindSpeed,LandVisibility,AirTemperature,RelativeHumidity,VaporPressure,WindDirection,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,7.40,07-12-2019,16:00:00,24.2,1006.42,0.00,3.7,12.00,30.8,68,30.21,190,976.01
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,07-12-2019,16:00:00,20.4,1003.68,0.00,3.7,15.00,34.0,45,23.99,240,961.36
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-12-2019,16:00:00,22.2,1004.01,0.00,0.0,15.00,33.3,52,26.75,000,959.73
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.40,07-12-2019,16:00:00,22.2,1004.60,0.40,0.0,10.00,31.0,60,26.73,000,967.69
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.40,07-12-2019,16:00:00,21.5,1003.98,0.00,5.6,15.00,35.6,44,25.70,200,960.45
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-12-2019,16:00:00,23.5,1005.54,0.00,0.0,12.00,34.0,55,29.00,000,979.53
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.01,07-12-2019,16:00:00,20.6,1005.66,0.00,13.0,15.00,35.4,42,24.20,210,984.56
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.60,07-12-2019,16:00:00,23.2,1007.38,0.00,0.0,8.00,30.5,65,28.50,000,983.60
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.20,07-12-2019,16:00:00,21.8,1005.03,0.00,3.7,12.00,33.5,50,26.04,140,971.41
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-12-2019,16:00:00,21.0,1005.13,0.00,0.0,10.00,34.9,45,24.88,000,978.41
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-12-2019,16:00:00,20.5,1005.23,0.00,0.0,15.00,34.8,43,24.15,000,972.65
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,2.40,07-12-2019,16:00:00,22.7,1004.79,0.00,3.7,12.00,35.8,47,27.52,240,986.87
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-12-2019,16:00:00,22.4,1004.28,0.00,9.3,10.00,35.6,47,27.11,310,982.19
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-12-2019,16:00:00,22.7,1004.41,0.00,0.0,12.00,35.0,49,27.61,000,975.43
