WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,DewPoint,Rainfall,AirTemperature,VaporPressure,LandVisibility,WindSpeed,WindDirection,RelativeHumidity,Rainfall24Hr
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1004.50,08-11-2019,10:00:00,988.20,23.6,0.00,28.7,29.16,10.00,11.1,140,74,4.40
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1001.70,08-11-2019,10:00:00,979.58,23.6,0.10,28.0,29.19,8.00,11.1,130,77,38.80
48376,TAK,ตาก,ตาก,16.87833,99.14333,1004.10,08-11-2019,10:00:00,989.82,25.9,0.00,28.3,33.41,6.00,3.7,160,87,4.40
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1003.40,08-11-2019,10:00:00,987.13,25.1,0.00,28.0,31.95,7.00,0.0,000,85,11.10
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.97,08-11-2019,10:00:00,998.80,24.6,0.00,29.2,30.96,10.00,7.4,200,76,0.40
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1002.77,08-11-2019,10:00:00,989.72,24.7,0.00,29.0,31.13,12.00,0.0,000,78,0.60
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1003.57,08-11-2019,10:00:00,994.33,25.7,0.00,28.5,32.96,10.00,7.4,110,85,9.90
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1005.27,08-11-2019,10:00:00,983.71,23.7,0.00,28.2,29.30,10.00,7.4,250,77,33.60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1003.76,08-11-2019,10:00:00,986.58,25.1,0.00,31.5,31.93,12.00,0.0,000,69,37.40
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1004.25,08-11-2019,10:00:00,988.60,24.7,0.00,29.7,31.12,12.00,3.7,150,75,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1003.06,08-11-2019,10:00:00,984.43,24.3,0.00,29.9,30.39,10.00,5.6,230,72,18.10
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1003.49,08-11-2019,10:00:00,952.50,22.7,2.20,26.0,27.66,9.00,0.0,000,82,17.10
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.58,08-11-2019,10:00:00,999.67,24.9,0.00,29.2,31.53,8.00,16.7,180,78,31.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1003.92,08-11-2019,10:00:00,909.57,20.1,0.00,23.0,23.45,7.00,7.4,150,84,48.80
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1004.08,08-11-2019,10:00:00,988.26,26.5,0.00,29.4,34.54,10.00,11.1,210,84,3.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.96,08-11-2019,10:00:00,999.96,24.2,0.00,28.8,30.18,10.00,11.1,210,76,1.10
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1004.89,08-11-2019,10:00:00,994.35,24.1,0.00,30.0,30.03,8.00,3.7,200,71,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.76,08-11-2019,10:00:00,1002.85,22.9,0.00,29.6,27.88,10.00,14.8,180,67,0.20
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1003.94,08-11-2019,10:00:00,983.33,23.1,0.00,29.7,28.34,10.00,5.6,210,68,14.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1004.09,08-11-2019,10:00:00,986.63,24.6,0.00,29.5,31.00,10.00,14.8,200,75,9.40
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1003.75,08-11-2019,10:00:00,987.79,24.8,0.00,29.8,31.32,10.00,11.1,180,75,17.70
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1005.39,08-11-2019,10:00:00,991.52,24.3,0.00,30.0,30.31,10.00,5.6,180,71,0.90
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1005.94,08-11-2019,10:00:00,991.27,25.0,0.00,30.0,31.72,10.00,9.3,190,75,0.20
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1005.45,08-11-2019,10:00:00,990.96,24.8,0.00,30.1,31.35,10.00,13.0,210,73,0.40
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1004.00,08-11-2019,10:00:00,1001.02,24.3,0.00,29.9,30.39,10.00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",72,2.40
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1003.92,08-11-2019,10:00:00,996.09,23.1,0.00,30.8,28.26,10.00,5.6,130,64,0.30
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1005.54,08-11-2019,10:00:00,1004.45,24.1,0.00,30.6,30.09,8.00,5.6,190,69,0.30
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1005.28,08-11-2019,10:00:00,990.81,24.6,0.00,31.0,30.90,8.00,3.7,200,69,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1006.64,08-11-2019,10:00:00,871.99,20.0,6.40,20.2,23.42,.10,5.6,280,99,48.40
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1004.09,08-11-2019,10:00:00,998.30,25.5,0.00,30.7,32.59,10.00,9.3,230,74,3.30
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.02,08-11-2019,10:00:00,1004.23,24.6,0.00,30.9,30.98,8.00,5.6,170,69,1.90
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.40,08-11-2019,10:00:00,1004.96,23.9,0.00,30.9,29.56,10.00,9.3,210,66,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1005.21,08-11-2019,10:00:00,993.91,24.3,6.60,26.5,30.43,4.00,0.0,000,88,32.30
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1005.02,08-11-2019,10:00:00,1004.03,24.7,0.00,31.0,31.19,12.00,7.4,190,69,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.50,08-11-2019,10:00:00,1003.71,24.9,0.00,31.7,31.47,8.00,0.0,000,67,0.30
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1004.77,08-11-2019,10:00:00,1004.01,25.0,0.01,29.8,31.60,8.00,0.0,000,75,0.40
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.38,08-11-2019,10:00:00,1004.69,24.8,0.00,30.2,31.27,10.00,13.0,200,73,0.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.53,08-11-2019,10:00:00,1004.84,25.8,0.00,31.3,33.27,7.00,3.7,180,73,0.20
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1004.08,08-11-2019,10:00:00,983.41,22.5,0.00,33.1,27.20,12.00,9.3,230,54,0.20
