WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,VaporPressure,WindDirection,MeanSeaLevelPressure,RelativeHumidity,StationPressure,WindSpeed,DewPoint,LandVisibility,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.4,08-21-2019,22:00:00,10.30,30.25,000,1005.97,93,975.03,0.0,24.2,8.00,6.80
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.2,08-21-2019,22:00:00,4.90,20.45,140,1005.13,98,843.87,11.1,17.9,6.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,26.0,08-21-2019,22:00:00,7.10,28.44,210,1005.84,85,962.32,3.7,23.2,10.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.1,08-21-2019,22:00:00,1.10,28.92,000,1005.85,91,960.31,0.0,23.5,13.00,0.40
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.5,08-21-2019,22:00:00,64.80,29.91,000,1006.77,92,969.12,0.0,24.0,6.00,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.2,08-21-2019,22:00:00,8.40,30.94,160,1006.10,91,961.15,13.0,24.6,8.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.6,08-21-2019,22:00:00,20.70,31.99,000,1006.69,92,980.02,0.0,25.2,7.00,0.01
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,26.2,08-21-2019,22:00:00,0.00,30.13,100,1006.29,89,984.54,5.6,24.2,18.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,26.5,08-21-2019,22:00:00,0.30,29.08,000,1006.55,84,982.48,0.0,23.6,8.00,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.4,08-21-2019,22:00:00,3.00,29.72,000,1006.26,92,971.71,0.0,23.9,10.00,0.50
