WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,WindSpeed,WindDirection,LandVisibility,AirTemperature,DewPoint,VaporPressure,StationPressure,Rainfall24Hr,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1005.11,07-30-2019,13:00:00,0.01,0.0,000,8.00,31.8,24.5,30.81,974.83,0.30,66
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1003.33,07-30-2019,13:00:00,0.00,7.4,280,7.00,21.5,18.6,21.46,843.97,9.50,84
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1003.82,07-30-2019,13:00:00,0.00,14.8,130,10.00,30.8,23.4,28.81,961.06,0.00,65
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1003.43,07-30-2019,13:00:00,0.01,0.0,000,9.00,31.6,23.7,29.27,958.94,0.01,63
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1006.29,07-30-2019,13:00:00,1.00,0.0,000,12.00,25.7,24.2,30.28,968.69,21.80,92
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1003.81,07-30-2019,13:00:00,0.00,0.0,000,12.00,32.0,22.7,27.55,959.79,0.00,58
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1006.58,07-30-2019,13:00:00,1.10,3.7,150,8.00,26.8,24.2,30.18,979.93,52.90,86
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1005.07,07-30-2019,13:00:00,0.00,9.3,240,15.00,29.8,22.5,27.17,983.60,0.00,65
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1006.56,07-30-2019,13:00:00,0.30,0.0,000,10.00,30.2,23.4,28.75,982.78,13.90,67
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1005.06,07-30-2019,13:00:00,0.00,5.6,120,10.00,32.3,22.9,27.85,971.31,0.01,58
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1005.26,07-30-2019,13:00:00,0.00,0.0,000,10.00,33.4,22.0,26.39,978.41,0.00,51
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1004.98,07-30-2019,13:00:00,0.00,7.4,230,15.00,33.0,21.1,25.08,972.22,0.00,50
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1004.84,07-30-2019,13:00:00,0.00,3.7,180,12.00,32.5,22.4,27.13,986.73,0.00,55
48331,NAN,น่าน,น่าน,18.77972,100.77778,1006.07,07-30-2019,13:00:00,0.90,0.0,000,10.00,27.1,24.4,30.48,983.32,8.30,85
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1005.80,07-30-2019,13:00:00,5.80,0.0,000,10.00,27.0,24.8,31.38,976.02,12.70,88
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1004.56,07-30-2019,13:00:00,0.00,0.0,000,8.00,32.0,22.5,27.27,969.81,0.00,57
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1004.68,07-30-2019,13:00:00,0.10,7.4,050,15.00,28.1,25.1,31.87,975.21,0.80,84
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1005.65,07-30-2019,13:00:00,0.00,0.0,000,11.00,33.5,23.3,28.56,998.51,0.01,55
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1004.73,07-30-2019,13:00:00,0.10,5.6,230,20.00,28.1,25.3,32.15,984.97,26.10,85
48353,LOEI,เลย,เลย,17.45000,101.73333,1004.94,07-30-2019,13:00:00,0.01,5.6,360,12.00,28.5,23.6,29.05,976.53,1.00,75
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1005.34,07-30-2019,13:00:00,0.00,18.5,280,15.00,29.4,23.6,29.13,985.37,18.70,71
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1004.85,07-30-2019,13:00:00,0.00,3.7,310,15.00,30.8,25.3,32.22,983.45,23.70,73
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1003.92,07-30-2019,13:00:00,0.00,5.6,320,12.00,30.4,24.9,31.39,984.72,10.50,72
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1004.83,07-30-2019,13:00:00,0.01,0.0,000,11.00,28.5,24.2,30.15,988.21,8.70,78
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1004.97,07-30-2019,13:00:00,0.00,0.0,000,12.00,28.3,24.4,30.59,987.68,13.80,80
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1004.65,07-30-2019,13:00:00,0.01,3.7,170,10.00,28.7,24.8,31.38,979.10,34.40,80
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1005.08,07-30-2019,13:00:00,0.00,3.7,270,10.00,33.8,23.5,28.88,999.43,0.80,55
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1005.43,07-30-2019,13:00:00,0.00,7.4,230,10.00,32.6,23.5,29.01,999.37,1.60,59
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1005.75,07-30-2019,13:00:00,0.00,0.0,000,10.00,32.3,21.9,26.20,989.62,0.20,54
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1006.08,07-30-2019,13:00:00,0.00,5.6,190,10.00,29.0,23.0,28.10,983.93,2.00,70
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1005.60,07-30-2019,13:00:00,0.00,7.4,120,7.00,33.5,21.9,26.31,989.59,0.00,51
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1005.52,07-30-2019,13:00:00,0.00,13.0,250,10.00,32.8,21.9,26.34,1000.40,11.60,53
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1004.39,07-30-2019,13:00:00,0.00,0.0,000,12.00,33.7,22.5,27.26,991.51,0.00,52
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1005.62,07-30-2019,13:00:00,0.00,7.4,240,14.00,35.2,21.0,24.91,996.56,0.00,44
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1005.20,07-30-2019,13:00:00,0.00,9.3,300,10.00,30.5,23.4,28.78,983.81,0.40,66
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1004.48,07-30-2019,13:00:00,0.00,14.8,230,12.00,31.0,25.4,32.34,987.26,6.80,72
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1003.86,07-30-2019,13:00:00,0.00,3.7,240,12.00,30.1,25.0,31.64,988.24,9.80,74
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1003.72,07-30-2019,13:00:00,0.00,0.0,000,8.00,30.2,25.2,32.13,985.10,13.60,75
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1008.19,07-30-2019,13:00:00,0.00,0.0,000,11.00,27.1,20.9,24.71,957.14,13.30,69
