WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,LandVisibility,AirTemperature,RelativeHumidity,WindDirection,DewPoint,Rainfall24Hr,VaporPressure,StationPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1010.02,10-12-2019,04:00:00,0.00,7.00,24.3,91,000,22.8,0.00,27.77,978.84,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1008.94,10-12-2019,04:00:00,0.00,8.00,17.4,97,000,16.9,2.40,19.23,846.67,0.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1009.55,10-12-2019,04:00:00,0.00,10.00,23.6,90,000,21.9,34.20,26.33,965.53,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1009.64,10-12-2019,04:00:00,0.00,12.00,22.8,92,000,21.4,0.40,25.52,963.58,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1010.39,10-12-2019,04:00:00,0.00,5.00,22.0,99,000,21.8,0.00,26.18,972.16,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1009.71,10-12-2019,04:00:00,0.00,6.00,22.5,96,000,21.9,0.00,26.25,964.05,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1010.24,10-12-2019,04:00:00,0.00,4.00,23.5,96,000,22.8,0.00,27.66,983.20,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1009.33,10-12-2019,04:00:00,0.00,10.00,23.6,98,000,23.3,0.00,28.60,987.32,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1009.79,10-12-2019,04:00:00,0.00,6.00,24.8,96,000,24.1,0.50,29.95,985.50,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1009.46,10-12-2019,04:00:00,0.00,10.00,24.7,86,000,22.2,0.40,26.68,974.72,0.0
