WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,VaporPressure,Rainfall,RelativeHumidity,WindDirection,LandVisibility,WindSpeed,StationPressure,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.8,08-18-2019,01:00:00,29.52,0.00,93,000,8.00,0.0,977.17,1008.22,25.0,9.90
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.2,08-18-2019,01:00:00,20.89,0.00,92,280,8.00,14.8,844.17,1004.73,19.5,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.3,08-18-2019,01:00:00,28.57,0.00,89,000,10.00,0.0,962.78,1006.44,25.2,2.10
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.7,08-18-2019,01:00:00,27.51,0.00,92,000,12.00,0.0,960.73,1006.47,24.0,4.20
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.2,08-18-2019,01:00:00,30.22,0.00,97,000,6.00,0.0,970.06,1007.84,24.8,95.30
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.2,08-18-2019,01:00:00,30.15,0.00,94,000,10.00,0.0,961.80,1006.94,25.2,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.9,08-18-2019,01:00:00,29.64,0.00,91,000,8.00,0.0,980.88,1007.67,25.5,41.90
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.2,08-18-2019,01:00:00,30.19,0.00,91,000,10.00,0.0,985.86,1007.67,25.8,1.30
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.6,08-18-2019,01:00:00,29.16,0.00,93,000,6.00,0.0,984.86,1009.13,24.8,2.80
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.8,08-18-2019,01:00:00,29.54,0.00,92,000,10.00,0.0,973.53,1008.16,25.3,8.20
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.0,08-18-2019,01:00:00,31.63,0.00,96,000,10.00,0.0,980.63,1008.25,25.7,26.90
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.3,08-18-2019,01:00:00,32.20,0.00,96,000,10.00,0.0,974.02,1007.62,26.0,6.30
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.1,08-18-2019,01:00:00,31.90,0.00,97,000,7.00,0.0,988.69,1007.24,25.7,19.80
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.7,08-18-2019,01:00:00,31.17,0.00,95,000,10.00,0.0,984.56,1007.45,25.6,5.80
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.8,08-18-2019,01:00:00,29.52,0.00,93,000,6.00,0.0,977.39,1007.41,25.0,25.60
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.4,08-18-2019,01:00:00,30.58,0.00,97,000,5.00,0.0,972.10,1007.76,25.0,21.80
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.7,08-18-2019,01:00:00,29.30,0.00,98,000,10.00,0.0,977.01,1006.94,24.0,10.80
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.5,08-18-2019,01:00:00,30.81,0.00,88,000,7.00,0.0,1000.38,1007.70,26.7,2.50
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.0,08-18-2019,01:00:00,31.68,3.00,98,020,9.00,5.6,987.78,1007.79,25.3,33.60
48353,LOEI,เลย,เลย,17.45000,101.73333,23.6,08-18-2019,01:00:00,29.16,0.00,93,000,10.00,0.0,978.81,1007.65,24.8,10.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.0,08-18-2019,01:00:00,29.91,0.80,92,000,10.00,0.0,987.61,1007.88,25.5,16.20
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.5,08-18-2019,01:00:00,28.93,0.00,89,000,12.00,0.0,987.22,1009.09,25.4,19.10
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.0,08-18-2019,01:00:00,29.82,0.00,91,000,10.00,0.0,988.10,1007.68,25.6,14.60
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,23.3,08-18-2019,01:00:00,28.59,0.00,88,000,10.00,0.0,991.84,1008.69,25.5,37.70
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.3,08-18-2019,01:00:00,30.30,0.00,90,000,10.00,0.0,991.56,1009.05,26.0,4.80
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.6,08-18-2019,01:00:00,31.02,0.80,99,000,8.00,0.0,981.69,1007.66,24.8,24.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.8,08-18-2019,01:00:00,33.19,0.00,96,000,10.00,0.0,1002.81,1008.61,26.5,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.5,08-18-2019,01:00:00,32.63,0.00,94,000,10.00,0.0,1001.18,1007.38,26.5,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.4,08-18-2019,01:00:00,28.75,0.40,89,000,7.00,0.0,992.35,1008.91,25.3,10.80
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.5,08-18-2019,01:00:00,28.90,0.00,92,000,10.00,0.0,985.43,1007.93,24.8,33.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.1,08-18-2019,01:00:00,28.26,0.00,77,280,8.00,3.7,994.15,1008.53,27.5,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.1,08-18-2019,01:00:00,26.54,0.00,70,000,7.00,0.0,991.49,1007.82,28.0,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.6,08-18-2019,01:00:00,30.84,0.00,92,000,10.00,0.0,1002.81,1008.06,26.0,2.80
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.3,08-18-2019,01:00:00,30.30,0.00,90,000,10.00,0.0,993.55,1006.79,26.0,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.3,08-18-2019,01:00:00,32.20,0.01,96,000,10.00,0.0,998.62,1007.98,26.0,5.10
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,24.6,08-18-2019,01:00:00,30.84,0.00,92,180,8.00,5.6,985.97,1007.74,26.0,1.60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.7,08-18-2019,01:00:00,31.17,0.10,95,000,10.00,0.0,991.28,1008.89,25.6,0.70
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.6,08-18-2019,01:00:00,30.84,0.00,92,000,10.00,0.0,992.23,1008.14,26.0,21.50
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.9,08-18-2019,01:00:00,29.72,0.00,85,180,8.00,1.9,988.45,1007.35,26.7,0.01
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.2,08-18-2019,01:00:00,26.83,4.70,94,000,4.00,0.0,957.25,1008.97,23.3,17.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.8,08-18-2019,01:00:00,31.25,0.00,96,000,4.00,0.0,1003.91,1007.89,25.5,30.60
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.4,08-18-2019,01:00:00,23.92,0.50,96,230,.50,14.8,913.59,1009.03,21.0,7.60
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.7,08-18-2019,01:00:00,31.04,0.00,97,000,6.00,0.0,992.30,1008.41,25.1,14.50
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.4,08-18-2019,01:00:00,30.56,0.00,86,000,10.00,0.0,1003.35,1007.39,27.0,0.01
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.6,08-18-2019,01:00:00,30.84,0.00,92,000,7.00,0.0,998.10,1008.83,26.0,0.01
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.2,08-18-2019,01:00:00,30.18,0.00,86,170,9.00,5.6,1006.67,1008.61,26.8,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.3,08-18-2019,01:00:00,28.59,0.00,80,220,10.00,5.6,987.39,1008.27,27.1,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.3,08-18-2019,01:00:00,30.32,0.00,96,000,10.00,0.0,990.47,1008.27,25.0,71.30
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.3,08-18-2019,01:00:00,30.42,0.00,95,210,10.00,9.3,991.93,1008.20,25.2,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.8,08-18-2019,01:00:00,29.41,0.00,87,200,10.00,7.4,995.50,1009.61,26.1,8.30
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.6,08-18-2019,01:00:00,30.84,0.00,92,000,9.00,0.0,995.28,1010.21,26.0,9.60
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.5,08-18-2019,01:00:00,30.76,0.00,91,190,10.00,3.7,994.91,1009.66,26.1,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.3,08-18-2019,01:00:00,32.23,0.00,94,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",8.00,0.0,1005.25,1008.28,26.3,13.90
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.5,08-18-2019,01:00:00,30.81,0.20,93,000,7.00,0.0,1000.29,1008.29,25.7,2.20
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.4,08-18-2019,01:00:00,30.59,0.00,89,210,7.00,5.6,1007.80,1008.91,26.3,1.20
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.8,08-18-2019,01:00:00,31.22,0.00,87,000,8.00,0.0,994.58,1009.29,27.2,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.6,08-18-2019,01:00:00,24.24,4.40,100,050,.05,7.4,875.22,1010.16,20.6,20.60
