WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,LandVisibility,Rainfall,WindDirection,VaporPressure,MeanSeaLevelPressure,StationPressure,DewPoint,RelativeHumidity,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.4,09-29-2019,01:00:00,0.0,8.00,0.00,000,26.00,1015.23,983.79,21.7,90,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.8,09-29-2019,01:00:00,11.1,8.00,0.00,200,18.50,1014.35,851.42,16.3,91,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.5,09-29-2019,01:00:00,0.0,10.00,0.00,000,23.86,1015.33,970.90,20.3,88,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,21.7,09-29-2019,01:00:00,0.0,8.00,0.00,000,23.81,1015.33,968.84,20.3,92,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.0,09-29-2019,01:00:00,0.0,4.00,0.00,000,26.83,1015.59,977.30,22.2,96,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,22.0,09-29-2019,01:00:00,0.0,7.00,0.00,000,24.50,1015.75,969.74,20.8,93,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.4,09-29-2019,01:00:00,0.0,7.00,0.00,000,26.75,1015.90,988.70,22.2,93,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.7,09-29-2019,01:00:00,0.0,3.00,0.00,000,28.01,1014.55,992.44,23.0,96,6.40
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.4,09-29-2019,01:00:00,0.0,6.00,0.00,000,29.49,1015.32,990.87,23.8,97,6.10
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.9,09-29-2019,01:00:00,0.0,10.00,0.00,000,26.77,1015.08,980.17,22.2,85,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.5,09-29-2019,01:00:00,0.0,10.00,0.00,000,27.66,1015.26,987.25,22.8,96,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.0,09-29-2019,01:00:00,0.0,8.00,0.00,000,28.48,1015.22,981.26,23.2,90,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.5,09-29-2019,01:00:00,0.0,4.00,0.00,000,28.11,1014.67,995.90,23.0,91,0.01
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.7,09-29-2019,01:00:00,0.0,10.00,0.00,000,27.50,1014.86,991.66,22.7,94,0.00
