WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,VaporPressure,MeanSeaLevelPressure,WindSpeed,DewPoint,WindDirection,RelativeHumidity,LandVisibility,AirTemperature,StationPressure
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.01,08-24-2019,04:00:00,0.00,28.33,1007.78,7.4,23.1,240,79,10.00,27.1,1007.07
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,3.30,08-24-2019,04:00:00,1.60,33.02,1008.65,0.0,25.7,000,94,7.00,26.7,1007.95
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1.10,08-24-2019,04:00:00,0.20,30.43,1006.66,3.7,24.3,220,88,10.00,26.5,985.48
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,8.90,08-24-2019,04:00:00,0.30,30.32,1007.03,0.0,24.3,000,96,7.00,25.0,990.20
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,13.70,08-24-2019,04:00:00,0.40,30.15,1007.36,3.7,24.2,190,94,5.00,25.2,990.83
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,12.00,08-24-2019,04:00:00,0.00,30.05,1006.76,0.0,24.1,000,88,10.00,26.3,984.86
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1.00,08-24-2019,04:00:00,0.00,28.34,1011.25,7.4,23.2,190,85,10.00,25.8,967.67
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,16.10,08-24-2019,04:00:00,0.00,29.74,1006.62,5.6,23.9,130,90,8.00,25.7,985.98
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,4.40,08-24-2019,04:00:00,0.00,31.28,1008.29,14.8,24.8,210,100,8.00,24.8,987.30
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,2.20,08-24-2019,04:00:00,0.00,30.72,1007.78,3.7,24.5,260,82,10.00,27.8,1007.35
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.00,08-24-2019,04:00:00,10.00,32.37,1007.48,0.0,25.4,000,97,6.00,25.8,1006.06
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,15.50,08-24-2019,04:00:00,2.60,32.65,1008.16,0.0,25.5,000,98,7.00,25.8,1003.20
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,08-24-2019,04:00:00,0.00,29.00,1007.60,5.6,23.5,230,83,10.00,26.6,1004.30
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,08-24-2019,04:00:00,0.00,30.94,1007.63,0.0,24.6,000,91,10.00,26.2,1006.52
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-24-2019,04:00:00,0.00,29.19,1007.54,0.0,23.6,000,77,10.00,28.0,1007.24
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.60,08-24-2019,04:00:00,0.00,29.36,1007.15,0.0,23.7,000,79,10.00,27.8,1006.66
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.01,08-24-2019,04:00:00,0.00,29.01,1007.66,13.0,23.5,230,77,10.00,27.9,1006.25
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,3.60,08-24-2019,04:00:00,3.40,30.77,1009.45,0.0,24.5,000,97,10.00,25.1,1001.38
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,5.60,08-24-2019,04:00:00,0.01,31.52,1007.25,0.0,24.9,000,91,10.00,26.5,1006.97
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-24-2019,04:00:00,0.00,30.15,1007.51,5.6,24.2,210,78,10.00,28.5,1004.39
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-24-2019,04:00:00,0.00,29.60,1007.86,13.0,23.9,210,81,10.00,27.5,1000.92
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,22.40,08-24-2019,04:00:00,0.00,30.32,1008.28,0.0,24.3,000,96,7.00,25.0,1002.63
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.01,08-24-2019,04:00:00,0.01,30.81,1009.28,0.0,24.5,000,93,10.00,25.7,1008.01
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-24-2019,04:00:00,0.00,29.06,1007.68,0.0,23.6,000,79,11.00,27.5,1007.25
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-24-2019,04:00:00,0.00,28.23,1008.13,0.0,23.1,000,88,10.00,25.3,995.79
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-24-2019,04:00:00,0.00,29.48,1007.86,0.0,23.8,000,83,10.00,27.0,1007.15
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1.30,08-24-2019,04:00:00,0.30,28.88,1008.39,0.0,23.5,000,79,10.00,27.4,1005.96
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.60,08-24-2019,04:00:00,0.30,29.85,1006.68,7.4,24.0,200,78,10.00,28.2,1006.16
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.40,08-24-2019,04:00:00,0.20,30.43,1008.03,0.0,24.3,000,88,8.00,26.5,1002.86
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.10,08-24-2019,04:00:00,2.10,32.71,1008.40,0.0,25.5,000,95,7.00,26.4,1007.99
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,11.30,08-24-2019,04:00:00,3.50,32.26,1008.51,7.4,25.3,050,98,8.00,25.6,1005.72
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-24-2019,04:00:00,0.00,27.78,1007.88,0.0,22.8,000,79,10.00,26.8,1007.09
48501,TRAD,ตราด,ตราด,11.76667,102.88333,54.30,08-24-2019,04:00:00,54.30,29.91,1008.23,5.6,24.0,080,92,3.00,25.5,1007.77
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.01,08-24-2019,04:00:00,0.00,26.53,1009.16,5.6,22.1,260,81,7.00,25.5,1008.47
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1.60,08-24-2019,04:00:00,0.00,29.66,1009.23,0.0,23.9,000,89,7.00,25.8,1007.69
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.70,08-24-2019,04:00:00,1.20,29.08,1011.00,7.4,23.6,230,92,8.00,24.9,1010.08
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-24-2019,04:00:00,0.00,30.23,1009.25,5.6,24.2,280,83,12.00,27.4,1008.57
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1.50,08-24-2019,04:00:00,0.00,30.32,1009.50,0.0,24.3,000,96,7.00,25.0,1008.70
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-24-2019,04:00:00,0.00,29.91,1008.77,0.0,24.0,000,92,10.00,25.5,1008.13
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-24-2019,04:00:00,0.00,30.50,1009.17,0.0,24.4,000,96,10.00,25.1,1008.76
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-24-2019,04:00:00,0.00,29.49,1011.41,0.0,23.8,000,97,5.00,24.4,1007.15
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,8.50,08-24-2019,04:00:00,0.00,29.30,1009.67,0.0,23.7,000,98,5.00,24.0,1008.04
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1.90,08-24-2019,04:00:00,0.00,29.33,1011.19,0.0,23.7,000,95,10.00,24.6,1007.68
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-24-2019,04:00:00,0.00,30.32,1009.88,0.0,24.3,000,96,8.00,25.0,1008.51
