WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,WindDirection,MeanSeaLevelPressure,StationPressure,VaporPressure,LandVisibility,WindSpeed,Rainfall24Hr,RelativeHumidity,DewPoint
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.0,10-09-2019,16:00:00,14.50,000,1008.24,1002.34,32.20,10.00,0.0,22.20,96,25.3
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,31.0,10-09-2019,16:00:00,0.00,050,1007.81,1007.01,30.90,8.00,9.3,0.00,69,24.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.0,10-09-2019,16:00:00,0.00,120,1007.69,1007.25,32.34,10.00,16.7,6.40,72,25.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.3,10-09-2019,16:00:00,2.70,000,1007.21,996.02,32.34,7.00,0.0,2.70,75,25.3
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,33.6,10-09-2019,16:00:00,0.00,000,1007.46,1006.47,30.78,9.00,0.0,0.00,59,24.5
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.7,10-09-2019,16:00:00,20.20,360,1008.50,1006.67,30.81,7.00,3.7,44.70,93,24.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,33.1,10-09-2019,16:00:00,0.00,000,1007.13,1006.38,30.61,9.00,0.0,0.00,61,24.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.5,10-09-2019,16:00:00,0.00,030,1007.89,1007.19,28.78,10.00,14.8,0.60,70,23.4
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,29.1,10-09-2019,16:00:00,10.30,000,1007.50,1006.81,30.49,10.00,0.0,10.30,76,24.4
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,30.1,10-09-2019,16:00:00,0.00,090,1008.04,987.08,31.64,9.00,3.7,0.00,74,25.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,28.8,10-09-2019,16:00:00,0.00,000,1008.04,991.41,29.90,10.00,0.0,0.00,76,24.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,28.2,10-09-2019,16:00:00,5.60,220,1008.99,992.59,31.23,9.00,5.6,5.60,82,24.8
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.5,10-09-2019,16:00:00,0.30,000,1008.81,986.88,30.70,8.00,0.0,8.50,89,24.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.3,10-09-2019,16:00:00,0.00,000,1008.75,965.20,29.01,6.00,0.0,0.40,90,23.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.0,10-09-2019,16:00:00,34.60,190,1009.59,988.70,26.83,1.00,13.0,38.50,96,22.2
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,29.6,10-09-2019,16:00:00,0.00,340,1009.38,988.69,34.37,10.00,3.7,0.00,83,26.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,32.2,10-09-2019,16:00:00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1007.43,1007.01,30.48,10.00,0.0,0.00,63,24.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,27.5,10-09-2019,16:00:00,5.20,000,1009.33,1007.91,31.52,11.00,0.0,5.70,86,24.9
