WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,StationPressure,VaporPressure,WindSpeed,Rainfall24Hr,LandVisibility,Rainfall,MeanSeaLevelPressure,DewPoint,RelativeHumidity,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,09-11-2019,04:00:00,977.36,29.16,0.0,0.70,7.00,0.00,1008.45,23.6,93,24.8
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,120,09-11-2019,04:00:00,844.41,20.15,11.1,3.60,8.00,0.00,1006.01,17.6,99,17.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,09-11-2019,04:00:00,963.96,28.90,0.0,4.30,10.00,0.01,1007.73,23.5,92,24.8
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,09-11-2019,04:00:00,962.19,28.97,0.0,7.80,2.00,0.40,1007.93,23.5,95,24.4
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,09-11-2019,04:00:00,970.34,30.32,0.0,6.40,5.00,3.00,1008.10,24.3,96,25.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,200,09-11-2019,04:00:00,962.74,28.36,3.7,2.10,10.00,2.10,1008.07,23.2,94,24.2
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,09-11-2019,04:00:00,982.75,28.51,0.0,0.01,7.00,0.00,1009.59,23.2,87,25.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,09-11-2019,04:00:00,987.27,27.60,0.0,0.00,12.00,0.00,1009.23,22.7,91,24.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,09-11-2019,04:00:00,985.46,27.42,0.0,0.40,6.00,0.00,1009.83,22.6,93,23.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,190,09-11-2019,04:00:00,973.56,25.03,3.7,0.00,10.00,0.00,1008.09,21.1,74,26.1
