WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,WindDirection,StationPressure,DewPoint,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,VaporPressure,AirTemperature,MaximumTemperature,Rainfall,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-17-2019,19:00:00,15.00,000,974.55,24.4,0.00,0.0,1005.00,30.59,30.0,34.8,0.00,72
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-17-2019,19:00:00,10.00,000,845.65,16.3,0.00,0.0,1004.63,18.50,22.7,24.8,0.00,67
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-17-2019,19:00:00,12.00,350,962.45,22.7,0.00,3.7,1005.36,27.66,30.2,34.8,0.00,64
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-17-2019,19:00:00,15.00,000,960.55,22.7,0.00,0.0,1005.51,27.56,29.0,35.0,0.00,69
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-17-2019,19:00:00,8.00,000,969.18,23.8,4.10,0.0,1006.90,29.52,25.0,35.3,4.00,93
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-17-2019,19:00:00,12.00,000,961.21,25.6,0.00,0.0,1005.48,32.88,30.7,35.0,0.00,74
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-17-2019,19:00:00,8.00,000,979.88,24.9,0.00,0.0,1006.38,31.54,28.5,36.5,0.00,81
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-17-2019,19:00:00,13.00,080,984.29,23.4,0.00,5.6,1005.65,28.71,31.6,36.3,0.00,62
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-17-2019,19:00:00,10.00,000,982.21,26.1,0.00,0.0,1005.97,33.80,30.3,37.0,0.00,78
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-17-2019,19:00:00,10.00,230,971.29,22.8,0.00,3.7,1005.03,27.77,32.4,36.3,0.00,57
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-17-2019,19:00:00,10.00,000,978.59,24.2,0.00,0.0,1005.65,30.25,31.1,35.7,0.00,67
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-17-2019,19:00:00,12.00,000,972.27,23.4,0.00,0.0,1005.19,28.79,31.5,35.6,0.00,62
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-17-2019,19:00:00,12.00,190,987.01,25.4,0.00,1.9,1005.17,32.35,31.7,37.0,0.00,69
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-17-2019,19:00:00,10.00,000,982.64,25.7,0.00,0.0,1004.95,33.01,32.7,37.0,0.00,67
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-17-2019,19:00:00,10.00,000,976.58,24.1,0.00,0.0,1006.18,30.01,29.0,36.0,0.00,75
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-17-2019,19:00:00,8.00,000,970.70,24.5,0.00,0.0,1005.78,30.72,29.5,34.0,0.00,75
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-17-2019,19:00:00,8.00,000,976.11,24.2,0.00,0.0,1005.59,30.12,28.2,35.4,0.00,79
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-17-2019,19:00:00,10.00,000,998.09,24.9,0.00,0.0,1005.24,31.44,32.8,37.5,0.00,63
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-17-2019,19:00:00,12.00,000,985.88,26.0,0.00,0.0,1005.41,33.58,32.0,35.4,0.00,71
48353,LOEI,เลย,เลย,17.45000,101.73333,09-17-2019,19:00:00,12.00,000,977.16,24.5,0.00,0.0,1005.33,30.73,31.2,35.6,0.00,68
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-17-2019,19:00:00,12.00,100,986.12,24.8,0.00,1.9,1005.98,31.31,31.2,34.8,0.00,69
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-17-2019,19:00:00,10.00,000,984.90,26.1,0.00,0.0,1006.44,33.83,29.2,34.5,0.00,83
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-17-2019,19:00:00,12.00,000,986.47,24.5,0.00,0.0,1005.69,30.74,30.5,33.7,0.00,70
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-17-2019,19:00:00,12.00,000,990.16,25.4,0.01,0.0,1006.66,32.47,31.2,35.0,0.00,71
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-17-2019,19:00:00,10.00,000,989.59,24.4,0.00,0.0,1006.89,30.54,28.7,34.1,0.00,78
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-17-2019,19:00:00,12.00,000,980.09,24.2,0.00,0.0,1005.66,30.18,28.8,34.6,0.00,76
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-17-2019,19:00:00,10.00,000,999.36,28.0,1.70,0.0,1005.03,37.85,32.8,36.2,0.00,76
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-17-2019,19:00:00,12.00,000,999.01,27.2,0.00,0.0,1005.10,36.12,31.5,35.1,0.00,78
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-17-2019,19:00:00,12.00,220,989.93,24.3,0.00,5.6,1006.15,30.29,30.7,36.9,0.00,69
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-17-2019,19:00:00,10.00,300,982.51,25.4,0.00,3.7,1004.48,32.34,31.0,35.0,0.00,72
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-17-2019,19:00:00,7.00,000,991.89,25.1,0.00,0.0,1006.03,31.81,32.0,36.0,0.00,67
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-17-2019,19:00:00,10.00,000,989.65,22.5,0.00,0.0,1005.82,27.33,30.6,36.2,0.00,62
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-17-2019,19:00:00,10.00,000,1000.53,26.6,0.00,0.0,1005.68,34.74,30.6,34.2,0.00,79
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-17-2019,19:00:00,10.00,090,991.73,24.9,0.00,5.6,1004.76,31.56,30.2,36.6,0.00,74
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-17-2019,19:00:00,12.00,000,996.40,25.7,0.00,0.0,1005.54,33.01,32.7,35.4,0.00,67
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-17-2019,19:00:00,10.00,260,985.01,23.2,0.00,1.9,1006.24,28.44,33.3,34.8,0.00,56
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-17-2019,19:00:00,12.00,000,988.90,25.6,0.00,0.0,1006.18,32.75,30.5,35.0,0.00,75
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-17-2019,19:00:00,10.00,000,989.81,24.6,0.00,0.0,1005.41,30.90,31.0,34.9,0.00,69
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-17-2019,19:00:00,5.00,310,986.89,25.9,13.80,1.9,1005.77,33.38,26.6,35.1,0.80,96
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-17-2019,19:00:00,8.00,000,956.31,22.6,0.00,0.0,1007.33,27.36,27.0,33.4,0.00,77
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-17-2019,19:00:00,6.00,340,1001.20,26.4,0.00,3.7,1005.08,34.32,32.2,35.5,0.00,71
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-17-2019,19:00:00,6.00,000,912.92,21.2,0.00,0.0,1007.45,25.19,23.5,28.3,0.00,87
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-17-2019,19:00:00,8.00,000,990.51,26.2,0.00,0.0,1006.34,33.92,29.8,34.7,0.00,81
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-17-2019,19:00:00,8.00,000,1001.53,25.2,0.00,0.0,1005.50,32.01,31.4,36.5,0.00,70
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-17-2019,19:00:00,8.00,100,996.63,23.2,0.00,9.3,1007.30,28.51,27.2,35.4,0.00,79
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-17-2019,19:00:00,9.00,150,1004.51,26.5,0.00,3.7,1006.40,34.65,31.8,35.2,0.00,74
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-17-2019,19:00:00,10.00,120,985.52,22.9,0.00,7.4,1006.04,27.99,31.8,34.7,0.00,60
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-17-2019,19:00:00,10.00,000,988.90,25.8,0.00,0.0,1006.38,33.17,30.0,33.4,0.00,78
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-17-2019,19:00:00,10.00,000,989.74,25.3,0.00,0.0,1005.66,32.26,31.1,34.4,0.00,71
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-17-2019,19:00:00,10.00,000,992.10,23.2,0.00,0.0,1005.92,28.40,31.3,33.7,0.00,62
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-17-2019,19:00:00,9.00,000,991.59,25.8,0.00,0.0,1006.27,33.12,29.7,34.1,0.00,79
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-17-2019,19:00:00,8.00,000,992.00,27.2,0.00,0.0,1006.51,36.14,30.0,34.2,0.00,85
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-17-2019,19:00:00,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1002.57,25.9,0.00,0.0,1005.52,33.50,33.2,36.0,0.00,66
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-17-2019,19:00:00,10.00,030,998.02,24.6,0.90,5.6,1005.95,30.94,27.2,34.8,0.90,86
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-17-2019,19:00:00,7.00,050,1004.62,25.4,3.10,3.7,1005.72,32.36,27.5,34.5,0.00,88
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-17-2019,19:00:00,8.00,000,992.57,21.6,0.00,0.0,1007.16,25.71,29.0,33.0,0.00,64
