WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,StationPressure,MeanSeaLevelPressure,RelativeHumidity,VaporPressure,Rainfall,DewPoint,LandVisibility,WindDirection,AirTemperature,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-01-2019,13:00:00,972.96,1003.39,76,31.89,0.30,25.1,15.00,000,29.8,33.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.0,08-01-2019,13:00:00,842.37,1001.14,82,21.73,0.00,18.8,8.00,000,22.0,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,7.4,08-01-2019,13:00:00,959.38,1002.10,62,27.14,0.00,22.4,15.00,150,30.5,26.80
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,08-01-2019,13:00:00,957.56,1002.16,65,28.50,0.00,23.2,15.00,000,30.5,48.40
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-01-2019,13:00:00,965.69,1002.51,67,30.25,0.00,24.2,12.00,000,31.1,33.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,5.6,08-01-2019,13:00:00,957.99,1001.93,60,28.66,0.00,23.3,10.00,170,32.0,28.30
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,13.0,08-01-2019,13:00:00,977.27,1003.51,74,32.67,0.20,25.5,12.00,190,30.6,19.70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.9,08-01-2019,13:00:00,982.38,1003.68,55,26.07,0.00,21.8,15.00,100,31.8,0.01
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-01-2019,13:00:00,980.69,1004.46,73,30.55,0.00,24.4,10.00,000,29.7,9.40
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.7,08-01-2019,13:00:00,969.37,1003.40,77,31.25,0.20,24.8,10.00,210,29.2,10.80
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-01-2019,13:00:00,976.98,1004.01,63,28.37,0.00,23.2,10.00,000,31.0,7.90
