WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindDirection,VaporPressure,MeanSeaLevelPressure,RelativeHumidity,Rainfall24Hr,LandVisibility,StationPressure,DewPoint,AirTemperature,WindSpeed
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-17-2019,13:00:00,240,31.75,1006.82,61,0.20,10.00,1001.34,25.0,33.5,7.4
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,8.00,09-17-2019,13:00:00,120,32.23,1008.10,94,12.50,8.00,998.76,25.3,26.3,5.6
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-17-2019,13:00:00,150,30.28,1008.05,59,0.70,14.00,1006.82,24.2,33.5,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-17-2019,13:00:00,110,31.35,1007.35,71,0.00,11.00,1006.92,24.8,30.8,3.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-17-2019,13:00:00,090,28.32,1006.85,56,0.00,10.00,994.84,23.1,33.1,11.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-17-2019,13:00:00,120,31.27,1007.41,67,0.00,10.00,1006.70,24.8,31.6,11.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,9.20,09-17-2019,13:00:00,010,29.50,1007.82,88,9.20,8.00,1005.37,23.8,26.0,5.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-17-2019,13:00:00,250,31.28,1008.51,76,0.00,10.00,1008.00,24.8,29.5,11.1
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,26.80,09-17-2019,13:00:00,060,29.52,1007.66,93,26.80,8.00,1002.46,23.8,25.0,7.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,3.90,09-17-2019,13:00:00,200,34.87,1006.68,87,8.80,7.00,1006.27,26.6,29.0,3.7
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-17-2019,13:00:00,000,33.74,1007.69,83,10.70,8.00,1004.94,26.1,29.3,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-17-2019,13:00:00,190,29.09,1007.60,59,0.01,10.00,1006.82,23.6,32.5,13.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.10,09-17-2019,13:00:00,250,33.57,1008.00,85,41.50,7.00,1007.54,26.0,28.8,5.6
