WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,RelativeHumidity,Rainfall24Hr,WindSpeed,AirTemperature,Rainfall,MeanSeaLevelPressure,VaporPressure,StationPressure,LandVisibility,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-22-2019,04:00:00,95,7.90,0.0,25.1,0.00,1004.68,30.23,973.74,6.00,24.2
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,120,08-22-2019,04:00:00,99,1.20,7.4,18.0,0.00,1003.24,20.41,842.18,6.00,17.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,08-22-2019,04:00:00,92,7.10,0.0,25.4,0.00,1004.68,29.72,961.13,10.00,23.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,08-22-2019,04:00:00,96,0.40,0.0,24.2,0.00,1004.85,28.88,959.22,10.00,23.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,08-22-2019,04:00:00,100,9.40,0.0,24.6,5.20,1005.78,30.91,968.06,6.00,24.6
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,140,08-22-2019,04:00:00,92,0.70,3.7,25.0,0.00,1004.78,29.00,959.71,7.00,23.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,08-22-2019,04:00:00,97,24.30,0.0,24.3,11.40,1006.20,29.57,979.34,6.00,23.9
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,100,08-22-2019,04:00:00,93,0.00,1.9,25.5,0.00,1005.93,30.44,984.14,15.00,24.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-22-2019,04:00:00,96,1.10,0.0,25.5,0.80,1005.51,31.25,981.39,6.00,24.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,08-22-2019,04:00:00,92,3.10,0.0,25.5,0.10,1005.61,29.91,971.09,9.00,24.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-22-2019,04:00:00,96,51.80,0.0,25.0,0.00,1005.72,30.32,978.11,10.00,24.3
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,08-22-2019,04:00:00,97,2.80,0.0,25.0,0.00,1005.13,30.85,971.51,10.00,24.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,08-22-2019,04:00:00,97,13.60,0.0,24.7,0.70,1005.52,30.03,986.93,4.00,24.1
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-22-2019,04:00:00,97,100.10,0.0,24.0,5.10,1006.58,28.78,983.58,6.00,23.4
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-22-2019,04:00:00,95,31.40,0.0,24.2,0.01,1005.91,28.62,975.85,5.00,23.3
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-22-2019,04:00:00,96,0.80,0.0,25.0,0.00,1006.23,30.32,970.62,6.00,24.3
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,08-22-2019,04:00:00,99,24.40,0.0,24.3,0.00,1005.31,30.10,975.45,10.00,24.1
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,08-22-2019,04:00:00,95,11.80,0.0,25.0,0.00,1005.56,30.05,998.22,7.00,24.1
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,040,08-22-2019,04:00:00,95,19.60,3.7,26.2,0.00,1005.57,32.32,985.66,10.00,25.3
48353,LOEI,เลย,เลย,17.45000,101.73333,000,08-22-2019,04:00:00,95,13.70,0.0,24.9,0.00,1005.65,29.87,976.88,10.00,24.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,100,08-22-2019,04:00:00,95,28.70,5.6,25.5,0.80,1005.71,30.98,985.48,9.00,24.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,08-22-2019,04:00:00,93,4.10,0.0,24.8,1.10,1007.21,29.16,985.34,8.00,23.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,000,08-22-2019,04:00:00,97,10.30,0.0,24.5,2.20,1006.47,29.93,986.85,8.00,24.1
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,08-22-2019,04:00:00,95,24.60,0.0,24.0,5.50,1007.45,28.27,990.54,7.00,23.1
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,08-22-2019,04:00:00,96,11.30,0.0,24.1,2.90,1007.67,28.70,990.09,7.00,23.4
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,08-22-2019,04:00:00,97,0.80,0.0,25.3,0.01,1004.89,31.41,979.04,10.00,24.9
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,08-22-2019,04:00:00,99,52.20,0.0,26.0,0.00,1005.90,33.32,1000.10,8.00,25.8
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,08-22-2019,04:00:00,99,53.80,0.0,24.5,0.00,1005.50,30.46,999.27,7.00,24.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,08-22-2019,04:00:00,96,2.60,0.0,24.0,0.10,1006.49,28.53,989.90,8.00,23.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,08-22-2019,04:00:00,96,0.80,0.0,24.0,0.40,1004.77,28.53,982.28,10.00,23.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,08-22-2019,04:00:00,95,17.60,0.0,25.3,0.00,1006.11,30.60,991.66,6.00,24.4
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,08-22-2019,04:00:00,85,3.00,0.0,25.8,0.00,1004.14,28.34,987.74,7.00,23.2
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,000,08-22-2019,04:00:00,93,0.40,0.0,25.7,0.00,1006.08,30.54,1000.83,10.00,24.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,08-22-2019,04:00:00,95,15.00,0.0,24.8,0.00,1004.86,29.69,991.59,10.00,23.9
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,08-22-2019,04:00:00,96,6.50,0.0,25.6,0.00,1005.69,31.44,996.33,11.00,24.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,180,08-22-2019,04:00:00,82,0.00,3.7,26.3,0.00,1005.85,28.19,984.14,8.00,23.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,08-22-2019,04:00:00,96,50.40,0.0,25.5,0.00,1005.77,31.25,988.21,10.00,24.8
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,000,08-22-2019,04:00:00,92,8.80,0.0,25.0,0.80,1004.80,29.00,988.90,10.00,23.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,230,08-22-2019,04:00:00,77,0.00,3.7,26.9,0.00,1005.13,27.44,986.28,8.00,22.6
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,110,08-22-2019,04:00:00,93,0.00,11.1,26.0,0.00,1005.51,31.38,1001.54,5.00,24.8
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,240,08-22-2019,04:00:00,95,19.40,11.1,20.5,0.20,1006.51,22.95,911.16,5.00,19.7
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,08-22-2019,04:00:00,97,5.50,0.0,24.9,1.30,1006.49,30.67,990.40,4.00,24.5
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,08-22-2019,04:00:00,89,0.00,0.0,26.4,0.00,1005.38,30.51,1001.35,10.00,24.4
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,08-22-2019,04:00:00,96,0.60,0.0,25.0,0.00,1007.20,30.32,996.46,7.00,24.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,150,08-22-2019,04:00:00,92,3.30,3.7,25.5,0.00,1006.44,29.91,1004.51,7.00,24.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,000,08-22-2019,04:00:00,88,0.00,0.0,25.4,0.00,1006.20,28.41,985.25,10.00,23.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,000,08-22-2019,04:00:00,96,64.30,0.0,25.0,0.20,1006.47,30.32,988.70,10.00,24.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,160,08-22-2019,04:00:00,98,41.00,5.6,25.2,0.20,1006.19,31.49,989.95,10.00,24.9
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,000,08-22-2019,04:00:00,92,22.10,0.0,25.4,0.00,1007.19,29.72,993.08,10.00,23.9
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,08-22-2019,04:00:00,94,4.60,0.0,25.2,0.00,1008.64,30.15,993.70,9.00,24.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,210,08-22-2019,04:00:00,89,0.00,3.7,26.6,0.00,1007.28,30.89,992.58,6.00,24.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",08-22-2019,04:00:00,90,0.01,0.0,26.3,0.00,1005.58,30.86,1002.55,10.00,24.6
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,08-22-2019,04:00:00,92,0.00,0.0,25.0,0.00,1006.11,29.00,998.11,7.00,23.5
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,130,08-22-2019,04:00:00,95,16.20,3.7,25.6,2.00,1005.43,31.17,1004.32,6.00,24.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,08-22-2019,04:00:00,84,0.00,0.0,26.2,0.00,1006.05,28.54,991.34,8.00,23.3
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,200,08-22-2019,04:00:00,99,1.40,5.6,18.7,0.40,1008.76,21.33,873.20,.05,18.5
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,190,08-22-2019,04:00:00,97,3.70,7.4,25.1,0.00,1006.54,30.77,1000.63,10.00,24.5
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,000,08-22-2019,04:00:00,93,2.90,0.0,25.8,0.50,1006.76,31.00,1005.95,8.00,24.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,210,08-22-2019,04:00:00,75,0.00,7.4,28.7,0.00,1006.55,29.71,1006.11,10.00,23.9
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,08-22-2019,04:00:00,97,7.40,0.0,24.3,0.00,1007.25,29.31,995.85,3.00,23.7
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,08-22-2019,04:00:00,91,4.20,0.0,26.2,0.00,1006.75,30.94,1005.73,10.00,24.6
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,000,08-22-2019,04:00:00,92,1.90,0.0,25.9,0.00,1006.53,30.65,1004.70,7.00,24.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,08-22-2019,04:00:00,91,0.20,0.0,26.9,0.00,1010.27,32.30,1009.51,7.00,25.3
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,200,08-22-2019,04:00:00,78,0.00,5.6,27.8,0.00,1007.13,29.09,1006.43,10.00,23.6
